"System Backup","Backup ao Sistema"
"Database and Media Backup","Backup à Base de Dados e ficheiros Media"
"Database Backup","Backup à Base de Dados"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","O arquivo pode ser descomprimido com <a href=""%1"">%2</a> em sistemas Windows."
"You need more permissions to activate maintenance mode right now.","Necessita de mais permissões para ativar o modo de manutenção agora."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Para criar o backup, por favor desmarque a opção ""Colocar loja em modo de manutenção"" ou atualize as suas permissões."
"Something went wrong while putting your store into maintenance mode.","Algo correu mal ao colocar a sua loja em modo de manutenção."
"You need more free space to create a backup.","Necessita de mais espaço livre em disco para criar um backup."
"You need more permissions to create a backup.","Necessita de mais permissões para criar um backup."
"We can't create the backup right now.","Não é possível criar o backup neste momento."
"Backups","Backups"
"System","Sistema"
"Tools","Ferramentas"
"Backup","Backup"
"We can't delete one or more backups.","Não conseguimos apagar um ou mais backups."
"failed","falhou"
"successful","bem sucedido"
"You deleted the selected backup(s).","Apagou o(s) backup(s) seleccionado(s)."
"Can't load snapshot archive","Não é possível carregar o arquivo snapshot"
"Please correct the password.","Por favor corrija a palavra-passe."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Para completar o rollback, por favor desmarque a opção ""Colocar loja em modo de manutenção"" ou atualize as suas permissões."
"We can't find the backup file.","Não foi possível encontrar o ficheiro de backup."
"We can't connect to the FTP right now.","Não é possível criar a ligação FTP neste momento."
"Failed to validate FTP.","Falhou a validação FTP."
"You need more permissions to perform a rollback.","Necessita de mais permissões para realizar um rollback."
"Failed to rollback.","O rollback falhou."
"Database","Base de Dados"
"Database and Media","Base de Dados e ficheiros Media"
"System (excluding Media)","Sistema (excluindo ficheiros Media)"
"You created the system backup.","Criou o backup do sistema."
"You created the system backup (excluding media).","Criou o backup de sistema (excluindo ficheiros media)."
"You created the database and media backup.","Criou o backup da base de dados e de ficheiros media."
"You created the database backup.","Criou o backup da base de dados."
"Please correct the order of creation for a new backup.","Por favor corrija a ordem de criação para um novo backup."
"The backup file does not exist.","O ficheiro de backup não existe."
"The backup file path was not specified.","O caminho para o ficheiro de backup não está especificado."
"The backup file ""%1"" does not exist.","O ficheiro de backup ""%1"" não existe."
"Sorry, but we cannot read from or write to backup file ""%1"".","Desculpe, mas nós não conseguimos ler ou gravar para o ficheiro de backup ""%1""."
"The backup file handler was unspecified.","O manipulador de ficheiro de backup não foi especificado."
"Something went wrong while writing to the backup file ""%1"".","Algo correu mal durante a gravação para o ficheiro de backup ""%1""."
"We can't save the Cron expression.","Não conseguimos gravar a expressão Cron."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Vai perder todos os dados criados desde o backup foi feito, incluindo contas de administrador, clientes e encomendas."
"Are you sure you want to continue?","Tem a certeza que pretende continuar?"
"This may take a few moments.","Isto pode demorar alguns minutos."
"Be sure your store is in maintenance mode during backup.","Certifique-se que a sua loja está no modo de manutenção durante o backup."
"Backup Name","Nome do backup"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Por favor use apenas letras (a-z ou A-Z), números (0-9) ou espaços neste campo."
"Maintenance mode","Modo de manutenção"
"Please put your store into maintenance mode during backup.","Por favor coloque sua loja em modo de manutenção durante o backup."
"Exclude","Excluir"
"Exclude media folder from backup","Excluir a pasta de ficheiros Media do backup"
"Please enter the password to confirm rollback.","Por favor introduza a senha para confirmar o rollback."
"This action cannot be undone.","Esta ação não pode ser anulada."
"User Password","Palavra-passe do Utilizador"
"Please put your store into maintenance mode during rollback processing.","Por favor coloque sua loja em modo de manutenção durante o processamento do rollback."
"FTP","FTP"
"Use FTP Connection","Usar Ligação FTP"
"FTP credentials","Credenciais FTP"
"FTP Host","Host FTP"
"FTP Login","Login FTP"
"FTP Password","Palavra-passe FTP"
"Magento root directory","Diretório raiz do Magento"
"Create Backup","Criar Backup"
"Rollback","Reverter"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Ativar Backups Agendados"
"Backup Type","Backup Type"
"Start Time","Hora de início"
"Frequency","Frequência"
"Maintenance Mode","Modo de Manutenção"
"Delete","Eliminar"
"Are you sure you want to delete the selected backup(s)?","Tem a certeza que pretende remover o(s) backup(s) selecionado(s)?"
"Time","Hora"
"Name","Nome"
"Size(bytes)","Tamanho (bytes)"
"Type","Tipo"
"Download","Transferir"
"Action","Ação"
"Backup functionality is disabled","A funcionalidade de backup está desativada"
"Backup Settings","Definições de Backup"
"Enable Backup","Ativar Backup"
"Scheduled Backup Type","Tempo Agendado para Cópias de Segurança"
"Disabled by default for security reasons","Disabled by default for security reasons"
