"System Backup","Järjestelmän varmuuskopiointi"
"Database and Media Backup","Tietokannan ja median varmuuskopiointi"
"Database Backup","Tietokannan varmuuskopiointi"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arkisto voidaan purkaa ohjelmalla <a href=""%1"">%2</a> Windows-järjestelmissä."
"You need more permissions to activate maintenance mode right now.","Tarvitaan laajemmat käyttöoikeudet huoltotilan aktivoimiseksi juuri nyt."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Jos haluat luoda varmuuskopion, poista valinta kohdasta ""Laita kauppa huoltotilaan"" tai päivitä käyttöoikeutesi."
"Something went wrong while putting your store into maintenance mode.","Jokin meni vikaan laitettaessa kauppaa huoltotilaan."
"You need more free space to create a backup.","Tarvitset lisää vapaata tilaa varmuuskopion luomiseksi."
"You need more permissions to create a backup.","Tarvitset laajemmat käyttöoikeudet varmuuskopion luomiseksi."
"We can't create the backup right now.","Emme voi luoda varmuuskopiota juuri nyt."
"Backups","Varmuuskopiot"
"System","Järjestelmä"
"Tools","Työkalut"
"Backup","Varmuuskopioi"
"We can't delete one or more backups.","Emme voi poistaa yhtä tai useampaa varmuuskopiota."
"failed","epäonnistui"
"successful","onnistui"
"You deleted the selected backup(s).","Valitut varmuuskopio(t) poistettiin."
"Can't load snapshot archive","Tilannevedosten arkistoa ei voida ladata"
"Please correct the password.","Kirjoita oikea salasana."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Poista valinta kohdasta ""Laita kauppa huoltotilaan"" tai päivitä käyttöoikeutesi palauttamisen viimeistelemiseksi."
"We can't find the backup file.","Varmuuskopiotiedostoa ei löydy."
"We can't connect to the FTP right now.","FTP-yhteyttä ei voida luoda juuri nyt."
"Failed to validate FTP.","FTP:n validointi epäonnistui."
"You need more permissions to perform a rollback.","Varmuuskopiosta palauttamiseen vaaditaan laajemmat käyttöoikeudet."
"Failed to rollback.","Palauttaminen epäonnistui."
"Database","Tietokanta"
"Database and Media","Tietokanta ja media"
"System (excluding Media)","Järjestelmä (poislukien media)"
"You created the system backup.","Järjestelmän varmuuskopio luotiin."
"You created the system backup (excluding media).","Järjestelmän varmuuskopio (poislukien media) luotiin."
"You created the database and media backup.","Tietokannan ja median varmuuskopio luotiin."
"You created the database backup.","Tietokannan varmuuskopio luotiin."
"Please correct the order of creation for a new backup.","Olkaa hyvä ja tarkistakaa luomisjärjestys uudelle varmuuskopiolle."
"The backup file does not exist.","Varmuuskopiotiedostoa ei ole olemassa."
"The backup file path was not specified.","Varmuuskopiotiedoston polkua ei ole määritetty."
"The backup file ""%1"" does not exist.","Varmuuskopiotiedostoa ""%1"" ei ole olemassa."
"Sorry, but we cannot read from or write to backup file ""%1"".","Valitettavasti varmuuskopiotiedostosta ""%1"" lukeminen tai siihen kirjoittaminen ei onnistu."
"The backup file handler was unspecified.","Varmuuskopiotiedoston Handle oli määrittelemätön."
"Something went wrong while writing to the backup file ""%1"".","Tapahtui virhe kirjoitettaessa varmuuskopiotiedostoon ""%1""."
"We can't save the Cron expression.","Cron-lauseketta ei voida tallentaa."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Menetät kaikki tiedot jotka on luotu varmuuskopion luomisen jälkeen, mukaan lukien ylläpitäjät, asiakkaat ja tilaukset."
"Are you sure you want to continue?","Haluatko varmasti jatkaa?"
"This may take a few moments.","Tämä saattaa kestää hetken."
"Be sure your store is in maintenance mode during backup.","Varmista, että kauppa on huoltotilassa koko varuuskopioinnin ajan."
"Backup Name","Varmuuskopion nimi"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Käytä vain kirjaimia (a – ö tai A-Z), numeroita (0-9) tai välilyöntejä tässä kentässä."
"Maintenance mode","Huoltotila"
"Please put your store into maintenance mode during backup.","Laita kauppa huoltotilaan varmuuskopioinnin ajaksi."
"Exclude","Rajaa pois"
"Exclude media folder from backup","Rajaa media-kansio varmuuskopioinnin ulkopuolelle"
"Please enter the password to confirm rollback.","Syötä salasana palauttamisen vahvistamiseksi."
"This action cannot be undone.","Tätä toimintoa ei voi kumota."
"User Password","Käyttäjän salasana"
"Please put your store into maintenance mode during rollback processing.","Laita kauppa huoltotilaan palauttamisen ajaksi."
"FTP","FTP"
"Use FTP Connection","Käytä FTP-yhteyttä"
"FTP credentials","FTP-tunnukset"
"FTP Host","FTP palvelin"
"FTP Login","FTP-kirjautuminen"
"FTP Password","FTP-salasana"
"Magento root directory","Magenton juurikansio"
"Create Backup","Luo varmuuskopio"
"Rollback","Palautus"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Enable Scheduled Backup","Ota ajoitettu varmuuskopiointi käyttöön"
"Backup Type","Backup Type"
"Start Time","Aloitusaika"
"Frequency","Tiheys"
"Maintenance Mode","Huoltotila"
"Delete","Poista"
"Are you sure you want to delete the selected backup(s)?","Oletko varma että haluat poistaa valitut varmuuskopiot?"
"Time","Aika"
"Name","Nimi"
"Size(bytes)","Koko(tavua)"
"Type","Tyyppi"
"Download","Lataa"
"Action","Toiminto"
"Backup functionality is disabled","Backup functionality is disabled"
"Backup Settings","Varmuuskopioinnin asetukset"
"Enable Backup","Ota varmuuskopiointi käyttöön"
"Scheduled Backup Type","Ajoitetun varmuuskopioinnin tyyppi"
"Disabled by default for security reasons","Disabled by default for security reasons"
