"Dynamic","Dinamis"
"Constant","Konstan"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Nilai Konversi Warna tidak valid ""%1"". Harap atur nilai 6 digit heksadesimal."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Nilai Id Konversi tidak valid ""%1"". Id konversi harus berupa bilangan bulat."
"Google AdWords","Google AdWords"
"Enable","Memungkinkan"
"Conversion ID","ID konversi"
"Conversion Language","Bahasa konversi"
"Conversion Format","Format Konversi"
"Conversion Color","Warna Konversi"
"Conversion Label","Label Konversi"
"Conversion Value Type","Jenis Nilai Konversi"
"Conversion Value","Nilai konversi"
"Send Order Currency","Kirim Mata Uang Pesanan"
