"Dynamic","Năng động"
"Constant","Liên tục"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Chuyển đổi giá trị màu sắc không hợp lệ ""%1"". Xin vui lòng thiết lập giá trị 6 chữ số."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Chuyển đổi giá trị Id là không hợp lệ ""%1"". Chuyển đổi Id phải là một số nguyên."
"Google AdWords","Google AdWords"
"Enable","Kích hoạt"
"Conversion ID","Chuyển đổi ID"
"Conversion Language","Chuyển đổi ngôn ngữ"
"Conversion Format","Chuyển đổi định dạng"
"Conversion Color","Chuyển đổi màu"
"Conversion Label","Chuyển đổi nhãn"
"Conversion Value Type","Chuyển đổi Loại giá trị"
"Conversion Value","Giá trị chuyển đổi"
"Send Order Currency","Send Order Currency"
