"Dynamic","ديناميكي"
"Constant","ثابت"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","تحويل لون قيمة غير صالحة ""%1"". الرجاء تعيين قيمة 6 أرقام ست عشرية."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","تحويل قيمة معرف غير صالح ""%1"". يجب أن يكون معرف التحويل عدد صحيح."
"Google AdWords","Google AdWords"
"Enable","تفعيل"
"Conversion ID","معرف التحويل"
"Conversion Language","تحويل اللغة"
"Conversion Format","نوع التحويل"
"Conversion Color","Conversion Color"
"Conversion Label","Conversion Label"
"Conversion Value Type","نوع قيمة التحويل"
"Conversion Value","قيمة التحويل"
"Send Order Currency","Send Order Currency"
