"Dynamic","Динамички"
"Constant","Константа"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Конверзија вредности Боје није валидна ""%1"". Молимо подесите хексадецималну 6-цифрену вредност."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Вредност Ид Конверзије није валидна ""%1"". Ид Конверзије треба да буде цели број."
"Google AdWords","Google AdWords"
"Enable","Омогући"
"Conversion ID","ИД Конверзије"
"Conversion Language","Језик Конверзије"
"Conversion Format","Формат Конверзије"
"Conversion Color","Боја Конверзије"
"Conversion Label","Ознака Конверзије"
"Conversion Value Type","Тип Вредности Конверзије"
"Conversion Value","Вредност Конверзије"
"Send Order Currency","Пошаљи Поруџбина Цурренцy"
