"Dynamic","ගතික"
"Constant","ස්ථාවර"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","පරිවර්තන වර්ණ අගය ""%1"" වලංගු නොවේ. කරුණාකර ෂඩ් දශම 6 ඉලක්කම් අගය සකසන්න."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","පරිවර්තන Id අගය ""%1"" වලංගු නොවේ. පරිවර්තන හැඳුනුම්පත පූර්ණ සංඛ්‍යාවක් විය යුතුය."
"Google AdWords","Google AdWords"
"Enable","සබල කරන්න"
"Conversion ID","පරිවර්තන හැඳුනුම්පත"
"Conversion Language","පරිවර්තන භාෂාව"
"Conversion Format","පරිවර්තන ආකෘතිය"
"Conversion Color","පරිවර්තන වර්ණය"
"Conversion Label","පරිවර්තන ලේබලය"
"Conversion Value Type","පරිවර්තන අගය වර්ගය"
"Conversion Value","පරිවර්තන අගය"
"Send Order Currency","ඇණවුම් මුදල් යවන්න"
