"Dynamic","Динамично"
"Constant","Константа"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Преобразуване цвят стойност не е валидна ""%1"". Задайте шестнадесетична 6-цифрен стойност."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Стойността на Ид на преобразуването не е валидна ""%1"". Ид на преобразуване трябва да бъде цяло число."
"Google AdWords","Google AdWords"
"Enable","Разреши"
"Conversion ID","ИД на преобразуване"
"Conversion Language","Преобразуване език"
"Conversion Format","Прeобразуване формат"
"Conversion Color","Преобразуване цвят"
"Conversion Label","Преобразуване етикет"
"Conversion Value Type","Тип на стойност на реализация"
"Conversion Value","Обменната стойност"
"Send Order Currency","Изпрати валутата на поръчката"
