"Gift Card Information","Hediye kartı bilgileri"
"Virtual","Sanal"
"Physical","Fiziksel"
"Combined","Kombine"
"Add Amount","Miktarı ekle"
"All Websites","Tüm Web siteleri"
"Gift Card Type","Hediye kartı türü"
"Gift Card Sender","Hediye Kartı Gönderen"
"Gift Card Recipient","Hediye Kartı Alıcısı"
"Gift Card Message","Hediye Kartı Mesajı"
"Gift Card Lifetime","Hediye Kartı Ömrü"
"Yes","Evet"
"No","Hayır"
"Gift Card Is Redeemable","Hediye kartı paraya çevrilebilir"
"We cannot create this gift card.","Bu hediye kartı oluşturulamıyor."
"N/A","Mevcut Değil"
"Gift Card Accounts","Hediye kartı hesapları"
"Duplicate amount found.","Aynı toplam rakamından bir tane daha bulundu."
"Something went wrong while preparing the gift card.","Hediye kartı hazırlanırken bir hata oluştu."
"Please specify a gift card amount.","Lütfen bir hediye kartı tutarı belirtin."
"Please specify all the required information.","Lütfen gerekli tüm bilgileri belirtin."
"Gift Card max amount is %1","Hediye Kartı maksimum tutarı %1"
"Gift Card min amount is %1","Hediye Kartı minimum tutarı %1"
"Please specify a recipient name.","Lütfen bir alıcı adı belirtin."
"Please specify a sender name.","Lütfen bir gönderen adı belirtin."
"Please specify a recipient email.","Lütfen bir alıcı e-postası belirtin."
"Please specify a sender email.","Lütfen bir gönderici e-postası belirtin."
"Ordered","Sipariş Tarihi"
"Invoiced","Faturalandı"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Bazı hediye kartı hesapları doğru oluşturulmadı. Hediye kartı hesaplarını manuel olarak <a href=""%1""> buradan </a> oluşturabilirsiniz."
"Amount","Tutar"
"To","Bit"
"Treat Balance as Store Credit","Bakiyeyi Mağaza Kredisi Olarak İşle"
"[GLOBAL]","[GENEL]"
"Use Config Settings","Yapılandırma Ayarlarını Kullan"
"Lifetime (days)","Yaşam süresi (gün)"
"Allow Message","Mesaja İzin Ver"
"[STORE VIEW]","[MAĞAZA GÖRÜNÜMÜ]"
"Email Template","E-posta Şablonu"
"All Websites [%1]","Tüm Web siteleri"
"%1 [%2]","%1 [%2]"
"Availability:","Durumu:"
"Out of stock","Stok mevcut değil"
"Choose an Amount...","Bir Miktar Seçin..."
"Other Amount...","Diğer Tutar..."
"Amount in %1","%1 içindeki Tutar"
"Minimum","En Az"
"Maximum","En Fazla"
"Sender Name","Gönderici Adı"
"Sender Email","Gönderici E-posta Adresi"
"Recipient Name","Alıcı ismi"
"Recipient Email","Makbuz E-postası"
"Message","Mesaj"
"Maximum length of the message is %1 characters.","En fazla uzunluk %1 karakterden az olmalıdır."
"Quantity","Miktar"
"Website","Web sitesi"
"Action","Eylem"
"Delete Amount","Tutarı Sil"
"Delete","Sil"
"From","Baş"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maksimum: %1"
"Availability","Varlık"
"In stock","stokta mevcut"
"You've been sent a gift from %store_name","% Mağaza_isim'den hediye gönderildi"
"%name,","%isim,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","% gönderen size <a href=""%store_url"">% mağaza_adı </a> adresinde kullanım için bir hediye kartı gönderdi ve artık satın alma işlemleri için kullanılmaya hazır."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Hediye kartları"
"Gift Card Email Settings","Hediye Kartı E-posta Ayarları"
"Gift Card Notification Email Sender","Hediye Kartı Bildirim E-posta Gönderici"
"Gift Card Notification Email Template","Hediye Kartı Bildirim E-posta Şablonu"
"Gift Card General Settings","Hediye Kartı Genel Ayarları"
"Redeemable","Paraya çevrilebilir"
"If empty no expiration.","Boş ise, herhangi bir sona erme olmaz."
"Allow Gift Message","Hediye Mesajına İzin Ver"
"Gift Message Maximum Length","Hediye Mesajı Maksimum Uzunluk"
"Generate Gift Card Account when Order Item is","Sipariş Malzemesi Olduğunda Hediye Kartı Hesabı Oluşturun"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Tutar belirtilmelidir ya da açık tutara izin verilmelidir"
