"Gift Card Information","礼品卡信息"
"Virtual","虚拟"
"Physical","物质"
"Combined","联合"
"Add Amount","添加量"
"All Websites","所有网站"
"Gift Card Type","代金卡类型"
"Gift Card Sender","代金卡发件人"
"Gift Card Recipient","代金卡收件人"
"Gift Card Message","代金卡信息"
"Gift Card Lifetime","代金卡寿命"
"Yes","是"
"No","否"
"Gift Card Is Redeemable","代金卡是可赎回"
"We cannot create this gift card.","我们无法创建此代金卡。"
"N/A","N/A"
"Gift Card Accounts","收件人电子邮件"
"Duplicate amount found.","发现的重复量。"
"Something went wrong while preparing the gift card.","同时准备的代金卡，出了错。"
"Please specify a gift card amount.","请指定代金卡金额。"
"Please specify all the required information.","请指定所有必需的信息。"
"Gift Card max amount is %1","代金卡的最大金额是 %1"
"Gift Card min amount is %1","代金卡的最大金额是 %1"
"Please specify a recipient name.","请指定一个收件人的名称。"
"Please specify a sender name.","请指定发件人的名称。"
"Please specify a recipient email.","请指定收件人的电子邮件。"
"Please specify a sender email.","请指定发件人的电子邮件。"
"Ordered","已下单"
"Invoiced","已出发票"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","一些代金卡帐户创建不正确。您可以创建代金卡帐户手动 <a href=""%1""> 在这里</a>。"
"Amount","数量"
"To","至"
"Treat Balance as Store Credit","把余额作为存储信用"
"[GLOBAL]","[全局]"
"Use Config Settings","使用配置设置"
"Lifetime (days)","有效期 (天)"
"Allow Message","允许消息"
"[STORE VIEW]","[店铺视图]"
"Email Template","邮件模板"
"All Websites [%1]","全部站点 [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","库存:"
"Out of stock","缺货"
"Choose an Amount...","选择数量......"
"Other Amount...","其他金额..."
"Amount in %1","在 %1 中的金额"
"Minimum","最低"
"Maximum","最大值"
"Sender Name","发件人邮箱"
"Sender Email","发件人的电子邮件"
"Recipient Name","收件人姓名"
"Recipient Email","收件人的电子邮件"
"Message","信息"
"Maximum length of the message is %1 characters.","消息的最大长度是 %1 个字符。"
"Quantity","数量"
"Website","网站"
"Action","操作"
"Delete Amount","删除量"
"Delete","删除"
"From","从"
"Minimum: %1","最低: %1"
"Maximum: %1","最高: %1"
"Availability","库存"
"In stock","有货"
"You've been sent a gift from %store_name","%store_name送您一份礼品"
"%name,","%名称，"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender 已经寄给你一张代金卡，用于在 <a href=""%store_url""> %store_name</a> 和它现在是准备用于购买。"
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","礼品卡"
"Gift Card Email Settings","代金卡电子邮件设置"
"Gift Card Notification Email Sender","代金卡通知电子邮件发件人"
"Gift Card Notification Email Template","代金卡通知电子邮件模板"
"Gift Card General Settings","代金卡一般设置"
"Redeemable","可赎回"
"If empty no expiration.","如果空没有过期。"
"Allow Gift Message","允许的礼物留言"
"Gift Message Maximum Length","礼物信息的最大长度"
"Generate Gift Card Account when Order Item is","订单项目时生成代金卡帐户"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
