"Gift Card Information","Информације о поклон картици"
"Virtual","Виртуално"
"Physical","Физички"
"Combined","Комбиновано"
"Add Amount","Додај износ"
"All Websites","Све Wеб локације"
"Gift Card Type","Врста поклон картице"
"Gift Card Sender","Пошиљалац поклон картице"
"Gift Card Recipient","Примаоц поклон картице"
"Gift Card Message","Порука за Поклон Картицу"
"Gift Card Lifetime","Поклон Картица валидност"
"Yes","Да"
"No","Не"
"Gift Card Is Redeemable","Поклон картица је откупљива"
"We cannot create this gift card.","Не можемо направити ову поклон картицу."
"N/A","Н/А - није доступно"
"Gift Card Accounts","Налог Поклон Картице"
"Duplicate amount found.","Дуплирани износ је пронађен."
"Something went wrong while preparing the gift card.","Дошло је до грешке приликом припремања поклон картице."
"Please specify a gift card amount.","Молимо наведите износ поклон картице."
"Please specify all the required information.","Молимо наведите све тражене информације."
"Gift Card max amount is %1","Максимални износ поклон картице је %1"
"Gift Card min amount is %1","Минимални износ Поклон Картице је %1"
"Please specify a recipient name.","Молимо наведите назив примаоца."
"Please specify a sender name.","Молимо наведите име пошиљаоца."
"Please specify a recipient email.","Молимо наведите примаоца мејла."
"Please specify a sender email.","Молимо наведите име пошиљаоца мејла."
"Ordered","Порућено"
"Invoiced","Фактура"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Неки рачуни поклон картица нису правилно направљени. Рачуне за поклон картице можете да креирате ручно <а хреф=""%1"">овде</а>."
"Amount","Износ"
"To","До"
"Treat Balance as Store Credit","Третирајте биланс као кредит за трговину"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Користи конфигурациона подешавања"
"Lifetime (days)","Време трајања (дани)"
"Allow Message","Дозволи Поруку"
"[STORE VIEW]","[ПРИКАЗ ПРОДАВНИЦЕ]"
"Email Template","Емаил шаблони"
"All Websites [%1]","Сви Веб Сајтови [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Доступност:"
"Out of stock","Нема на лагеру"
"Choose an Amount...","Изаберите Износ..."
"Other Amount...","Други Износ..."
"Amount in %1","Износ у %1"
"Minimum","Minimum"
"Maximum","Максимум"
"Sender Name","Име пошаљиоца"
"Sender Email","Емаил пошаљиоца"
"Recipient Name","Име Примаоца"
"Recipient Email","Мејл Примаоца"
"Message","Порука"
"Maximum length of the message is %1 characters.","Максимална дужина поруке је %1 карактера."
"Quantity","Количина"
"Website","Wеб сајт"
"Action","Акција"
"Delete Amount","Обриши Износ"
"Delete","Обрисати"
"From","Од"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Максимум: %1"
"Availability","Доступност"
"In stock","На стању"
"You've been sent a gift from %store_name","Послат вам је поклон из %сторе_наме"
"%name,","%назив,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%сендер вам је послао поклон картицу за коришћење у <а хреф=""%сторе_урл"">%сторе_наме</а> и сада је спремна за коришћење при куповини."
"Gift Card Codes:","Кодови Поклон Картице:"
"Gift Card Code:","Код Поклон Картице:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Свака картица има стање од %баланце које се може користити у <а хреф=""%сторе_урл"">%сторе_наме</а>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Картица има стање од %баланце које се може користити у <а хреф=""%сторе_урл"">%сторе_наме</а>."
"Click on the code(s) above to redeem them into Store Credit.","Цлицк он тхе цоде(с) абове то редеем тхем инто Продавница Цредит."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Поклон картице"
"Gift Card Email Settings","Подешавање е-мејла Поклон Картице"
"Gift Card Notification Email Sender","Поклон картица Обавештење Е-пошта Сендер"
"Gift Card Notification Email Template","Поклон картица Обавештење Е-пошта Темплате"
"Gift Card General Settings","Општа подешавања поклон картица"
"Redeemable","Откупљив"
"If empty no expiration.","Ако је празно нема истека."
"Allow Gift Message","Дозволи Поклон Поруку"
"Gift Message Maximum Length","Порука за поклон Маxимум Ленгтх"
"Generate Gift Card Account when Order Item is","Генерате Поклон картица Налог wхен Поруџбина Итем ис"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Износ мора бити дефинисан или Отворени Износ мора бити дозвољен"
