"Gift Card Information","Presentkortinformation"
"Virtual","Virtuell"
"Physical","Fysisk"
"Combined","Kombinerat"
"Add Amount","Lägga till beloppet"
"All Websites","Alla webbplatser"
"Gift Card Type","Presentkorttyp"
"Gift Card Sender","Present kort avsändaren"
"Gift Card Recipient","Presentkortsmottagare"
"Gift Card Message","Presentmeddelande"
"Gift Card Lifetime","Presentkorts livstid"
"Yes","Ja"
"No","Nej"
"Gift Card Is Redeemable","Presentkortet kan lösas in"
"We cannot create this gift card.","Vi kan inte skapa detta presentkort."
"N/A","Ej tillgängligt"
"Gift Card Accounts","Presentkortkonton"
"Duplicate amount found.","Duplicera funnen mängd."
"Something went wrong while preparing the gift card.","Något gick fel när du sparade gåvomeddelande."
"Please specify a gift card amount.","Vänligen ange ett present kort belopp."
"Please specify all the required information.","Vänligen ange all nödvändig information."
"Gift Card max amount is %1","Present kort max beloppet är %1"
"Gift Card min amount is %1","Present kort min beloppet är %1"
"Please specify a recipient name.","Vänligen ange en mottagares namn."
"Please specify a sender name.","Vänligen ange ett avsändarnamn."
"Please specify a recipient email.","Vänligen ange en mottagares e-post."
"Please specify a sender email.","Vänligen ange en avsändares E-post."
"Ordered","Beställd"
"Invoiced","Fakturerad"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
"Amount","Belopp"
"To","Till"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"[GLOBAL]","[GLOBALT]"
"Use Config Settings","Använd konfigurationsinställningarna"
"Lifetime (days)","Lifetime (days)"
"Allow Message","Allow Message"
"[STORE VIEW]","[BUTIKSVY]"
"Email Template","E-postmall"
"All Websites [%1]","All Websites [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Tillgänglighet:"
"Out of stock","Ej i lager"
"Choose an Amount...","Choose an Amount..."
"Other Amount...","Other Amount..."
"Amount in %1","Amount in %1"
"Minimum","Minimum"
"Maximum","Maximum"
"Sender Name","Avsändarens namn"
"Sender Email","Avsändares e-post"
"Recipient Name","Mottagarnamn"
"Recipient Email","Mottagarens e-post"
"Message","Meddelande"
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Quantity","Antal"
"Website","Webbplats"
"Action","Åtgärd"
"Delete Amount","Delete Amount"
"Delete","Ta bort"
"From","Från"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
"Availability","Tillgänglighet"
"In stock","I lager"
"You've been sent a gift from %store_name","You've been sent a gift from %store_name"
"%name,","%name"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Cards","Gift Cards"
"Gift Card Email Settings","Gift Card Email Settings"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Gift Card General Settings"
"Redeemable","Lösas in"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","Allow Gift Message"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
"Messaging and Lifetime","Messaging and Lifetime"
"Amount should be specified or Open Amount should be allowed","Amount should be specified or Open Amount should be allowed"
