"Gift Card Information","Informações do cartão presente"
"Virtual","Virtual"
"Physical","Física"
"Combined","Combinado"
"Add Amount","Adicione a quantidade"
"All Websites","Todos os sites"
"Gift Card Type","Tipo de cartão de presente"
"Gift Card Sender","Remetente do cartão de presente"
"Gift Card Recipient","Destinatário do cartão de presente"
"Gift Card Message","Mensagem do cartão de presente"
"Gift Card Lifetime","Vida do cartão de presente"
"Yes","Sim"
"No","Não"
"Gift Card Is Redeemable","Cartão presente é resgatável"
"We cannot create this gift card.","Não podemos criar este cartão de presente."
"N/A","Não Disponível"
"Gift Card Accounts","Contas de cartão de presente"
"Duplicate amount found.","Encontrada quantidade duplicada."
"Something went wrong while preparing the gift card.","Algo deu errado, enquanto preparávamos o cartão presente."
"Please specify a gift card amount.","Por favor, especifique uma quantidade de cartão presente."
"Please specify all the required information.","Por favor especifique todas as informações necessárias."
"Gift Card max amount is %1","Quantidade máxima do cartão presente é %1"
"Gift Card min amount is %1","Quantidade minima do cartão presente é %1"
"Please specify a recipient name.","Por favor, especifique um nome de destinatário."
"Please specify a sender name.","Por favor, especifique um nome de remetente."
"Please specify a recipient email.","Por favor, especifique um e-mail de destinatário."
"Please specify a sender email.","Por favor, especifique um e-mail do remetente."
"Ordered","Comprado"
"Invoiced","Faturado"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Algumas contas de cartão de presente não foram criadas corretamente. Você pode criar a conta manualmente <a href=""%1""> aqui</a>."
"Amount","Quantidade"
"To","Até"
"Treat Balance as Store Credit","Tratar o Saldo como Crédito de Loja"
"[GLOBAL]","[GLOBAL]"
"Use Config Settings","Usar Configurações padrão"
"Lifetime (days)","Período (dias)"
"Allow Message","Permitir mensagem"
"[STORE VIEW]","[VISÃO DE LOJA]"
"Email Template","Template de E-mail"
"All Websites [%1]","Todos os Sites [%1]"
"%1 [%2]","%1 [%2]"
"Availability:","Disponibilidade:"
"Out of stock","Fora de estoque"
"Choose an Amount...","Escolha um montante..."
"Other Amount...","Outra quantidade..."
"Amount in %1","Valor em %1"
"Minimum","Mínimo"
"Maximum","Máximo"
"Sender Name","Nome do remetente"
"Sender Email","E-mail do remetente"
"Recipient Name","Nome do destinatário"
"Recipient Email","E-mail de destinatário"
"Message","Mensagem"
"Maximum length of the message is %1 characters.","O comprimento máximo da mensagem é de %1 caracteres."
"Quantity","Quantidade"
"Website","Site"
"Action","Ação"
"Delete Amount","Excluir quantidade"
"Delete","Excluir"
"From","De"
"Minimum: %1","Mínimo: %1"
"Maximum: %1","Máxima: %1"
"Availability","Disponibilidade"
"In stock","Em estoque"
"You've been sent a gift from %store_name","Mandaram um presente de %store_name"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender enviou-lhe um cartão presente para usar na <a href=""%store_url""> %store_name</a> e está pronto para ser usado em compras."
"Gift Card Codes:","Código do cartão presente:"
"Gift Card Code:","Código do cartão presente:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Cada cartão tem um saldo de %balance que pode ser usado na <a href=""%store_url""> %store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","O cartão tem um saldo de %balance que pode ser usado na <a href=""%store_url""> %store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Clique no(s) código(s) acima para receber o seu valor em Crédito na Loja."
"Message from %sender_name:","Mensagem de %sender_name:"
"Gift Cards","Cartões presente"
"Gift Card Email Settings","Configurações de E-mail de cartão presente"
"Gift Card Notification Email Sender","Remetente de E-mail de notificação de cartão presente"
"Gift Card Notification Email Template","Modelo de E-mail de notificação de cartão presente"
"Gift Card General Settings","Configurações gerais do cartão de presente"
"Redeemable","Resgatáveis"
"If empty no expiration.","Se estiver vazio não expira."
"Allow Gift Message","Permitir Mensagem de Presente"
"Gift Message Maximum Length","Comprimento Máximo da Mensagem de Presente"
"Generate Gift Card Account when Order Item is","Gerar Conta de Cartão de Presente quando o Item do Pedido é"
"Messaging and Lifetime","Mensagens e Lifetime"
"Amount should be specified or Open Amount should be allowed","Montante deve ser especificado ou quantidade aberto deve ser permitido"
