"Widget Insertion","Inserimento widget"
"Insert Widget","Inserisci Widget"
"label","etichetta"
"Choose...","Scegli..."
"Close","Chiudi"
"Not Selected","Non selezionato"
"Widget","Widget"
"Widget Type","Tipo di widget"
"-- Please Select --","-- Seleziona --"
"Manage Widget Instances","Gestire le istanze Widget"
"Add Widget","Aggiungi Widget"
"Save and Continue Edit","Salva e continua modifica"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Nuova istanza Widget"
"Custom Layouts","Layout personalizzato"
"Page Layouts","Layout pagina"
"Please Select Container First","Seleziona prima un contenitore"
"Storefront Properties","Proprietà Frontend negozio"
"Type","Tipo"
"Design Package/Theme","Pacchetto/Tema Design"
"Widget Title","Titolo del widget"
"Assign to Store Views","Assegna alle viste negozio"
"Sort Order","Ordinamento"
"Sort Order of widget instances in the same container","Ordinamento delle istanze del widget dello stesso contenitore"
"Layout Updates","Aggiornamenti layout"
"Categories","Categorie"
"Anchor Categories","Categorie Ancorate"
"Non-Anchor Categories","Categorie non ancorate"
"All Product Types","Tutti i tipi di prodotto"
"Products","Prodotti"
"Generic Pages","Pagine generiche"
"All Pages","Tutte le pagine"
"Specified Page","Pagina specifica"
"Add Layout Update","Aggiungi aggiornamento del Layout"
"Remove Layout Update","Rimuovere aggiornamento Layout"
"Widget Options","Opzioni del widget"
"Settings","Impostazioni"
"Design Theme","Tema"
"Continue","Continua"
"Please specify a Widget Type.","Specificare il tipo di Widget."
"CMS","CMS"
"Please specify a correct widget.","Si prega di specificare un widget corretto."
"The widget instance has been deleted.","L'istanza del widget è stata eliminata."
"New Widget","Nuovo widget"
"Widgets","Widgets"
"The widget instance has been saved.","L'istanza del widget è stata salvata."
"name","nome"
"description","descrizione"
"We cannot create the widget instance because it is missing required information.","Impossibile creare l'istanza del widget perché mancano delle informazioni necessarie."
"None","Nessuno"
"%1","%1"
"Container","Contenitore"
"Template","Template"
"All","Tutti"
"Specific %1","Specifica %1"
"Open Chooser","Selezione aperta"
"Apply","Applica"
"Page","Pagina"
"Orders and Returns","Ordini e resi"
"Orders and Returns Search Form","Ordini e modulo di ricerca reso"
"Anchor Custom Title","Titolo personalizzato ancora"
"CMS Page Link Block Template","Template blocco Link Pagina CMS"
"CMS Page Link Inline Template","Template inline Link Pagina CMS"
"Display a Link to Loading a Spreadsheet","Mostra un link per caricare un foglio di calcolo"
"Defines whether a link to My Account","Definisce se è un link al mio Account"
"Link Text","Testo del link"
"The text of the link to the My Account &gt; Order by SKU page","Il testo del link nella pagina Mio account &gt; Ordine per SKU"
"Load a list of SKUs","Carica una lista di SKU"
"Product","Prodotto"
"Select Product...","Seleziona il prodotto..."
"Conditions","Condizioni"
"Widget ID","ID del Widget"
"We're sorry, an error has occurred while loading widget options.","We're sorry, an error has occurred while loading widget options."
"Cancel","Cancel"
"Inserting a widget does not create a widget instance.","Inserting a widget does not create a widget instance."
