"Widget Insertion","Wstawianie widgetu"
"Insert Widget","Wstaw widget"
"label","etykieta"
"Choose...","Wybierz..."
"Close","Zamknij"
"Not Selected","Nie wybrano"
"Widget","Widget"
"Widget Type","Typ widgetu"
"-- Please Select --","-- Prosimy wybrać --"
"Manage Widget Instances","Zarządzaj instancjami widgetów"
"Add Widget","Dodaj widget"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Widget ""%1""","Widget %1"""""
"New Widget Instance","Nowa instancja widgetu"
"Custom Layouts","Indywidualny układ"
"Page Layouts","Układ strony"
"Please Select Container First","Proszę wybrać kontener"
"Storefront Properties","Właściwości w sklepie"
"Type","Rodzaj"
"Design Package/Theme","Pakiet wyglądu/motyw"
"Widget Title","Tytuł widget'u"
"Assign to Store Views","Przypisz do widoków sklepu"
"Sort Order","Kolejność sortowania"
"Sort Order of widget instances in the same container","Porządek sortowanie widgetów w obrębie jednego kontenera"
"Layout Updates","Aktualizacje układu"
"Categories","Kategorie"
"Anchor Categories","Kategorie zakotwiczone"
"Non-Anchor Categories","Kategorie niezakotwiczone"
"All Product Types","Wszystkie rodzaje produktów"
"Products","Produkty"
"Generic Pages","Ogólne strony"
"All Pages","Wszystkie strony"
"Specified Page","Wybrana strona"
"Add Layout Update","Dodaj aktualizację układu"
"Remove Layout Update","Usuń aktualizacje układu"
"Widget Options","Opcje widgetu"
"Settings","Ustawienia"
"Design Theme","Design tematu"
"Continue","Kontynuuj"
"Please specify a Widget Type.","Proszę podać typ widgetu."
"CMS","CMS"
"Please specify a correct widget.","Proszę podać poprawny widget."
"The widget instance has been deleted.","Instancja widgetu została usunięta."
"New Widget","Nowy widget"
"Widgets","Widgety"
"The widget instance has been saved.","Instancja widgetu została zapisana."
"name","nazwa"
"description","opis"
"We cannot create the widget instance because it is missing required information.","Nie można utworzyć instancji widgetu z powodu braku wymaganych informacji."
"None","Brak"
"%1","%1"
"Container","Pojemnik"
"Template","Szablon"
"All","Wszystko"
"Specific %1","Wybrane %1"
"Open Chooser","Otwórz selektor"
"Apply","Zastosuj"
"Page","Strona"
"Orders and Returns","Zamówienia i zwroty"
"Orders and Returns Search Form","Formularz wyszukiwania zamówień i zwrotów"
"Anchor Custom Title","Własny tytuł kotwicy"
"CMS Page Link Block Template","Szablon blokowy linku strony CMS"
"CMS Page Link Inline Template","Szablon liniowy linku strony CMS"
"Display a Link to Loading a Spreadsheet","Wyświetl łącze do ładowania arkusza kalkulacyjnego"
"Defines whether a link to My Account","Określa, link do Moje konto"
"Link Text","Tekst łącza"
"The text of the link to the My Account &gt; Order by SKU page","Łącze do Mojego Konta &gt; Zamów przez stronę SKU"
"Load a list of SKUs","Załaduj listę SKU"
"Product","Produkt"
"Select Product...","Wybierz produkt..."
"Conditions","Warunki"
"Widget ID","ID widgetu"
"We're sorry, an error has occurred while loading widget options.","We're sorry, an error has occurred while loading widget options."
"Cancel","Cancel"
"Inserting a widget does not create a widget instance.","Umieszczenie widgetu nie tworzy jego instancji."
