"Widget Insertion","Inserción del widget"
"Insert Widget","Insertar widget"
"label","etiqueta"
"Choose...","Elegir..."
"Close","Cerrar"
"Not Selected","No seleccionado"
"Widget","Aplicación"
"Widget Type","Tipo de aplicación"
"-- Please Select --","--Seleccione--"
"Manage Widget Instances","Administrar instancias de aplicación"
"Add Widget","Añadir Widget"
"Save and Continue Edit","Guardar y continuar editando"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Nueva instancia de aplicación"
"Custom Layouts","Layouts personalizados"
"Page Layouts","Diseños de página"
"Please Select Container First","Por favor, primero seleccione el contenedor"
"Storefront Properties","Propiedades de fachada"
"Type","Tipo"
"Design Package/Theme","Diseñar paquete/tema"
"Widget Title","Título del widget"
"Assign to Store Views","Asignar a vistas de tienda"
"Sort Order","Orden de aparición"
"Sort Order of widget instances in the same container","Orden de las instancias de widget dentro de un mismo contenedor"
"Layout Updates","Actualizaciones de diseño"
"Categories","Categorías"
"Anchor Categories","Categorías de ancla"
"Non-Anchor Categories","Categorías no de ancla"
"All Product Types","Todos los tipos de artículos"
"Products","Productos"
"Generic Pages","Páginas genéricas"
"All Pages","Todas las páginas"
"Specified Page","Página especificada"
"Add Layout Update","Agregar actualización de diseño"
"Remove Layout Update","Eliminar actualización de diseño"
"Widget Options","Opciones de aplicación"
"Settings","Configuración"
"Design Theme","Tema del diseño"
"Continue","Continuar"
"Please specify a Widget Type.","Por favor especifique un tipo de Widget."
"CMS","CMS"
"Please specify a correct widget.","Por favor especifique un widget correcto."
"The widget instance has been deleted.","Se eliminó la instancia de aplicación."
"New Widget","Nuevo Widget"
"Widgets","Aplicaciones"
"The widget instance has been saved.","Se guardó la instancia de aplicación."
"name","nombre"
"description","descripción"
"We cannot create the widget instance because it is missing required information.","Nosotros no podemos crear la instancia del widget porque falta información requerida."
"None","Ninguno"
"%1","%1"
"Container","Contenedor"
"Template","Plantilla"
"All","Todos"
"Specific %1","%1 específico"
"Open Chooser","Abrir el buscador"
"Apply","Aplicar"
"Page","Página"
"Orders and Returns","Pedidos y devoluciones"
"Orders and Returns Search Form","Buscador de Pedidos y Devoluciones"
"Anchor Custom Title","Anclar título personalizado"
"CMS Page Link Block Template","CMS-Seitenlink - Blockvorlage"
"CMS Page Link Inline Template","CMS-Seitenlink - Inlinevorlage"
"Display a Link to Loading a Spreadsheet","Mostrar un enlace para cargar una hoja de cálculo"
"Defines whether a link to My Account","Define si un hay enlace a mi cuenta"
"Link Text","Texto del enlace"
"The text of the link to the My Account &gt; Order by SKU page","El texto del enlace a mi cuenta &gt; comprar por página SKU"
"Load a list of SKUs","Cargar una lista de SKU"
"Product","Producto"
"Select Product...","Seleccionar artículo..."
"Conditions","Condiciones"
"Widget ID","ID de aplicación"
"We're sorry, an error has occurred while loading widget options.","Lo sentimos, ha ocurrido un error al cargar las opciones del widget."
"Cancel","Cancelar"
"Inserting a widget does not create a widget instance.","Insertar un widget no crea una instancia de widget."
