"Gift Card Accounts","收件人电子邮件"
"Add Gift Card Account","该卡具有%余额的平衡，可以在<a href=""%store_url"">%store_name</a>的使用。"
"Save","保存"
"Delete","删除"
"Save & Send Email","保存、 发送电子邮件"
"Edit Gift Card Account: %1","编辑代金卡帐号: %1"
"New Gift Card Account","新代金卡帐户"
"ID","编号ID"
"Date","日期"
"Action","操作"
"Balance Change","由Admin：%1。"
"Balance","平衡"
"More Information","更多信息"
"Information","信息"
"Gift Card Code","代金卡代码:"
"Status","状态"
"Active","活动"
"Yes","是"
"No","否"
"Redeemable","可赎回"
"Website","网站"
"Expiration Date","过期日期"
"Send Gift Card","送代金卡"
"Recipient Email","收件人的电子邮件"
"Recipient Name","收件人姓名"
"Send Email from the Following Store View","从以下商店视图发送邮件"
"-- First Please Select a Website --","--第一次请选择网站--"
"Gift Card Account","代金卡帐户"
"History","历史"
"This gift card account has been deleted.","此代金卡帐户已被删除。"
"We couldn't find a gift card account to delete.","我们找不到要删除的代金卡帐户。"
"Edit Gift Card Account","编辑代金卡帐户"
"New Account","新帐户"
"New code pool was generated.","生成新代码池。"
"We were unable to generate a new code pool.","我们都无法生成新的代码库。"
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"Please select a gift card account(s)","请选择代金卡帐户"
"You deleted a total of %1 records.","你一共有%1的记录删除。"
"You saved the gift card account.","你保存的代金卡帐户。"
"An email was not sent because the gift card account is not active.","一封电子邮件未被发送，因为礼物卡帐户未处于活动状态。"
"You saved the gift card account, but an email was not sent.","你保存的代金卡帐户，但不是发送电子邮件。"
"We will refund the gift card amount to your customer’s store credit","我们将退还给您的客户的商店信用代金卡金额"
"Please enable Store Credit to refund the gift card amount to your customer","请启用商店信用退还给您的客户的代金卡金额"
"Please correct the gift card code.","Please correct the gift card code."
"Gift Card ""%1"" was added.","添加了代金卡""%1""。"
"We cannot apply this gift card.","我们不能应用此代金卡。"
"Gift Card ""%1"" was removed.","代金卡""%1""被删除。"
"You can't remove this gift card.","您不能删除此代金卡。"
"You can't redeem a gift card now.","您现在不能兑换一张代金卡。"
"Gift Card ""%1"" was redeemed.","代金卡""%1""在中赎回。"
"We cannot redeem this gift card.","我们不能赎此代金卡。"
"Gift Card","礼品卡"
"By admin: %1.","由 admin: %1。"
"Could not save the gift card account.","Could not save the gift card account."
"Could not delete the gift card account.","Could not delete the gift card account."
"The expiration date must be set in the future.","到期日期必须设定在未来。"
"The balance cannot be less than zero.","平衡不能小于零。"
"This gift card account is already in the quote.","此代金卡帐户已在报价。"
"Please correct the gift card account code: ""%1"".","请更正代金卡帐户码:""%1""。"
"This gift card account wasn't found in the quote.","此代金卡帐户在报价单中找不到。"
"Please correct the gift card account ID. Requested code: ""%1""","请更正代金卡帐户 id。请求代码:""%1"""
"Please correct the gift card account website: %1.","请更正代金卡帐户网站: %1。"
"Gift card account %1 is not enabled.","代金卡帐户 %1 未启用。"
"Gift card account %1 is expired.","代金卡帐户 %1 已过期。"
"Gift card account %1 has a zero balance.","代金卡帐户 %1 有余额为零。"
"Gift card account %1 balance is lower than the charged amount.","代金卡帐户 %1 余额小于收取的金额。"
"Available","可用"
"Used","已使用"
"Redeemed","赎回"
"Expired","已过期"
"Please enter a valid customer ID.","请输入一个有效的客户 id。"
"Gift Card Redeemed: %1. For customer #%2.","代金卡兑换: %1。为客户 #%2。"
"Created","创建"
"Updated","已更新"
"Sent","已发送"
"Order #%1.","订单 #%1"
"Recipient: %1.","收件人: %1。"
"Customer #%1.","客户 %1"
"Please assign a gift card account.","请分配一个代金卡帐户。"
"Unknown history action.","未知的历史作用。"
"We were unable to create full code pool size. Please check settings and try again.","我们是无法创建完整的代码池大小。请检查设置，然后重试。"
"No codes left in the pool.","没有代码留在池中。"
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Could not delete gift card from quote","Could not delete gift card from quote"
"Could not add gift card code","Could not add gift card code"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"Alphanumeric","字母表"
"Alphabetical","字母表"
"Numeric","数字"
"The maximum generated code length is 255. Please correct your settings.","最大生成的代码长度是 255。请更正您的设置。"
"Gift Cards","礼品卡"
"test message","测试消息"
"Generate","生成"
"Code Pool used: ","使用的代码库:"
" (free ","(免费"
" of ","的"
" total).","共有)。"
"Are you sure you want to continue without saving your changes?","你确定你想要继续而不保存您的更改?"
"Refund Gift Cards to Store Credit","退还代金卡来存储信贷"
"Add Gift Card","添加代金卡"
"Remove","删除"
"Gift Card (%1)","代金卡 (%1)"
"This won't take long . . .","这不会需要很长时间。 。 。"
"Enter gift card code","输入代金卡码"
"Redeem Gift Card","兑换代金卡"
"Check status and balance","检查状态和平衡"
"Have a gift card? ","有一张代金卡吗?"
"Click here","点击此处"
" to redeem it.","想要拯救。"
"Enter the gift card code","输入代金卡码"
"Check Gift Card status and balance","检查代金卡的状态和平衡"
"Gift Card: ","礼品卡:"
"Current Balance: ","当前余额:"
"Expires: ","过期:"
"Please enter a valid gift card code.","请输入一个有效的代金卡码。"
"Add or remove gift cards","添加或删除代金卡"
"Gift Card amount applied to order:","代金卡金额适用于订单:"
"You've been sent a gift from %store_name","%store_name送您一份礼品"
"%name,","%名称，"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","你送礼物卡，用于在 %store_name 和它现在是准备用于购买。"
"Gift Card Code: %code","代金卡码: %code"
"The card has a balance of %balance and can be used at ","卡有余额 %balance，可以在使用"
"%store_name","%store_name"
"Apply Gift Card","申请代金卡"
"Gift Card:","礼品卡:"
"Apply","应用"
"See Balance","查看余额"
"Gift Card amount applied to order: ","代金卡金额适用于订单:"
"Email Sent from Gift Card Account Management","从代金卡帐户管理发送的电子邮件"
"Gift Card Email Sender","代金卡电子邮件发件人"
"Gift Card Template","代金卡模板"
"Gift Card Account General Settings","代金卡账户一般设置"
"Code Length","每x个字符加横线"
"Excluding prefix, suffix and separators.","不包括前缀、 后缀和分隔符。"
"Code Format","代码格式"
"Code Prefix","代码前缀"
"Code Suffix","代码后缀"
"Dash Every X Characters","冲每 X 个字符"
"if empty no separation","如果空没有分离"
"New Pool Size","新池大小"
"Low Code Pool Threshold","低代码池阈值"
"IMPORTANT: Be sure to save your configuration before running generation process.","重要: 请务必保存您在运行生成过程之前的配置。"
"CSV","Excel XML"
"Excel XML","XML Excel"
"Are you sure you want to delete these gift card accounts?","是否确实要删除这些代金卡帐户?"
"Code","代码"
"End","结束"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid Request","Invalid Request"
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Too many attempts, please try again later.","Too many attempts, please try again later."
"Amount can be returned to Store Credit.","Amount can be returned to Store Credit."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>."
"The ""%1"" Cart doesn't contain products.","The ""%1"" Cart doesn't contain products."
"The gift card couldn't be deleted from the quote.","The gift card couldn't be deleted from the quote."
"Requiring a composite gift card account.","Requiring a composite gift card account."
"The gift card code couldn't be added. Verify your information and try again.","The gift card code couldn't be added. Verify your information and try again."
"The gift card code is either incorrect or expired. Verify and try again.","The gift card code is either incorrect or expired. Verify and try again."
"Gift Card %1 was removed.","Gift Card %1 was removed."
"Gift card not found","Gift card not found"
"Gift card account is not redeemable.","Gift card account is not redeemable."
"Cannot find the customer to update balance","Cannot find the customer to update balance"
