"Gift Card Accounts","තෑගි කාඩ්පත් ගිණුම්"
"Add Gift Card Account","තෑගි කාඩ්පත් ගිණුම එක් කරන්න"
"Save","සුරකින්න"
"Delete","මකන්න"
"Save & Send Email","ඊමේල් සුරකින්න සහ යවන්න"
"Edit Gift Card Account: %1","තෑගි කාඩ්පත් ගිණුම සංස්කරණය කරන්න: %1"
"New Gift Card Account","නව තෑගි කාඩ්පත් ගිණුම"
"ID","හැඳුනුම්පත"
"Date","දිනය"
"Action","කටයුතු"
"Balance Change","ශේෂය වෙනස් කිරීම"
"Balance","ශේෂය"
"More Information","වැඩි විස්තර"
"Information","විස්තර"
"Gift Card Code","තෑගි කාඩ්පත් කේතය"
"Status","තත්ත්වය"
"Active","ක්රියාකාරී"
"Yes","ඔව්"
"No","නැත"
"Redeemable","මුදවා ගත හැකි"
"Website","වෙබ් අඩවිය"
"Expiration Date","කල්පිරෙන දිනය"
"Send Gift Card","තෑගි කාඩ්පත යවන්න"
"Recipient Email","ලබන්නාගේ ඊමේල්"
"Recipient Name","ලබන්නාගේ නම"
"Send Email from the Following Store View","පහත ගබඩා දසුනෙන් විද්‍යුත් තැපෑල යවන්න"
"-- First Please Select a Website --","-- පළමුව කරුණාකර වෙබ් අඩවියක් තෝරන්න --"
"Gift Card Account","තෑගි කාඩ්පත් ගිණුම"
"History","ඉතිහාසය"
"This gift card account has been deleted.","මෙම තෑගි කාඩ්පත් ගිණුම මකා ඇත."
"We couldn't find a gift card account to delete.","අපට මැකීමට තෑගි කාඩ්පත් ගිණුමක් සොයා ගැනීමට නොහැකි විය."
"Edit Gift Card Account","තෑගි කාඩ්පත් ගිණුම සංස්කරණය කරන්න"
"New Account","නව ගිණුම"
"New code pool was generated.","නව කේත සංචිතයක් උත්පාදනය විය."
"We were unable to generate a new code pool.","අපට නව කේත සංචිතයක් උත්පාදනය කිරීමට නොහැකි විය."
