"Gift Card Accounts","Geschenkkartenkonten"
"Dash Every X Characters","Bindestrich nach jedem x-ten Zeichen"
"if empty no separation","Wenn leer, keine Trennung."
"New Pool Size","Neue Pool-Größe"
"Low Code Pool Threshold","Grenzwert für niedrigen Code-Pool"
"IMPORTANT: Be sure to save your configuration before running generation process.","WICHTIG: Stellen Sie sicher, dass Sie Ihre Konfiguration speichern, bevor Sie den Generierungsprozess starten."
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete these gift card accounts?","Sind Sie sicher, dass Sie die Geschenkkartenkonten löschen möchten?"
"Code","Code"
"End","Ende"
"Invalid Form Key. Please refresh the page.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite."
"Invalid Request","Ungültige Anfrage"
"Incorrect CAPTCHA","Falsches CAPTCHA"
"Too many attempts, please try again later.","Zu viele Versuche. Bitte versuchen Sie es später erneut."
"Amount can be returned to Store Credit.","Der Betrag kann an Shop-Guthaben zurückgebucht werden."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>.","Verwendeter Code Pool: <b>%1%</b> (kostenlose <b>%2</b> von <b>%3</b> insgesamt). Generieren Sie <a href=""#"" data-post=""%4"">hier</a> einen neuen Code Pool."
"The ""%1"" Cart doesn't contain products.","Der Warenkorb ""%1"" enthält keine Produkte."
"The gift card couldn't be deleted from the quote.","Der Geschenkgutschein konnte nicht aus dem Angebot gelöscht werden."
"Requiring a composite gift card account.","Benötigt ein zusammengesetztes Geschenkgutscheinkonto."
"The gift card code couldn't be added. Verify your information and try again.","Der Gutscheincode konnte nicht hinzugefügt werden. Überprüfen Sie Ihre Informationen und versuchen Sie es erneut."
"The gift card code is either incorrect or expired. Verify and try again.","Der Gutscheincode ist entweder falsch oder abgelaufen. Überprüfen Sie ihn und versuchen Sie es erneut."
"Gift Card %1 was removed.","Geschenkgutschein ""%1"" wurde entfernt."
"Gift card not found","Geschenkkarte nicht gefunden"
"Gift card account is not redeemable.","Geschenkkartenkonto kann nicht erstattet werden."
"Cannot find the customer to update balance","Der Kunde zur Aktualisierung des Kontos konnte nicht gefunden werden"
