"Gift Card Accounts","Produits récemment consultés/comparés"
"Add Gift Card Account","Expiré"
"Save","Sauvegarder"
"Delete","Supprimer"
"Save & Send Email","Sauvegarder et envoyer un courriel"
"Edit Gift Card Account: %1","Editer le compte de carte-cadeau : %1"
"New Gift Card Account","Nouveau compte de carte-cadeau"
"ID","Identifiant"
"Date","Date"
"Action","Action"
"Balance Change","Changement de solde"
"Balance","Solde"
"More Information","Plus d'infos"
"Information","Informations"
"Gift Card Code","Code de carte-cadeau "
"Status","Statut"
"Active","Actif"
"Yes","Oui"
"No","Non"
"Redeemable","Répertoire récursif"
"Website","Site web"
"Expiration Date","Date d'expiration"
"Send Gift Card","Envoyer une carte-cadeau"
"Recipient Email","Adresse email du destinataire"
"Recipient Name","Nom du bénéficiaire"
"Send Email from the Following Store View","Envoyer un courriel à partir de la vue magasin suivante"
"-- First Please Select a Website --","-- Tout d’abord, veuillez sélectionner un site Web --"
"Gift Card Account","Compte de carte-cadeau"
"History","Icône d'appli haute résolution"
"This gift card account has been deleted.","Ce compte de carte-cadeau a été supprimé."
"We couldn't find a gift card account to delete.","Nous n'avons pas pu trouver un compte de carte-cadeau à supprimer."
"Edit Gift Card Account","Editer un compte de carte-cadeau"
"New Account","Nouveau Compte"
"New code pool was generated.","Un nouvel ensemble de codes a été généré."
"We were unable to generate a new code pool.","Nous n'avons pas pu générer un nouvel ensemble de codes."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Codes de l'ensemble déjà utilisés : <b>%1%</b> (libres : <b>%2</b> de <b>%3</b> total). Générer un nouvel ensemble de codes <a href=""%4"">ici</a>."
"Please select a gift card account(s)","Veuillez sélectionner un compte de carte-cadeau"
"You deleted a total of %1 records.","Vous pouvez activer cette option pour utiliser la fonctionnalité de réécritures du serveur web pour l'optimisation pour les moteurs de recherche"
"You saved the gift card account.","Vous avez enregistré le compte de carte-cadeau."
