"Gift Card Accounts","Geschenkkartenkonten"
"Add Gift Card Account","Abgelaufen"
"Save","Speichern"
"Delete","Löschen"
"Save & Send Email","Speichern & E-Mail senden"
"Edit Gift Card Account: %1","Geschenkkarten-Konto %1 bearbeiten"
"New Gift Card Account","Neues Geschenkkarten-Konto"
"ID","Id"
"Date","Datum"
"Action","Aktion"
"Balance Change","Benutzt"
"Balance","Kontostand"
"More Information","Weitere Informationen"
"Information","Informationen"
"Gift Card Code","Gutscheincode"
"Status","Status"
"Active","Aktiv"
"Yes","Ja"
"No","Nein"
"Redeemable","Einlösbar"
"Website","Webseite"
"Expiration Date","Ablaufdatum"
"Send Gift Card","Gutschein senden"
"Recipient Email","Empfänger-Email"
"Recipient Name","Name des Empfängers"
"Send Email from the Following Store View","Senden der E-Mail von folgendem Store View"
"-- First Please Select a Website --","-- Bitte wählen Sie zunächst eine Website aus --"
"Gift Card Account","Gutschein-Konto"
"History","Historie"
"This gift card account has been deleted.","Dieses Gutschein-Konto wurde gelöscht."
"We couldn't find a gift card account to delete.","Wir konnten kein Gutschein-Konto finden, um es zu löschen."
"Edit Gift Card Account","Geschenkkarten-Konto bearbeiten"
"New Account","Neues Konto"
"New code pool was generated.","Neuer Code-Pool wurde generiert."
"We were unable to generate a new code pool.","Wir waren nicht in der Lage, einen neuen Code-Pool zu generieren."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"Please select a gift card account(s)","Bitte wählen Sie ein oder mehrere Geschenkkarten-Konten"
"You deleted a total of %1 records.","Sie haben insgesamt %1 Einträge gelöscht."
"You saved the gift card account.","Sie haben das Geschenkkarten-Konto gespeichert."
"An email was not sent because the gift card account is not active.","Eine E-Mail wurde nicht gesendet, da das Geschenkkarten-Konto nicht aktiv ist."
"You saved the gift card account, but an email was not sent.","Sie das Geschenkkarten-Konto gespeichert, aber eine E-Mail wurde nicht gesendet."
"We will refund the gift card amount to your customer’s store credit","Wir erstatten den Geschenkkartenbetrag zu Ihrem Shop-Guthaben"
"Please enable Store Credit to refund the gift card amount to your customer","Bitte aktivieren Sie Shop-Guthaben, um dem Kunden den Geschenkkartenbetrag zu erstatten"
"Please correct the gift card code.","Please correct the gift card code."
"Gift Card ""%1"" was added.","Gutschein ""%1"" wurde hinzugefügt."
"We cannot apply this gift card.","Wir können diese Geschenkkarte nicht anwenden."
"Gift Card ""%1"" was removed.","Geschenkkarte ""%1"" wurde entfernt."
"You can't remove this gift card.","Sie können diese Geschenk-Karte nicht entfernen."
"You can't redeem a gift card now.","Sie können noch keine Geschenkkarten einlösen."
"Gift Card ""%1"" was redeemed.","Geschenkkarte ""%1"" ist eingelöst."
"We cannot redeem this gift card.","Wir können diese Geschenkekarte nicht einlösen."
"Gift Card","Geschenkkarte"
"By admin: %1.","Von Admin: %1."
"Could not save the gift card account.","Could not save the gift card account."
"Could not delete the gift card account.","Could not delete the gift card account."
"The expiration date must be set in the future.","Das Ablaufdatum muss auf einen Punkt in der Zukunft gesetzt werden."
"The balance cannot be less than zero.","Das Guthaben kann nicht weniger als Null sein."
"This gift card account is already in the quote.","Dieses Geschenkkartenkonto ist bereits im Angebot vorhanden."
"Please correct the gift card account code: ""%1"".","Bitte den Geschenkkartenkontocode korrigieren: ""%1"""
"This gift card account wasn't found in the quote.","Dieses Geschenk-Kartenkonto wurde im Angebot nicht gefunden."
"Please correct the gift card account ID. Requested code: ""%1""","Bitte die Geschenkkartenkonto-ID korrigieren. Angeforderter Code: ""%1"""
"Please correct the gift card account website: %1.","Bitte die Geschenkkartenkonto-Website korrigieren: %1"
"Gift card account %1 is not enabled.","Geschenkkartenkonto %1 ist nicht aktiviert."
"Gift card account %1 is expired.","Geschenkkartenkonto %1 ist abgelaufen."
"Gift card account %1 has a zero balance.","Geschenkkartenkonto %1 hat ein Nullsaldo."
"Gift card account %1 balance is lower than the charged amount.","Saldo des Geschenkkartenkontos %1 ist niedriger als der zu zahlende Betrag."
"Available","Verfügbar"
"Used","Verwendet"
"Redeemed","Eingelöst"
"Expired","Abgelaufen"
"Please enter a valid customer ID.","Bitte gib eine gültige Kunden-ID ein."
"Gift Card Redeemed: %1. For customer #%2.","Geschenkkarte eingelöst: %1 Für Kunde #%2"
"Created","Erstellt"
"Updated","Aktualisiert"
"Sent","Gesendet"
"Order #%1.","Bestellung #%1."
"Recipient: %1.","Empfänger: %1."
"Customer #%1.","Kunde %1."
"Please assign a gift card account.","Bitte weisen Sie ein Geschenk-Karten-Konto zu."
"Unknown history action.","Unbekannte Verlaufsaktion."
"We were unable to create full code pool size. Please check settings and try again.","Es konnte nicht der gesamte Code-Pool erstellt werden. Bitte überprüfen Sie Ihre Einstellungen und versuchen es anschließend erneut."
"No codes left in the pool.","Keine Codes verfügbar."
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Could not delete gift card from quote","Could not delete gift card from quote"
"Could not add gift card code","Could not add gift card code"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"Alphanumeric","Alphanumerisch"
"Alphabetical","Alphabetisch"
"Numeric","Numerisch"
"The maximum generated code length is 255. Please correct your settings.","Die maximale Codelänge für generierten Code ist 255. Bitte prüfen Sie Ihre Einstellungen."
"Gift Cards","Geschenkkarten"
"test message","Testnachricht"
"Generate","Erstellen"
"Code Pool used: ","Genutzter Code Pool: "
" (free "," (kostenlos "
" of "," von "
" total)."," gesamt)."
"Are you sure you want to continue without saving your changes?","Sind Sie sicher, dass Sie fortfahren möchten, ohne Ihre Änderungen zu speichern?"
"Refund Gift Cards to Store Credit","Geschenkkarten zum Shopguthaben zurückerstatten"
"Add Gift Card","Geschenkkarte hinzufügen"
"Remove","Entfernen"
"Gift Card (%1)","Geschenkkarte (%1)"
"This won't take long . . .","Das wird nicht lange dauern..."
"Enter gift card code","Geschenkkarten-Code eingeben"
"Redeem Gift Card","Geschenkkarte einlösen"
"Check status and balance","Status und Saldo kontrollieren"
"Have a gift card? ","Haben Sie einen Geschenkgutschein? "
"Click here","Klicken Sie hier"
" to redeem it."," um ihn einzulösen."
"Enter the gift card code","Geben dein Geschenkkarten-Code ein"
"Check Gift Card status and balance","Saldo und Status Geschenkkarte"
"Gift Card: ","Geschenkkarte: "
"Current Balance: ","Aktueller Saldo: "
"Expires: ","Gültig bis: "
"Please enter a valid gift card code.","Bitte geben Sie einen gültigen Geschenkkarten-Code ein."
"Add or remove gift cards","Geschenkgutschein hinzufügen oder entfernen"
"Gift Card amount applied to order:","Gutscheinbetrag wurde auf Bestellung angewendet:"
"You've been sent a gift from %store_name","Sie haben ein Geschenk von %store_name erhalten"
"%name,","%name,"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","Sie haben eine Geschenkkarte für %store_name erhalten. Diese kann nun für Ihre Einkäufe genutzt werden."
"Gift Card Code: %code","Geschenkkartencode: %code"
"The card has a balance of %balance and can be used at ","Der Geschenkgutschein hat ein Guthaben von %balance, welches verwendet werden kann bei "
"%store_name","%store_name"
"Apply Gift Card","Geschenkkarte einlösen"
"Gift Card:","Geschenkkarte:"
"Apply","Anwenden"
"See Balance","Saldo einsehen"
"Gift Card amount applied to order: ","Gutscheinbetrag wurde auf Bestellung angewendet: "
"Email Sent from Gift Card Account Management","Vom Geschenkkartenkonto-Management gesendete E-Mail"
"Gift Card Email Sender","Absender für Geschenkkarten-E-Mails"
"Gift Card Template","Vorlage für Geschenkkarten"
"Gift Card Account General Settings","Allgemeine Einstellungen des Geschenkkartenkontos"
"Code Length","Codelänge"
"Excluding prefix, suffix and separators.","Ohne Präfix, Suffix und Trennzeichen."
"Code Format","Code-Format"
"Code Prefix","Code Präfix"
"Code Suffix","Code-Suffix"
"Dash Every X Characters","Bindestrich nach jedem x-ten Zeichen"
"if empty no separation","Wenn leer, keine Trennung."
"New Pool Size","Neue Pool-Größe"
"Low Code Pool Threshold","Grenzwert für niedrigen Code-Pool"
