"Gift Card Accounts","Konta Gift Card"
"Add Gift Card Account","Dodaj konto karty upominkowej"
"Save","Zapisz"
"Delete","Usuń"
"Save & Send Email","Zapisz i wyślij E-mail"
"Edit Gift Card Account: %1","Edycja konta Karty Podarunkowej: %1"
"New Gift Card Account","Nowe konto Karty Podarunkowej"
"ID","Identyfikator"
"Date","Data"
"Action","Operacja"
"Balance Change","Zmiana bilansu"
"Balance","Bilans"
"More Information","Więcej informacji"
"Information","Informacje"
"Gift Card Code","Kod Karty Podarunkowej"
"Status","Stan"
"Active","Aktywny"
"Yes","Tak"
"No","Nie"
"Redeemable","Wymienialna"
"Website","Witryna"
"Expiration Date","Data ważności"
"Send Gift Card","Wyślij Kartę Podarunkową"
"Recipient Email","E-mail odbiorcy"
"Recipient Name","Nazwa odbiorcy"
"Send Email from the Following Store View","Wyślij e-mail z następującego widoku sklepu"
"-- First Please Select a Website --","-- Najpierw proszę wybrać witrynę --"
"Gift Card Account","Konto kart podarunkowych"
"History","Historia"
"This gift card account has been deleted.","Ta karta upominkowa została usunięta."
"We couldn't find a gift card account to delete.","Nie mogliśmy znaleźć konta karty upominkowej, aby usunąć."
"Edit Gift Card Account","Edytuj konto karty upominkowej"
"New Account","Nowe Konto"
"New code pool was generated.","Nowy kod został wygenerowany."
"We were unable to generate a new code pool.","Byliśmy w stanie wygenerować nowy kod."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"Please select a gift card account(s)","Wybierz konto karty upominkowej"
"You deleted a total of %1 records.","Usunięto w sumie %1 rekord(ów)."
"You saved the gift card account.","Konto Karty upominkowej zostało zapisane."
"An email was not sent because the gift card account is not active.","Wiadomość e-mail nie została wysłana, ponieważ Konto karty upominkowej nie jest aktywne."
"You saved the gift card account, but an email was not sent.","Konto Karty upominkowej zostało zapisane, ale nie wysłano e-mail."
"We will refund the gift card amount to your customer’s store credit","Otrzymasz zwrot kwoty karty podarunkowej na Twój kredyt kliencki w sklepie"
"Please enable Store Credit to refund the gift card amount to your customer","Proszę włączyć obsługę Kredytu Sklepu w celu zwrotu klientowi kwoty karty podarunkowej"
"Please correct the gift card code.","Please correct the gift card code."
"Gift Card ""%1"" was added.","Karta prezentowa ""%1"" została dodana."
"We cannot apply this gift card.","Nie stosujemy tej karty prezentowej."
"Gift Card ""%1"" was removed.","Karta podarunkowa ""%1"" została usunięta."
"You can't remove this gift card.","Nie można usunąć karty podarunkowej."
"You can't redeem a gift card now.","Możesz teraz wykupić kartę prezentową."
"Gift Card ""%1"" was redeemed.","Karta prezentowa ""%1"" została wykorzystana."
"We cannot redeem this gift card.","Nie można wykupić tej karty prezentowej."
"Gift Card","Karta podarunkowa"
"By admin: %1.","Przez Administratora: %1."
"Could not save the gift card account.","Could not save the gift card account."
"Could not delete the gift card account.","Could not delete the gift card account."
"The expiration date must be set in the future.","Data wygaśnięcia musi być ustawiona w przyszłości."
"The balance cannot be less than zero.","Saldo nie może być mniejsza od zera."
"This gift card account is already in the quote.","To konto karty upominkowej jest już w ofercie."
"Please correct the gift card account code: ""%1"".","Proszę poprawić kod konta karty upominkowej: ""%1""."
"This gift card account wasn't found in the quote.","To konto karty upominkowej nie został przeczytany."
"Please correct the gift card account ID. Requested code: ""%1""","Proszę poprawić identyfikator konta karty upominkowej. Zgłoszony kod: ""%1"""
"Please correct the gift card account website: %1.","Proszę poprawić stronę Konto karty upominkowej: %1."
"Gift card account %1 is not enabled.","Konto karty upominkowej %1 nie jest włączone."
"Gift card account %1 is expired.","Konto karty upominkowej %1 jest skończony."
"Gift card account %1 has a zero balance.","Konto karty upominkowej %1 ma zerowe saldo."
"Gift card account %1 balance is lower than the charged amount.","Konto karty upominkowej %1 jest niższa niż opłatę."
"Available","Dostępne"
"Used","Wykorzystane"
"Redeemed","Wykupiłem"
"Expired","Przeterminowane"
"Please enter a valid customer ID.","Wprowadź poprawny identyfikator klienta."
"Gift Card Redeemed: %1. For customer #%2.","Karta upominkowa wykupona: %1. Dla klienta #%2."
"Created","Utworzono"
"Updated","Zaktualizowano"
"Sent","Wysłano"
"Order #%1.","Zamówienie #%1."
"Recipient: %1.","Odbiorca: %1."
"Customer #%1.","Klient %1."
"Please assign a gift card account.","Przypisz konto karty podarunkowej."
"Unknown history action.","Nieznana historia działań."
"We were unable to create full code pool size. Please check settings and try again.","Nie udało nam się stworzyć pełny rozmiar puli kodu. Proszę sprawdzić ustawienia i spróbuj ponownie."
"No codes left in the pool.","Nie ma kodów."
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Could not delete gift card from quote","Could not delete gift card from quote"
"Could not add gift card code","Could not add gift card code"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"Alphanumeric","Alfanumeryczne"
"Alphabetical","Alfabetyczne"
"Numeric","Numeryczny"
"The maximum generated code length is 255. Please correct your settings.","Maksymalna długość wygenerowanego kodu może być ustawiona na 255 znaków. Popraw swoje ustawienia."
"Gift Cards","Karty podarunkowe"
"test message","wiadomość testowa"
"Generate","Wygeneruj"
"Code Pool used: ","Code Pool używany: "
" (free "," (za darmo "
" of "," z "
" total)."," ogółem)."
"Are you sure you want to continue without saving your changes?","Czy na pewno chcesz porzucić zmiany?"
"Refund Gift Cards to Store Credit","Zwrot karty upominkowej do sklepu kredytowego"
"Add Gift Card","Dodaj kartę upominkową"
"Remove","Usuń"
"Gift Card (%1)","Karta Podarunkowa (%1)"
"This won't take long . . .","To nie potrwa długo..."
"Enter gift card code","Wprowadź kod Karty Podarunkowej"
"Redeem Gift Card","Realizacja karty upominkowej"
"Check status and balance","Sprawdź status i saldo"
"Have a gift card? ","Mam kartę upominkową? "
"Click here","Kliknij tutaj"
" to redeem it."," aby to zrealizować."
"Enter the gift card code","Wpisz kod karty prezentowej"
"Check Gift Card status and balance","Sprawdź status i saldo Karty Podarunkowej"
"Gift Card: ","Karta podarunkowa: "
"Current Balance: ","Aktualne saldo: "
"Expires: ","Wygasa: "
"Please enter a valid gift card code.","Proszę wprowadzić poprawny kod Karty Podarunkowej."
"Add or remove gift cards","Dodawanie lub usuwanie kart podarunkowych"
"Gift Card amount applied to order:","Kwota na karcie upominkowej stosowane do zamówienia:"
"You've been sent a gift from %store_name","Dostałeś prezent od %store_name"
"%name,","%name,"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","Wysłałeś Bon do wykorzystania w %store_name i to jest teraz gotowy do wykorzystania na zakupy."
"Gift Card Code: %code","Kod karty podarunkowej: %code"
"The card has a balance of %balance and can be used at ","Karta ma bilans %balance i może być użyta w "
"%store_name","%store_name"
"Apply Gift Card","Zastosowanie karty upominkowej"
"Gift Card:","Karta podarunkowa:"
"Apply","Zastosuj"
"See Balance","Sprawdzić saldo"
"Gift Card amount applied to order: ","Kwota na karcie upominkowej stosowane do zamówienia: "
