"Gift Card Accounts","Kinkekaardi kontod"
"Add Gift Card Account","Add Gift Card Account"
"Save","Salvesta"
"Delete","Kustuta"
"Save & Send Email","Salvesta & Saada e-post"
"Edit Gift Card Account: %1","Muuda kingikaarti kontot: %1"
"New Gift Card Account","New Gift Card Account"
"ID","ID"
"Date","Kuupäev"
"Action","Toiming"
"Balance Change","Saldo muutus"
"Balance","Kontojääk"
"More Information","Lisainfo"
"Information","Informatsioon"
"Gift Card Code","Kinkekaardi kood"
"Status","Staatus"
"Active","Aktiivne"
"Yes","Jah"
"No","Ei"
"Redeemable","Redeemable"
"Website","Koduleht"
"Expiration Date","Aegumiskuupäev"
"Send Gift Card","Saada kinkekaart"
"Recipient Email","Saaja e-posti aadress"
"Recipient Name","Saaja nimi"
"Send Email from the Following Store View","Saada e-post järgmisest poevaatest"
"-- First Please Select a Website --","-Esmalt valige veebisait--"
"Gift Card Account","Kinkekaardi konto"
"History","Ajalugu"
"This gift card account has been deleted.","This gift card account has been deleted."
"We couldn't find a gift card account to delete.","We couldn't find a gift card account to delete."
"Edit Gift Card Account","Muuda kinkekaarti kontot"
"New Account","Uus konto"
"New code pool was generated.","New code pool was generated."
"We were unable to generate a new code pool.","We were unable to generate a new code pool."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"Please select a gift card account(s)","Please select a gift card account(s)"
"You deleted a total of %1 records.","You deleted a total of %1 records."
"You saved the gift card account.","You saved the gift card account."
"An email was not sent because the gift card account is not active.","An email was not sent because the gift card account is not active."
"You saved the gift card account, but an email was not sent.","You saved the gift card account, but an email was not sent."
"We will refund the gift card amount to your customer’s store credit","We will refund the gift card amount to your customer’s store credit"
"Please enable Store Credit to refund the gift card amount to your customer","Please enable Store Credit to refund the gift card amount to your customer"
"Please correct the gift card code.","Please correct the gift card code."
"Gift Card ""%1"" was added.","Lisati kinkekaart ""%1""."
"We cannot apply this gift card.","We cannot apply this gift card."
"Gift Card ""%1"" was removed.","Gift Card ""%1"" was removed."
"You can't remove this gift card.","You can't remove this gift card."
"You can't redeem a gift card now.","You can't redeem a gift card now."
"Gift Card ""%1"" was redeemed.","Gift Card ""%1"" was redeemed."
"We cannot redeem this gift card.","We cannot redeem this gift card."
"Gift Card","Kinkekaart"
"By admin: %1.","By admin: %1."
"Could not save the gift card account.","Could not save the gift card account."
"Could not delete the gift card account.","Could not delete the gift card account."
"The expiration date must be set in the future.","The expiration date must be set in the future."
"The balance cannot be less than zero.","The balance cannot be less than zero."
"This gift card account is already in the quote.","This gift card account is already in the quote."
"Please correct the gift card account code: ""%1"".","Please correct the gift card account code: ""%1""."
"This gift card account wasn't found in the quote.","This gift card account wasn't found in the quote."
"Please correct the gift card account ID. Requested code: ""%1""","Please correct the gift card account ID. Requested code: ""%1"""
"Please correct the gift card account website: %1.","Please correct the gift card account website: %1."
"Gift card account %1 is not enabled.","Gift card account %1 is not enabled."
"Gift card account %1 is expired.","Gift card account %1 is expired."
