"First-Class Mail Large Envelope","Amplop Kelas Satu Besar"
"First-Class Mail Letter","Surat Kelas Pertama"
"First-Class Package Service - Retail","Layanan Paket Kelas Satu - Ritel"
"First-Class Mail Postcards","Kartu Pos Mail Kelas Satu"
"Priority Mail","Email Prioritas"
"Priority Mail Express Hold For Pickup","Prioritas Mail Express Hold For Pickup"
"Priority Mail Express","Prioritas Mail Express"
"Retail Ground","Tanah Ritel"
"Media Mail","Surat media"
"Library Mail","Perpustakaan surat"
"Priority Mail Express Flat Rate Envelope","Amplop Priority Mail Express Flat Rate"
"First-Class Mail Large Postcards","Kartu Pos Kelas Satu Kartu Pos Besar"
"Priority Mail Flat Rate Envelope","Amplop Lebar Email Prioritas"
"Priority Mail Medium Flat Rate Box","Kotak Medium Flat Rate Prioritas"
"Priority Mail Large Flat Rate Box","Kotak Prioritas Kotak Besar Rata-Rata"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Minggu/Hari Libur"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Prioritas Surat Cepat Minggu / Libur pengiriman/ Amplop rata"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Amplop Prioritas Pesan Ekspres Rating Datar Tahan Untuk Memilih"
"Priority Mail Small Flat Rate Box","Kotak Prioritas Pesan Kecil Menilai datar"
"Priority Mail Padded Flat Rate Envelope","Amplop Prioritas Pesan Empuk Menilai Datar"
"Priority Mail Express Legal Flat Rate Envelope","Amplop Prioritas Pesan Ekspres Resmi Menilai Datar"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Amplop Prioritas Resmi Menilai Datar Tahan Untuk Memilih"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Prioritas Surat Cepat Hari Minggu/Libur Pengiriman Amplop tarif rata-rata"
"Priority Mail Hold For Pickup","Tahan Pesan Prioritas Untuk pickup"
"Priority Mail Large Flat Rate Box Hold For Pickup","Email Prioritas Kotak Flat Rate Besar Tahan Untuk Pickup"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Kotak Medium Medium Flat Rate Tahan Menahan Pickup"
