"First-Class Mail Large Envelope","First-Class Mail（普通邮件）大信封"
"First-Class Mail Letter","First-Class Mail（普通邮件）信"
"First-Class Package Service - Retail","First-Class Mail（普通邮件）包裹服务 - 零售"
"First-Class Mail Postcards","First-Class Mail（普通邮件）明信片"
"Priority Mail","优先邮件"
"Priority Mail Express Hold For Pickup","优先邮件快递舱为皮卡的"
"Priority Mail Express","优先邮件快递"
"Retail Ground","零售地面"
"Media Mail","媒体的邮件"
"Library Mail","图书馆邮件"
"Priority Mail Express Flat Rate Envelope","优先邮件快递的扁平率信封"
"First-Class Mail Large Postcards","一流的邮件大明信片"
"Priority Mail Flat Rate Envelope","优先邮件扁平率信封"
"Priority Mail Medium Flat Rate Box","优先邮件中等扁平率的框"
"Priority Mail Large Flat Rate Box","优先邮件箱大扁率"
"Priority Mail Express Sunday/Holiday Delivery","优先邮件快递周日/节假日"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","优先邮件表达周日/节假日送货扁平率信封"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","优先邮件快递的扁平率信封舱为皮卡的"
"Priority Mail Small Flat Rate Box","优先邮件小扁平率的框"
"Priority Mail Padded Flat Rate Envelope","优先邮件软垫的扁平率信封"
"Priority Mail Express Legal Flat Rate Envelope","优先邮件表达法律的扁平率信封"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","优先邮件表达法律的扁平率信封等待皮卡"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","优先邮件表达周日/节假日交付法律扁平率信封"
"Priority Mail Hold For Pickup","皮卡的优先邮件舱"
"Priority Mail Large Flat Rate Box Hold For Pickup","优先邮件大扁率框舱为皮卡的"
"Priority Mail Medium Flat Rate Box Hold For Pickup","优先邮件中等扁平率盒舱为皮卡的"
"Priority Mail Small Flat Rate Box Hold For Pickup","优先邮件划一小框舱为皮卡的"
"Priority Mail Flat Rate Envelope Hold For Pickup","优先邮件扁平率信封舱为皮卡的"
"Priority Mail Gift Card Flat Rate Envelope","优先邮件礼物卡扁平率信封"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","优先邮件礼物卡扁平率信封舱为皮卡的"
"Priority Mail Window Flat Rate Envelope","优先邮件窗口扁平率信封"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","优先邮件窗口扁平率信封舱为皮卡的"
"Priority Mail Small Flat Rate Envelope","优先邮件小扁平率信封"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","优先邮件小扁平率信封舱为皮卡的"
"Priority Mail Legal Flat Rate Envelope","优先邮件法律扁平率信封"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","优先邮件法律扁平率信封舱为皮卡的"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","优先邮件填充拾取的扁平率信封举行"
"Priority Mail Regional Rate Box A","优先邮件区域率框 A"
"Priority Mail Regional Rate Box A Hold For Pickup","优先邮件区域率框 A 持有的皮卡"
"Priority Mail Regional Rate Box B","优先邮件区域率框 B"
"Priority Mail Regional Rate Box B Hold For Pickup","优先邮件区域率框 B 举行为皮卡"
"First-Class Package Service Hold For Pickup","皮卡一流的包装服务暂停"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","优先邮件表达周日/节假日送货扁平率盒"
"Priority Mail Regional Rate Box C","优先邮件区域率框 C"
"Priority Mail Regional Rate Box C Hold For Pickup","优先邮件区域率框 C 举行为皮卡"
"First-Class Package Service","一流的包装服务"
"Priority Mail Express Padded Flat Rate Envelope","优先邮件快递软垫的扁平率信封"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","优先邮件快递软垫的扁平率信封舱为皮卡的"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","优先邮件表达周日/节假日交付法律扁平率信封"
"Priority Mail Express International","快递国际优先邮件"
"Priority Mail International","国际优先邮件"
"Global Express Guaranteed (GXG)","全球快递保证 (GXG)"
"Global Express Guaranteed Document","全球快递保证文档"
"Global Express Guaranteed Non-Document Rectangular","全球快递保证非文档矩形"
"Global Express Guaranteed Non-Document Non-Rectangular","全球快递保证非文档非矩形"
"Priority Mail International Flat Rate Envelope","优先邮件国际扁平率信封"
"Priority Mail International Medium Flat Rate Box","优先邮件国际中等扁平率的框"
"Priority Mail Express International Flat Rate Envelope","优先邮件表达国际扁平率信封"
"Priority Mail International Large Flat Rate Box","优先邮件国际大型扁平率的框"
"USPS GXG Envelopes","美国邮政 GXG 信封"
"First-Class Mail International Letter","一流的邮件国际信"
"First-Class Mail International Large Envelope","一流国际大信封"
"First-Class Package International Service","一流的包国际服务"
"Priority Mail International Small Flat Rate Box","优先邮件国际小扁平率的框"
"Priority Mail Express International Legal Flat Rate Envelope","优先邮件表达国际软垫的扁平率信封"
"Priority Mail International Gift Card Flat Rate Envelope","优先邮件国际礼品卡扁平率信封"
"Priority Mail International Window Flat Rate Envelope","优先邮件国际窗口扁平率信封"
"Priority Mail International Small Flat Rate Envelope","优先邮件国际小扁平率信封"
"First-Class Mail International Postcard","一流的邮件国际明信片"
"Priority Mail International Legal Flat Rate Envelope","优先邮件国际法律扁平率信封"
"Priority Mail International Padded Flat Rate Envelope","优先邮件国际软垫的扁平率信封"
"Priority Mail International DVD Flat Rate priced box","优先邮件国际 DVD 扁平率定价框"
"Priority Mail International Large Video Flat Rate priced box","优先邮件国际大型视频扁平率定价框"
"Priority Mail Express International Padded Flat Rate Envelope","优先邮件表达国际软垫的扁平率信封"
"Letter","信"
"Flat","单位"
"Parcel","包裹"
"Variable","变量"
"Small Flat-Rate Box","小扁平率的框"
"Medium Flat-Rate Box","中等扁平率的框"
"Large Flat-Rate Box","大扁平率的框"
"Flat-Rate Envelope","扁平率信封"
"Small Flat-Rate Envelope","小的扁平率信封"
"Window Flat-Rate Envelope","窗口扁平率信封"
"Gift Card Flat-Rate Envelope","礼品卡扁平率信封"
"Legal Flat-Rate Envelope","合法的扁平率信封"
"Padded Flat-Rate Envelope","垫固定费率信封"
"Rectangular","矩形"
"Non-rectangular","非矩形"
"Regular","定期的"
"Large","大"
"Yes","是"
"No","否"
"Not Required","不是必需的"
"Required","必填"
"For some reason we can't retrieve tracking info right now.","出于某种原因，我们无法检索跟踪信息现在。"
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","对不起，出了一些错。请再试一次或联系我们，我们会尽力帮助。"
"track_summary","track_summary"
"Empty response","空响应"
"Service type does not match","服务类型不匹配"
"Merchandise","商品"
"Sample","示例"
"Gift","礼物"
"Documents","文件"
"Return","返回"
"Other","其他​​​"
"None","无"
"Field ","字段"
" is required.","是必需的。"
"USPS","美国邮政"
"Enabled for Checkout","免费送货金额门槛"
"Gateway URL","网关网址"
"Secure Gateway URL","安全的网关的 URL"
"Title","标题"
"User ID","用户 ID"
"Password","密码"
