"First-Class Mail Large Envelope","Први-Цласс Маил Ларге Енвелопе"
"First-Class Mail Letter","Први-Цласс Маил Леттер"
"First-Class Package Service - Retail","Први-Цласс Пацкаге Сервице - Ретаил"
"First-Class Mail Postcards","Први-Цласс Маил Постцардс"
"Priority Mail","Priority Mail"
"Priority Mail Express Hold For Pickup","Priority Mail Express Hold For Pickup"
"Priority Mail Express","Priority Mail Express"
"Retail Ground","Retail Ground"
"Media Mail","Media Mail"
"Library Mail","Library Mail"
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate Envelope"
"First-Class Mail Large Postcards","Први-Цласс Маил Ларге Постцардс"
"Priority Mail Flat Rate Envelope","Priority Mail Flat Rate Envelope"
"Priority Mail Medium Flat Rate Box","Priority Mail Medium Flat Rate Box"
"Priority Mail Large Flat Rate Box","Priority Mail Large Flat Rate Box"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Sunday/Holiday Delivery"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Flat Rate Envelope Hold For Pickup"
"Priority Mail Small Flat Rate Box","Priority Mail Small Flat Rate Box"
"Priority Mail Padded Flat Rate Envelope","Priority Mail Padded Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope"
"Priority Mail Hold For Pickup","Priority Mail Hold For Pickup"
"Priority Mail Large Flat Rate Box Hold For Pickup","Priority Mail Large Flat Rate Box Hold For Pickup"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Priority Mail Medium Flat Rate Box Hold For Pickup"
"Priority Mail Small Flat Rate Box Hold For Pickup","Priority Mail Small Flat Rate Box Hold For Pickup"
"Priority Mail Flat Rate Envelope Hold For Pickup","Priority Mail Flat Rate Envelope Hold For Pickup"
"Priority Mail Gift Card Flat Rate Envelope","Приоритy Маил Поклон картица Флат Рате Енвелопе"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Приоритy Маил Поклон картица Флат Рате Енвелопе Холд Фор Пицкуп"
"Priority Mail Window Flat Rate Envelope","Priority Mail Window Flat Rate Envelope"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Priority Mail Window Flat Rate Envelope Hold For Pickup"
"Priority Mail Small Flat Rate Envelope","Priority Mail Small Flat Rate Envelope"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Priority Mail Small Flat Rate Envelope Hold For Pickup"
"Priority Mail Legal Flat Rate Envelope","Priority Mail Legal Flat Rate Envelope"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Priority Mail Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Priority Mail Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Regional Rate Box A","Priority Mail Regional Rate Box A"
"Priority Mail Regional Rate Box A Hold For Pickup","Priority Mail Regional Rate Box A Hold For Pickup"
"Priority Mail Regional Rate Box B","Priority Mail Regional Rate Box B"
"Priority Mail Regional Rate Box B Hold For Pickup","Priority Mail Regional Rate Box B Hold For Pickup"
"First-Class Package Service Hold For Pickup","Први-Цласс Пацкаге Сервице Холд Фор Пицкуп"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes"
"Priority Mail Regional Rate Box C","Priority Mail Regional Rate Box C"
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regional Rate Box C Hold For Pickup"
"First-Class Package Service","Први-Цласс Пацкаге Сервице"
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate Envelope"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope"
"Priority Mail Express International","Priority Mail Express International"
"Priority Mail International","Priority Mail International"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Priority Mail International Flat Rate Envelope","Priority Mail International Flat Rate Envelope"
"Priority Mail International Medium Flat Rate Box","Priority Mail International Medium Flat Rate Box"
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate Envelope"
"Priority Mail International Large Flat Rate Box","Priority Mail International Large Flat Rate Box"
"USPS GXG Envelopes","USPS GXG Envelopes"
"First-Class Mail International Letter","Први-Цласс Маил Интернатионал Леттер"
"First-Class Mail International Large Envelope","Први-Цласс Маил Интернатионал Ларге Енвелопе"
"First-Class Package International Service","Први-Цласс Пацкаге Интернатионал Сервице"
"Priority Mail International Small Flat Rate Box","Priority Mail International Small Flat Rate Box"
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate Envelope"
"Priority Mail International Gift Card Flat Rate Envelope","Приоритy Маил Интернатионал Поклон картица Флат Рате Енвелопе"
"Priority Mail International Window Flat Rate Envelope","Priority Mail International Window Flat Rate Envelope"
"Priority Mail International Small Flat Rate Envelope","Priority Mail International Small Flat Rate Envelope"
"First-Class Mail International Postcard","Први-Цласс Маил Интернатионал Постцард"
"Priority Mail International Legal Flat Rate Envelope","Priority Mail International Legal Flat Rate Envelope"
"Priority Mail International Padded Flat Rate Envelope","Priority Mail International Padded Flat Rate Envelope"
"Priority Mail International DVD Flat Rate priced box","Priority Mail International DVD Flat Rate priced box"
"Priority Mail International Large Video Flat Rate priced box","Priority Mail International Large Video Flat Rate priced box"
"Priority Mail Express International Padded Flat Rate Envelope","Priority Mail Express International Padded Flat Rate Envelope"
"Letter","Letter"
"Flat","Flat"
"Parcel","Parcel"
"Variable","Варијабла"
"Small Flat-Rate Box","Small Flat-Rate Box"
"Medium Flat-Rate Box","Medium Flat-Rate Box"
"Large Flat-Rate Box","Large Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Small Flat-Rate Envelope","Small Flat-Rate Envelope"
"Window Flat-Rate Envelope","Window Flat-Rate Envelope"
"Gift Card Flat-Rate Envelope","Поклон картица Флат-Рате Енвелопе"
"Legal Flat-Rate Envelope","Legal Flat-Rate Envelope"
"Padded Flat-Rate Envelope","Padded Flat-Rate Envelope"
"Rectangular","Rectangular"
"Non-rectangular","Non-rectangular"
"Regular","Стандардно"
"Large","Large"
"Yes","Да"
"No","Не"
"Not Required","Није Захтевано"
"Required","Обавезно"
"For some reason we can't retrieve tracking info right now.","For some reason we can't retrieve tracking info right now."
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Соррy, нешто није у реду. Покушајте поново ор цонтацт ус анд wе'лл трy то хелп."
"track_summary","track_summary"
"Empty response","Празан одговор"
"Service type does not match","Service type does not match"
"Merchandise","Merchandise"
"Sample","Примерак"
"Gift","Gift"
"Documents","Документа"
"Return","Повраћај"
"Other","Остало"
"None","Ништа"
"Field ","Поље"
" is required.","је обавезно."
"USPS","USPS"
"Enabled for Checkout","Омогући за Плаћање"
"Gateway URL","УРЛ адреса мрежног пролаза"
"Secure Gateway URL","Secure Gateway URL"
"Title","Наслов"
"User ID","User ID"
"Password","Лозинка"
"Mode","Mode"
"Packages Request Type","Врста Захтева за Пакете"
"Container","Container"
"Size","Величина"
"Width","Ширина"
"Length","Length"
"Height","Висина"
"Girth","Обим"
"Machinable","Machinable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Максимална Тежина Пакета (Проверите са Вашим достављачем која је максимална тежина за испоруку)"
"Calculate Handling Fee","Израчунајте накнаду за руковање"
"Handling Applied","Примењено руковање"
"Handling Fee","Трошкови обраде"
"Allowed Methods","Дозвољене Методе"
"Free Method","Бесплатна Метода"
"Enable Free Shipping Threshold","Омогуц́ите праг бесплатне испоруке"
"Free Shipping Amount Threshold","Праг бесплатне испоруке"
"Displayed Error Message","Приказана Порука о Грешци"
"Ship to Applicable Countries","Достави у Одговарајућу Државу"
"Ship to Specific Countries","Достави у Наведену Државу"
"Debug","Отклањање грешака"
"Show Method if Not Applicable","Прикажи Метод ако Није Применљиво"
"Sort Order","Редослед поруџбина"
"First-Class Mail Parcel","Први-Цласс Маил Парцел"
"Flat-Rate Box","Flat-Rate Box"
"Standard Post","Standard Post"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express Flat Rate Boxes"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express Flat Rate Boxes Hold For Pickup"
"Priority Mail Express International Flat Rate Boxes","Priority Mail Express International Flat Rate Boxes"
