"First-Class Mail Large Envelope","Amplop Kelas Satu Besar"
"First-Class Mail Letter","Surat Kelas Pertama"
"First-Class Package Service - Retail","Layanan Paket Kelas Satu - Ritel"
"First-Class Mail Postcards","Kartu Pos Surat Kelas Satu"
"Priority Mail","Email Prioritas"
"Priority Mail Express Hold For Pickup","Prioritas Mail Express Tahan Untuk Pickup"
"Priority Mail Express","Prioritas Mail Express"
"Retail Ground","Tahanan Ritel"
"Media Mail","Surat Media"
"Library Mail","Perpustakaan Surat"
"Priority Mail Express Flat Rate Envelope","Surat Prioritas Express Amplop Tingkat Datar"
"First-Class Mail Large Postcards","Kartu Pos Kelas Satu Kartu Pos Besar"
"Priority Mail Flat Rate Envelope","Amplop Lebar Email Prioritas"
"Priority Mail Medium Flat Rate Box","Kotak Medium Tarif Flat Prioritas"
"Priority Mail Large Flat Rate Box","Kotak Prioritas Kotak Besar Rata-Rata"
"Priority Mail Express Sunday/Holiday Delivery","Prioritas Mail Express Minggu/Hari Libur"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Prioritas surat Cepat Minggu/Libur Pengiriman Amplop Rata"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Amplop Prioritas Pesan Ekspres Rating Datar Tahan Untuk Memilih"
"Priority Mail Small Flat Rate Box","Kotak Prioritas Pesan Kecil Menilai Datar"
"Priority Mail Padded Flat Rate Envelope","Amplop Prioritas Pesan Empuk Menilai Datar"
"Priority Mail Express Legal Flat Rate Envelope","Amplop Prioritas Pesan Ekspres Resmi Menilai Datar"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Amplop Prioritas Resmi Menilai Datar Tahan untuk Memilih"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Prioritas Surat Cepat Hari Minggu/Libur Pengiriman Amplop Tarif Rata-Rata"
"Priority Mail Hold For Pickup","Tahan Pesan Prioritas Untuk Pickup"
"Priority Mail Large Flat Rate Box Hold For Pickup","Email Prioritas Kotak Tarif Flat Besar Tahan Untuk Pickup"
