"Integrations","אינטגרציות"
"Add New Integration","להוסיף אינטגרציה חדשה"
"API","API"
"Save","שמור"
"Save & Activate","שמור והפעל"
"New Integration","אינגרציה חדשה"
"Edit Integration '%1'","לערוך אינטגרציה '%1'"
"Integration Info","מידע עבור האינטגרציה"
"General","כללי"
"Name","שם"
"Email","דואר אלקטרוני"
"Callback URL","Callback URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://."
"Identity link URL","Identity link URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL to redirect user to link their 3rd party account with this Magento integration credentials."
"Current User Identity Verification","אימות זהות המשתמש הנוכחי"
"Your Password","הסיסמה שלך"
"Integration Details","פרטי הטמעה"
"Basic Settings","הגדרות בסיסיות"
"Integration Tokens for Extensions","Integration Tokens for Extensions"
"Consumer Key","מפתח הצרכן"
"Consumer Secret","Consumer Secret"
"Access Token","Access Token"
"Access Token Secret","Access Token Secret"
"Uninstall the extension to remove this integration","הסר את ההרחבה על מנת להסיר את האינטגרציה"
"Remove","הסר"
"View","הצגה"
"Edit","ערוך"
"Activate","הפעל"
"Reauthorize","אימות חוזר"
"Integration not secure","Integration not secure"
"Uninstall the extension to remove integration '%1'.","Uninstall the extension to remove integration '%1'."
"This integration no longer exists.","This integration no longer exists."
"The integration '%1' has been deleted.","The integration '%1' has been deleted."
"Integration ID is not specified or is invalid.","Integration ID is not specified or is invalid."
"Internal error. Check exception log for details.","Internal error. Check exception log for details."
"View ""%1"" Integration","View ""%1"" Integration"
"Edit ""%1"" Integration","Edit ""%1"" Integration"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information"
"The integrations created in the config file can't be edited.","The integrations created in the config file can't be edited."
"The integration '%1' has been saved.","האינטגרציה '%1' נשמרה."
"The integration was not saved.","The integration was not saved."
"The integration '%1' has been re-authorized.","The integration '%1' has been re-authorized."
"The integration '%1' has been activated.","The integration '%1' has been activated."
"Integration '%1' has been sent for re-authorization.","Integration '%1' has been sent for re-authorization."
"Integration '%1' has been sent for activation.","Integration '%1' has been sent for activation."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","A consumer with ""%1"" ID doesn't exist. Verify the ID and try again."
"title","כותרת"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
