"Integrations","Integrationen"
"Add New Integration","Neue Integration hinzufügen"
"API","API"
"Save","Speichern"
"Save & Activate","Speichern & aktivieren"
"New Integration","Neue Integration"
"Edit Integration '%1'","Integration ""%1"" bearbeiten"
"Integration Info","Integrationsinfo"
"General","Allgemein"
"Name","Name"
"Email","E-Mail"
"Callback URL","Callback-URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Geben Sie die URL an, an welche die OAuth Credentials gesendet werden sollen, falls OAuth verwendet wird. Wir empfehlen dringend eine gesicherte Verbindung mit HTTPS."
"Identity link URL","Identität Link-URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL um Nutzer zu ihrem Drittpartei-Konto umzuleiten mit den Anmeldeinformationen dieser Magento-Integration"
"Current User Identity Verification","Identitätsprüfung des aktuellen Benutzers"
"Your Password","Ihr Kennwort"
"Integration Details","Integrationsdetails"
"Basic Settings","Grundeinstellungen"
"Integration Tokens for Extensions","Integrations-Token für Extensions"
"Consumer Key","Konsumentenschlüssel"
"Consumer Secret","Konsumentengeheimnis"
"Access Token","Zugriffstoken"
"Access Token Secret","Zugriffstoken-Secret"
"Uninstall the extension to remove this integration","Deinstallieren Sie die Extension um diese Integration zu entfernen"
"Remove","Entfernen"
"View","Anzeigen"
"Edit","Bearbeiten"
"Activate","Aktivieren"
"Reauthorize","Nochmals genehmigen"
"Integration not secure","Integration nicht sicher"
"Uninstall the extension to remove integration '%1'.","Deinstallieren Sie die Extension, um die Integration '%1' zu entfernen."
"This integration no longer exists.","Diese Integration ist nicht mehr vorhanden."
"The integration '%1' has been deleted.","Die Integration '%1' wurde gelöscht."
"Integration ID is not specified or is invalid.","Integrations-ID ist nicht angegeben oder ist ungültig."
"Internal error. Check exception log for details.","Interner Fehler. Überprüfen Sie das Ausnahmeprotokoll für Details."
"View ""%1"" Integration","Integration ""%1"" anzeigen"
"Edit ""%1"" Integration","Integration ""%1"" bearbeiten"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Warnung! Integrationen, die nicht HTTPS verwenden sind unsicher und geben möglicherweise private oder persönliche Informationen preis."
"Cannot edit integrations created via config file.","Integrationen, die über eine Konfigurationsdatei erstellt wurden, können nicht bearbeitet werden."
"The integration '%1' has been saved.","Die Integration '%1' wurde gespeichert."
"The integration was not saved.","Die Integration wurde nicht gespeichert."
"The integration '%1' has been re-authorized.","Die Integration '%1' wurde neu autorisiert."
"The integration '%1' has been activated.","Die Integration '%1' wurde aktiviert."
"Integration '%1' has been sent for re-authorization.","Integration '%1' wurde für die Wiederzulassung versendet."
"Integration '%1' has been sent for activation.","Integration '%1' wurde für die Aktivierung versendet."
"A consumer with ID %1 does not exist","Ein Verbraucher mit der ID %1 existiert nicht"
"title","Titel"
"You did not sign in correctly or your account is temporarily disabled.","Sie haben sich nicht korrekt angemeldet oder Ihr Zugang ist zeitweise deaktiviert."
"This user has no tokens.","Dieser Benutzer hat keine Token."
"The tokens could not be revoked.","Die Token können nicht widerrufen werden."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Entschuldigung, beim Erteilen der Berechtigungen ist ein Fehler aufgetreten. Sie können im Ausnahme-Protokoll mehr erfahren."
