"Integrations","Integracije"
"Add New Integration","Dodaj Novo Integracija"
"API","API"
"Save","Sačuvaj"
"Save & Activate","Sačuvaj & Activate"
"New Integration","Novo Integracija"
"Edit Integration '%1'","Izmeni Integracija '%1'"
"Integration Info","Integracija Informacija"
"General","Opšte"
"Name","Ime"
"Email","E-pošta"
"Callback URL","Callback URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://."
"Identity link URL","Identity link URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL to redirect user to link their 3rd party account with this Magento integration credentials."
"Current User Identity Verification","Verifikacija identiteta trenutnog korisnika"
"Your Password","Vaša lozinka"
"Integration Details","Integracija Detalji"
"Basic Settings","Osnovna podešavanja"
"Integration Tokens for Extensions","Integracija Tokens for Ekstenzije"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Access Token","Access Token"
"Access Token Secret","Access Token Secret"
"Uninstall the extension to remove this integration","Uninstall the extension to remove this integration"
"Remove","Ukloni"
"View","Pregled"
"Edit","Izmeni"
"Activate","Aktiviraj"
"Reauthorize","Ponovo autorizuj"
"Integration not secure","Integracija not secure"
"Uninstall the extension to remove integration '%1'.","Uninstall the extension to remove integration '%1'."
"This integration no longer exists.","This integration no longer exists."
"The integration '%1' has been deleted.","The integration '%1' je deleted."
"Integration ID is not specified or is invalid.","Integracija ID is not specified or is neispravan."
"Internal error. Check exception log for details.","Internal error. Check exception log for details."
"View ""%1"" Integration","Pregled ""%1"" integracije"
"Edit ""%1"" Integration","Izmena ""%1"" integracije"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Upozorenje! Integracije not using HTTPS are insecure and potentially expose private or personally identifiable information"
"Cannot edit integrations created via config file.","Ne može edit integrations created via config file."
"The integration '%1' has been saved.","The integration '%1' je saved."
"The integration was not saved.","The integration nije saved."
"The integration '%1' has been re-authorized.","The integration '%1' je re-authorized."
"The integration '%1' has been activated.","The integration '%1' je activated."
"Integration '%1' has been sent for re-authorization.","Integracija '%1' je sent for re-authorization."
"Integration '%1' has been sent for activation.","Integracija '%1' je sent for activation."
"A consumer with ID %1 does not exist","A consumer with ID %1 ne postoji"
"title","naslov"
"You did not sign in correctly or your account is temporarily disabled.","Niste se pravilno prijavili ili je vaš nalog privremeno onemogućen."
"This user has no tokens.","This user has no tokens."
"The tokens could not be revoked.","The tokens nije mogao be revoked."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Sorry, nešto nije u redu granting permissions. You can find out more in the exceptions log."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Nešto nije u redu while deleting roles and permissions. You can find out more in the exceptions log."
"%fieldName is a required field.","%field naziv je obavezno polje."
"This customer has no tokens.","This customer has no tokens."
"Inactive","Neaktivan"
"Active","Aktivan"
"Reset","Resetovati"
"Integration with name '%1' exists.","Integracija with name '%1' exists."
"Integration with ID '%1' does not exist.","Integracija with ID '%1' ne postoji."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Jedna ili više <a href=""%1"">integracija</a> je resetovano zbog promene u njihovim xml konfiguracijama."
"Invalid Callback URL","Neispravan Callback URL"
"Invalid Rejected Callback URL","Neispravan Odbijen Callback URL"
"Incorrect timestamp value in the oauth_timestamp parameter","Netačan timestamp value in the oauth_timestamp parameter"
"The nonce is already being used by the consumer with ID %1","The nonce is already being used by the consumer with ID %1"
"An error occurred validating the nonce","Došlo je do greške validating the nonce"
"Cannot convert to access token due to token is not request type","Ne može convert to access token due to token is not request type"
"Consumer key has expired","Consumer key has expired"
"Cannot create request token because consumer token is not a verifier token","Ne može create request token because consumer token is not a verifier token"
"Request token is not associated with the specified consumer","Zahtev token is not associated with the specified consumer"
"Token is already being used","Token is already being used"
"Cannot get access token because consumer token is not a request token","Ne može get access token because consumer token is not a request token"
"Token is not associated with the specified consumer","Token is not associated with the specified consumer"
"Token is not an access token","Token is not an access token"
"Access token has been revoked","Access token je revoked"
"Consumer key is not the correct length","Consumer key is not the correct length"
"A consumer having the specified key does not exist","A consumer having the specified key ne postoji"
"Verifier is invalid","Verifier is neispravan"
"Verifier is not the correct length","Verifier is not the correct length"
"Token verifier and verifier token do not match","Token verifier and verifier token do not match"
"A consumer with the ID %1 does not exist","A consumer with the ID %1 ne postoji"
"Token is not the correct length","Token is not the correct length"
"Specified token does not exist","Specified token ne postoji"
"A token with consumer ID %1 does not exist","A token with consumer ID %1 ne postoji"
"Unexpected error. Unable to create oAuth consumer account.","Unexpected error. Nije moguće create oAuth consumer account."
"Unexpected error. Unable to load oAuth consumer account.","Unexpected error. Nije moguće load oAuth consumer account."
"Unable to post data to consumer due to an unexpected error","Nije moguće post data to consumer due to an unexpected error"
"Consumer with ID '%1' does not exist.","Consumer with ID '%1' ne postoji."
"Invalid token to except","Neispravan token to except"
"Integration with ID '%1' doesn't exist.","Integracija with ID '%1' ne postoji."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"You have entered an invalid password for current user.","You have entered an neispravan password for current user."
"A token with consumer ID 0 does not exist","A token with consumer ID 0 ne postoji"
"The integration you selected asks you to approve access to the following:","The integration you selected asks you to approve access to the following:"
"No permissions requested","Niste tražili dozvole"
"Are you sure ?","Da li ste sigurni ?"
"Are you sure you want to delete this integration? You can't undo this action.","Da li ste sigurni želite da delete this integration? Ne možete undo this action."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Please setup or sign in into your 3rd party account to complete setup of this integration."
"Available APIs","Dostupni API-ja"
"Resource Access","Pristup resursu"
"Custom","Izborno"
"All","Sve"
"Resources","Resursi"
"Sorry, something went wrong. Please try again later.","Izvinite, došlo je do greške. Pokušajte kasnije."
"Popup Blocker is enabled! Please add this site to your exception list.","Popup Blocker is enabled! Please add this site to your exception list."
"Allow","Dozvoli"
"Done","Gotovo"
"System Extensions","Ekstenzije sitema"
"System Integrations","Integracije Sistema"
"Extensions","Ekstenzije"
"OAuth","OAuth"
"Access Token Expiration","Access Token Expiration"
"Customer Token Lifetime (hours)","Kupac Token Lifetime (hours)"
"Admin Token Lifetime (hours)","Admin Token Lifetime (hours)"
"Cleanup Settings","Cleanup Podešavanja"
"Cleanup Probability","Cleanup Probability"
"Expiration Period","Expiration Period"
"Consumer Settings","Consumer Podešavanja"
"OAuth consumer credentials HTTP Post maxredirects","OAuth consumer credentials HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth consumer credentials HTTP Post timeout"
"Authentication Locks","Authentication Locks"
"Maximum Login Failures to Lock Out Account","Maximum Prijava Failures to Zaključaj Out Nalog"
"Lockout Time (seconds)","Lockout Vreme (seconds)"
"Integrations Configuration","Integracije Konfiguracija"
"Integration configuration file","Integracija configuration file"
"Integrations API Configuration","Integracija API konfiguracije"
"Integrations API configuration file","Integracije API configuration file"
"We couldn't find any records.","Nismo pronašli ni jedan zapis."
"Status","Status"
"Integration configuration file.","Integracija configuration file."
"Integrations API configuration file.","Integracija API datoteku za konfiguraciju."
"No Integrations Found","Ne Integracije Found"
"Are you sure?","Da li ste sigurni?"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts."
"Number of maximum redirects for OAuth consumer credentials Post request.","Number of maximum redirects for OAuth consumer credentials Post request."
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout for OAuth consumer credentials Post request within X seconds."
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"The integrations created in the config file can't be edited.","The integrations created in the config file can't be edited."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","Potrošač sa ""%1"" ID ne postoji. Proverite ID i pokušajte ponovo."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Ulogovali ste se sa pogrešnom šifrom ili je Vaš nalog privremeno onemogućen. Molimo sačekajte i pokušajte ponovo kasnije."
"The tokens couldn't be revoked.","The tokens couldn't be revoked."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","Došlo je do greške during the attempt to grant permissions. For details, see the exceptions log."
"""%fieldName"" is required. Enter and try again.","""%imePolja"" je obavezno. Unesite i probajte ponovo."
"The integration with name ""%1"" exists.","Integracija sa nazivom ""%1"" postoji."
"The integration with ID ""%1"" doesn't exist.","Integracija sa ID ""%1"" ne postoji."
"The token length is invalid. Check the length and try again.","The token length is neispravan. Check the length and pokušajte ponovo."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be created due to an unexpected error. Pokušajte ponovo later."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be loaded due to an unexpected error. Pokušajte ponovo later."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","The attempt to post data to consumer failed due to an unexpected error. Pokušajte ponovo later."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","Potrošač sa ID ""%1"" ne postoji. Proverite ID i pokušajte ponovo."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Pokušajte ponovo later."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is neispravan. Verify the password and pokušajte ponovo."
