"Integrations","Integraties"
"Token is not an access token","Token is niet een toegangstoken"
"Access token has been revoked","Toegangstoken is ingetrokken"
"Consumer key is not the correct length","Gebruikerssleutel heeft een onjuiste lengte"
"A consumer having the specified key does not exist","Er bestaat geen gebruiker voor de opgegeven sleutel"
"Verifier is invalid","Verificateur is ongeldig"
"Verifier is not the correct length","Verificatie is niet de juiste lengte"
"Token verifier and verifier token do not match","Sleutel verificateur en verificatiesleutel komen niet overeen"
"A consumer with the ID %1 does not exist","Een gebruiker met het ID %1 bestaat niet"
"Token is not the correct length","Token is not the correct length"
"Specified token does not exist","Opgegeven token bestaat niet"
"A token with consumer ID %1 does not exist","Een token met gebruikers ID %1 bestaat niet"
"Unexpected error. Unable to create oAuth consumer account.","Unexpected error. Unable to create oAuth consumer account."
"Unexpected error. Unable to load oAuth consumer account.","Unexpected error. Unable to load oAuth consumer account."
"Unable to post data to consumer due to an unexpected error","Unable to post data to consumer due to an unexpected error"
"Consumer with ID '%1' does not exist.","Consumer with ID '%1' does not exist."
"Invalid token to except","Ongeldig uit te sluiten teken"
"Integration with ID '%1' doesn't exist.","Integration with ID '%1' doesn't exist."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"A token with consumer ID 0 does not exist","Een sleutel met gebruikersID 0 bestaat niet"
"The integration you selected asks you to approve access to the following:","De geselecteerde integratie heeft volgende goedkeuring nodig:"
"No permissions requested","Geen bevoegdheden opgevraagd"
"Are you sure ?","Are you sure ?"
"Are you sure you want to delete this integration? You can't undo this action.","Weet u zeker dat u wilt deze integratie verwijderen wilt? U kunt deze actie niet ongedaan maken."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Configureer of log in op de website van de andere partij om de configuratie van de integratie te voltooien."
"Available APIs","Beschikbare API 's"
"Resource Access","Toegang tot bron"
"Custom","Aangepast"
"All","Alle"
"Resources","Bronnen"
"Sorry, something went wrong. Please try again later.","Er ging iets mis. Probeer het later opnieuw."
"Popup Blocker is enabled! Please add this site to your exception list.","Popup Blocker is ingeschakeld! Voeg deze site toe aan uw lijst met uitzonderingen."
"Allow","Toestaan"
"Done","Gereed"
"System Extensions","System Extensions"
"System Integrations","System Integrations"
"Extensions","Uitbreidingen"
"OAuth","OAuth"
"Access Token Expiration","Levensduur toegangstoken"
"Customer Token Lifetime (hours)","Klant token levensduur (uur)"
"Admin Token Lifetime (hours)","Admin token levensduur (uur)"
"Cleanup Settings","Opruim-instellingen"
"Cleanup Probability","Opruim-waarschijlijkheid"
"Expiration Period","Verloop-periode"
"Consumer Settings","Consument instellingen"
"OAuth consumer credentials HTTP Post maxredirects","OAuth gebruikersgegevens HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth gebruikersgegevens HTTP Post timeout"
"Authentication Locks","Authenticatie vergrendeling"
"Maximum Login Failures to Lock Out Account","Maximaal aantal foute logins om het account te vergrendelen"
"Lockout Time (seconds)","Duur vergrendeling (seconden)"
"Integrations Configuration","Configuratie integraties"
"Integration configuration file","Integratie configuratie bestand"
"Integrations API Configuration","Integratie API configuratie"
"Integrations API configuration file","Integraties API configuratiebestand"
"We couldn't find any records.","Geen record(s) gevonden."
"Status","status"
"Integration configuration file.","Integration configuration file."
"Integrations API configuration file.","Integrations API configuration file."
"No Integrations Found","No Integrations Found"
"Are you sure?","Weet u het zeker?"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts."
"Number of maximum redirects for OAuth consumer credentials Post request.","Number of maximum redirects for OAuth consumer credentials Post request."
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout for OAuth consumer credentials Post request within X seconds."
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"The integrations created in the config file can't be edited.","The integrations created in the config file can't be edited."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","A consumer with ""%1"" ID doesn't exist. Verify the ID and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The tokens couldn't be revoked.","The tokens couldn't be revoked."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","An error occurred during the attempt to grant permissions. For details, see the exceptions log."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The integration with name ""%1"" exists.","The integration with name ""%1"" exists."
"The integration with ID ""%1"" doesn't exist.","The integration with ID ""%1"" doesn't exist."
"The token length is invalid. Check the length and try again.","The token length is invalid. Check the length and try again."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be created due to an unexpected error. Please try again later."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","The attempt to post data to consumer failed due to an unexpected error. Please try again later."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","A consumer with ID ""%1"" doesn't exist. Verify the ID and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
