"Integrations","Интеграције"
"Add New Integration","Додај Ново Интеграција"
"API","АПИ"
"Save","Сачувај"
"Save & Activate","Сачувај & Ацтивате"
"New Integration","Ново Интеграција"
"Edit Integration '%1'","Измени Интеграција '%1'"
"Integration Info","Интеграција Информација"
"General","Опште"
"Name","Име"
"Email","Е-пошта"
"Callback URL","Callback URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://."
"Identity link URL","Identity link URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL to redirect user to link their 3rd party account with this Magento integration credentials."
"Current User Identity Verification","Верификација идентитета тренутног корисника"
"Your Password","Ваша лозинка"
"Integration Details","Интеграција Детаљи"
"Basic Settings","Основна подешавања"
"Integration Tokens for Extensions","Интеграција Токенс фор Екстензије"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Access Token","Access Token"
"Access Token Secret","Access Token Secret"
"Uninstall the extension to remove this integration","Uninstall the extension to remove this integration"
"Remove","Уклони"
"View","Преглед"
"Edit","Измени"
"Activate","Активирај"
"Reauthorize","Поново ауторизуј"
"Integration not secure","Интеграција нот сецуре"
"Uninstall the extension to remove integration '%1'.","Uninstall the extension to remove integration '%1'."
"This integration no longer exists.","This integration no longer exists."
"The integration '%1' has been deleted.","Тхе интегратион '%1' је делетед."
"Integration ID is not specified or is invalid.","Интеграција ИД ис нот специфиед ор ис неисправан."
"Internal error. Check exception log for details.","Internal error. Check exception log for details."
"View ""%1"" Integration","Преглед ""%1"" интеграције"
"Edit ""%1"" Integration","Измена ""%1"" интеграције"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Упозорење! Интеграције нот усинг ХТТПС аре инсецуре анд потентиаллy еxпосе привате ор персоналлy идентифиабле информатион"
"Cannot edit integrations created via config file.","Не може едит интегратионс цреатед виа цонфиг филе."
"The integration '%1' has been saved.","Тхе интегратион '%1' је савед."
"The integration was not saved.","Тхе интегратион није савед."
"The integration '%1' has been re-authorized.","Тхе интегратион '%1' је ре-аутхоризед."
"The integration '%1' has been activated.","Тхе интегратион '%1' је ацтиватед."
"Integration '%1' has been sent for re-authorization.","Интеграција '%1' је сент фор ре-аутхоризатион."
"Integration '%1' has been sent for activation.","Интеграција '%1' је сент фор ацтиватион."
"A consumer with ID %1 does not exist","А цонсумер wитх ИД %1 не постоји"
"title","наслов"
"You did not sign in correctly or your account is temporarily disabled.","Нисте се правилно пријавили или је ваш налог привремено онемогућен."
"This user has no tokens.","This user has no tokens."
"The tokens could not be revoked.","Тхе токенс није могао бе ревокед."
