"Integrations","Integrações"
"Add New Integration","Adicionar Nova Integração"
"API","API"
"Save","Salvar"
"Save & Activate","Salvar e ativar"
"New Integration","Nova integração"
"Edit Integration '%1'","Editar integração '%1'"
"Integration Info","Informações de integração"
"General","Geral"
"Name","Nome"
"Email","E-mail"
"Callback URL","URL de retrocesso"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Insira o URL por onde as credenciais OAuth podem ser enviadas para troca de tokens. Recomendamos fortemente o uso do protocolo https://."
"Identity link URL","URL do link de identidade"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL para redirecionar o usuário para ligar sua conta de terceiros com estas credenciais de integração do Magento."
"Current User Identity Verification","Verificação de identidade do usuário atual"
"Your Password","Sua Senha"
"Integration Details","Detalhes de Integração"
"Basic Settings","Configurações Básicas"
"Integration Tokens for Extensions","Integração de Tokens para Extensões"
"Consumer Key","Chave do Consumidor"
"Consumer Secret","Segredo do Consumidor"
"Access Token","Token de acesso"
"Access Token Secret","Segredo do Token de Acesso"
"Uninstall the extension to remove this integration","Desinstale a extensão para remover esta integração"
"Remove","Remover"
"View","Visualizar"
"Edit","Editar"
"Activate","Ativar"
"Reauthorize","Reautorizar"
"Integration not secure","Integração não segura"
"Uninstall the extension to remove integration '%1'.","Desinstale a extensão para remover esta integração '%1'."
"This integration no longer exists.","Esta integração já não existe."
"The integration '%1' has been deleted.","A integração '%1' foi eliminada."
"Integration ID is not specified or is invalid.","O ID da Integração não está especificado ou é inválido."
"Internal error. Check exception log for details.","Erro interno. Consulte o log de exceções para obter detalhes."
"View ""%1"" Integration","Ver Integração ""%1"""
"Edit ""%1"" Integration","Editar Integração ""%1"""
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Aviso! Integrações que não usem HTTPS são inseguras e podem colocar em risco informação privada ou pessoalmente identificável"
"Cannot edit integrations created via config file.","Cannot edit integrations created via config file."
"The integration '%1' has been saved.","A integração '%1' foi salva."
"The integration was not saved.","A integração não foi salvo."
"The integration '%1' has been re-authorized.","A integração '%1' foi re-autorizada."
"The integration '%1' has been activated.","A integração '%1' foi ativada."
"Integration '%1' has been sent for re-authorization.","Foi enviada para re-autorização de integração '%1'."
"Integration '%1' has been sent for activation.","A Integração '%1' foi enviada para ativação."
"A consumer with ID %1 does not exist","A consumer with ID %1 does not exist"
"title","título"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"This user has no tokens.","This user has no tokens."
"The tokens could not be revoked.","The tokens could not be revoked."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Sorry, something went wrong granting permissions. You can find out more in the exceptions log."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Ocorreu algum erro ao eliminar funções e permissões. Pode descobrir mais detalhes no log de exceções."
"%fieldName is a required field.","%fieldName is a required field."
"This customer has no tokens.","This customer has no tokens."
"Inactive","Inativo"
"Active","Ativo"
"Reset","Reiniciar"
"Integration with name '%1' exists.","Integration with name '%1' exists."
"Integration with ID '%1' does not exist.","Integration with ID '%1' does not exist."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Uma ou mais <a href=""%1"">integrações</a> foram redefinidas devido a mudanças nas suas configurações xml."
"Invalid Callback URL","URL de Callback inválido"
"Invalid Rejected Callback URL","URL de Callback Inválido Rejeitado"
"Incorrect timestamp value in the oauth_timestamp parameter","O valor do timestamp no parâmetro oauth_timestamp está incorreto"
"The nonce is already being used by the consumer with ID %1","O nonce já está a ser usado pelo consumidor com o ID %1"
"An error occurred validating the nonce","Ocorreu um erro ao validar o nonce"
"Cannot convert to access token due to token is not request type","Não foi possível converter o token de acesso devido ao token não ser do tipo solicitado"
"Consumer key has expired","A chave do consumidor expirou"
"Cannot create request token because consumer token is not a verifier token","Não foi possível criar o token de pedido porque o token do consumidor não é um token verificador"
"Request token is not associated with the specified consumer","O token do pedido não está associado ao consumidor especificado"
