"Integrations","Integrasi"
"Add New Integration","Tambahkan Integrasi Baru"
"API","API unggun"
"Save","Menyimpan"
"Save & Activate","Simpan & Aktifkan"
"New Integration","Integrasi baru"
"Edit Integration '%1'","Edit Integrasi '%1'"
"Integration Info","Info Integrasi"
"General","Umum"
"Name","Nama"
"Email","E-mail"
"Callback URL","URL panggilan balik"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Masukkan URL dimana kredensial Oauth dapat dikirim saat menggunakan Oauth untuk pertukaran token. Kami sangat menyarankan penggunaan https://."
"Identity link URL","Identity link URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL untuk mengarahkan pengguna untuk menautkan akun pihak ketiga mereka dengan kredensial integrasi Magento ini."
"Current User Identity Verification","Verifikasi Identitas Pengguna Saat Ini"
"Your Password","Kata sandi Anda"
"Integration Details","Rincian Integrasi"
"Basic Settings","Pengaturan dasar"
"Integration Tokens for Extensions","Token Integrasi untuk Ekstensi"
"Consumer Key","Kunci konsumen"
"Consumer Secret","Rahasia konsumen"
"Access Token","Akses Token"
"Access Token Secret","Akses Token Secret"
"Uninstall the extension to remove this integration","Copot pemasangan ekstensi untuk menghapus integrasi ini"
"Remove","Menghapus"
"View","Melihat"
"Edit","Ubah"
"Activate","Mengaktifkan"
"Reauthorize","Otorisasi ulang"
"Integration not secure","Integrasi tidak aman"
"Uninstall the extension to remove integration '%1'.","Copot pemasangan ekstensi untuk menghapus integrasi '%1'."
"This integration no longer exists.","Integrasi ini sudah tidak ada lagi."
"The integration '%1' has been deleted.","Integrasi '%1' telah dihapus."
"Integration ID is not specified or is invalid.","ID integrasi tidak ditentukan atau tidak valid."
"Internal error. Check exception log for details.","Kesalahan internal. Periksa log pengecualian untuk rinciannya."
"View ""%1"" Integration","Lihat Integrasi ""%1"""
"Edit ""%1"" Integration","Edit Integrasi ""%1"""
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","PERINGATAN! Integrasi yang tidak menggunakan HTTPS tidak aman dan berpotensi mengekspos informasi pribadi atau identitas pribadi"
"Cannot edit integrations created via config file.","Tidak dapat mengedit integrasi yang dibuat melalui file konfigurasi."
"The integration '%1' has been saved.","Integrasi '%1' telah disimpan."
"The integration was not saved.","Integrasi tidak disimpan."
"The integration '%1' has been re-authorized.","Integrasi '%1' telah diotorisasi ulang."
"The integration '%1' has been activated.","Integrasi '%1' telah diaktifkan."
"Integration '%1' has been sent for re-authorization.","Integrasi '%1' telah dikirim untuk otorisasi ulang."
"Integration '%1' has been sent for activation.","Integrasi '%1' telah dikirim untuk aktivasi."
"A consumer with ID %1 does not exist","Konsumen dengan ID%1 tidak ada"
"title","judul"
"You did not sign in correctly or your account is temporarily disabled.","Anda tidak masuk dengan benar atau akun Anda untuk sementara dinonaktifkan."
"This user has no tokens.","Pengguna ini tidak memiliki bukti."
"The tokens could not be revoked.","Bukti tidak dapat dicabut."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Maaf, ada yang salah memberikan izin. Anda bisa mencari tahu lebih banyak di log pengecualian."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Ada yang tidak beres saat menghapus peran dan izin. Anda bisa mencari tahu lebih banyak di log pengecualian."
"%fieldName is a required field.","%fieldName adalah field yang wajib diisi."
"This customer has no tokens.","Pelanggan ini tidak memiliki bukti."
"Inactive","Tidak aktif"
"Active","Aktif"
"Reset","Mulai ulang"
"Integration with name '%1' exists.","Integrasi dengan nama '%1' ada."
"Integration with ID '%1' does not exist.","Integrasi dengan ID '%1' tidak ada."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Satu atau beberapa <a href=""%1"">integrasi</a> telah diatur ulang karena ada perubahan pada konfigurasi xml mereka."
"Invalid Callback URL","Invalid Callback URL"
"Invalid Rejected Callback URL","URL Panggil Balik Tidak Sah ditolak"
"Incorrect timestamp value in the oauth_timestamp parameter","Nilai timestamp salah pada parameter oauth_timestamp"
"The nonce is already being used by the consumer with ID %1","Nonce sudah digunakan oleh konsumen dengan ID%1"
"An error occurred validating the nonce","Terjadi kesalahan saat memvalidasi nonce"
"Cannot convert to access token due to token is not request type","Tidak bisa masuk ke access token karena token bukan tipe request"
"Consumer key has expired","Kunci konsumen telah kedaluwarsa"
"Cannot create request token because consumer token is not a verifier token","Tidak dapat membuat token permintaan karena token konsumen bukan token verifier"
"Request token is not associated with the specified consumer","Request token tidak terkait dengan konsumen tertentu"
"Token is already being used","Token sudah digunakan"
"Cannot get access token because consumer token is not a request token","Tidak bisa mendapatkan token akses karena token konsumen bukan token permintaan"
"Token is not associated with the specified consumer","Token tidak terkait dengan konsumen tertentu"
"Token is not an access token","Token bukan merupakan token akses"
"Access token has been revoked","Token akses telah dicabut"
"Consumer key is not the correct length","Kunci konsumen bukan panjang yang benar"
"A consumer having the specified key does not exist","Konsumen yang memiliki kunci tertentu tidak ada"
"Verifier is invalid","Verifier tidak valid"
"Verifier is not the correct length","Verifier bukan panjang yang benar"
"Token verifier and verifier token do not match","Token verifier dan verifier token tidak cocok"
"A consumer with the ID %1 does not exist","Konsumen dengan ID %1 tidak ada"
"Token is not the correct length","Token bukan panjang yang benar"
"Specified token does not exist","Token yang ditentukan tidak ada"
"A token with consumer ID %1 does not exist","Tanda dengan konsumen ID %1 tidak ada"
"Unexpected error. Unable to create oAuth consumer account.","Kesalahan tak terduga. Tidak dapat membuat akun konsumen oAuth."
"Unexpected error. Unable to load oAuth consumer account.","Kesalahan tak terduga. Tidak dapat memuat akun konsumen oAuth."
"Unable to post data to consumer due to an unexpected error","Tidak dapat mengirim data ke konsumen karena kesalahan yang tidak terduga"
"Consumer with ID '%1' does not exist.","Konsumen dengan ID '%1' tidak ada."
"Invalid token to except","Token tidak valid ke kecuali"
"Integration with ID '%1' doesn't exist.","Integrasi dengan ID '%1' tidak ada."
"Your account is temporarily disabled.","Akun Anda untuk sementara dinonaktifkan."
"You have entered an invalid password for current user.","Anda telah memasukkan kata sandi yang tidak benar untuk pengguna saat ini."
"A token with consumer ID 0 does not exist","Token dengan ID konsumen 0 tidak ada"
"The integration you selected asks you to approve access to the following:","Integrasi yang Anda pilih meminta Anda menyetujui akses ke hal berikut:"
"No permissions requested","Tidak ada izin yang diminta"
"Are you sure ?","Apakah kamu yakin?"
"Are you sure you want to delete this integration? You can't undo this action.","Yakin ingin menghapus integrasi ini? Anda tidak dapat membatalkan tindakan ini."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Harap atur atau masuk ke akun pihak ketiga Anda untuk menyelesaikan penyiapan integrasi ini."
"Available APIs","API yang tersedia"
"Resource Access","Akses sumber"
"Custom","Adat"
"All","Semua"
"Resources","Sumber daya"
"Sorry, something went wrong. Please try again later.","Maaf, ada yang tidak beres. Silakan coba lagi nanti."
"Popup Blocker is enabled! Please add this site to your exception list.","Pemblokir Popup diaktifkan! Tolong tambahkan situs ini ke daftar pengecualian Anda."
"Allow","Mengizinkan"
"Done","Selesai"
"System Extensions","System Extensions"
"System Integrations","Integrasi Sistem"
"Extensions","Ekstensi"
"OAuth","OAuth"
"Access Token Expiration","Mengakses Token Expiratsi"
"Customer Token Lifetime (hours)","Token Pelanggan Seumur Hidup (jam)"
"Admin Token Lifetime (hours)","Token Admin Seumur Hidup (jam)"
"Cleanup Settings","Setelan Pembersihan"
"Cleanup Probability","Probabilitas Pembersihan"
"Expiration Period","Periode Kadaluarsa"
"Consumer Settings","Pengaturan Konsumen"
"OAuth consumer credentials HTTP Post maxredirects","Kredensial konsumen OAuth HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","Kredensial konsumen OAuth timeout HTTP Post"
"Authentication Locks","Kunci otentikasi"
"Maximum Login Failures to Lock Out Account","Kegagalan Login Maksimum untuk Mengunci Akun"
"Lockout Time (seconds)","Waktu Penguncian (detik)"
"Integrations Configuration","Konfigurasi Integrasi"
"Integration configuration file","File konfigurasi integrasi"
"Integrations API Configuration","Integrasi Konfigurasi API"
"Integrations API configuration file","Integrasi file konfigurasi API"
"We couldn't find any records.","Kami tidak bisa menemukan rekaman apapun."
"Status","Subjek"
"Integration configuration file.","File konfigurasi integrasi."
"Integrations API configuration file.","Integrasi file konfigurasi API."
"No Integrations Found","Tidak ditemukan Integrasi"
"Are you sure?","Apakah kamu yakin?"
"We will disable this feature if the value is empty.","Kami akan menonaktifkan fitur ini jika nilainya kosong."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Bilangan bulat. Meluncurkan pembersihan dalam permintaan X OAuth. 0 (tidak disarankan) - untuk menonaktifkan pembersihan"
"Cleanup entries older than X minutes.","Entri pembersihan lebih tua dari X menit."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Kunci/rahasia konsumen akan kedaluwarsa jika tidak digunakan dalam X detik setelah pertukaran token Oauth dimulai."
"Number of maximum redirects for OAuth consumer credentials Post request.","Jumlah pengalihan maksimum untuk kredensial konsumen OAuth Permintaan pos."
"Timeout for OAuth consumer credentials Post request within X seconds.","Batas waktu untuk kredensial konsumen OAuth Kirim permintaan dalam X detik."
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"The integrations created in the config file can't be edited.","The integrations created in the config file can't be edited."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","A consumer with ""%1"" ID doesn't exist. Verify the ID and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The tokens couldn't be revoked.","The tokens couldn't be revoked."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","An error occurred during the attempt to grant permissions. For details, see the exceptions log."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The integration with name ""%1"" exists.","The integration with name ""%1"" exists."
"The integration with ID ""%1"" doesn't exist.","The integration with ID ""%1"" doesn't exist."
"The token length is invalid. Check the length and try again.","The token length is invalid. Check the length and try again."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be created due to an unexpected error. Please try again later."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","The attempt to post data to consumer failed due to an unexpected error. Please try again later."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","A consumer with ID ""%1"" doesn't exist. Verify the ID and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
