"Integrations","Integrazioni"
"Add New Integration","Aggiungi nuova integrazione"
"API","API"
"Save","Salva"
"Save & Activate","Salva & attiva"
"New Integration","Nuova integrazione"
"Edit Integration '%1'","Modifica integrazione '%1'"
"Integration Info","Info Integrazione"
"General","Generale"
"Name","Nome"
"Email","Email"
"Callback URL","URL di callback"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Inserisci URL dove le Oauth credentials possono essere inviate quando viene usato lo scambio di token Oauth. Si consiglia fortemente l'utilizzo di https://."
"Identity link URL","URL identity link"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL per reindirizzare l'utente per collegare il proprio account di terze parti con queste credenziali di integrazione Magento."
"Current User Identity Verification","Verifica dell'identità utente corrente"
"Your Password","La tua Password"
"Integration Details","Dettagli di integrazione"
"Basic Settings","Impostazioni di Base"
"Integration Tokens for Extensions","Token di integrazione per le estensioni"
"Consumer Key","Consumer key"
"Consumer Secret","Consumer secret"
"Access Token","Token di accesso"
"Access Token Secret","Segreto del Token di accesso"
"Uninstall the extension to remove this integration","Disinstallare l'estensione per rimuovere questa integrazione"
"Remove","Elimina"
"View","Mostra"
"Edit","Modifica"
"Activate","Attiva"
"Reauthorize","Riautorizzare"
"Integration not secure","Integrazione non sicura"
"Uninstall the extension to remove integration '%1'.","Disinstallare l'estensione per rimuovere l'integrazione '%1'."
"This integration no longer exists.","Questa integrazione non esiste più."
"The integration '%1' has been deleted.","L'integrazione '%1' è stata eliminata."
"Integration ID is not specified or is invalid.","ID integrazione non specificato o non valido."
"Internal error. Check exception log for details.","Errore interno. Controlla exception log per i dettagli."
"View ""%1"" Integration","Mostra integrazione ""%1"" "
"Edit ""%1"" Integration","Modifica integrazione ""%1"""
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Attenzione! Le integrazioni che non usano HTTPS sono insicuri e potenzialmente espongono informazioni private o personali"
"The integrations created in the config file can't be edited.","The integrations created in the config file can't be edited."
"The integration '%1' has been saved.","L'integrazione di '%1' è stata salvata."
"The integration was not saved.","L'integrazione non è stata salvata."
"The integration '%1' has been re-authorized.","L'integrazione di '%1' è stata ri-autorizzata."
"The integration '%1' has been activated.","È stata attivata l'integrazione '%1'."
"Integration '%1' has been sent for re-authorization.","L'integrazione '%1' è stata inviata per la ri-autorizzazione."
"Integration '%1' has been sent for activation.","L'integrazione '%1' è stata inviata per l'attivazione."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","A consumer with ""%1"" ID doesn't exist. Verify the ID and try again."
"title","titolo"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The tokens couldn't be revoked.","The tokens couldn't be revoked."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","An error occurred during the attempt to grant permissions. For details, see the exceptions log."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Qualcosa è andato storto durante l'eliminazione di ruoli e permessi. Puoi trovare ulteriori informazioni nel registro eccezioni."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"Failed to revoke customer's access tokens","Failed to revoke customer's access tokens"
"Inactive","Inattivo"
"Active","Attiva"
"Reset","Reimposta"
"The integration with name ""%1"" exists.","The integration with name ""%1"" exists."
"The integration with ID ""%1"" doesn't exist.","The integration with ID ""%1"" doesn't exist."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Una o più <a href=""%1"">integrazioni</a> sono state resettate a causa di un cambiamento nei loro file xml di configurazione."
"Invalid Callback URL","URL di Callback non valido"
"Invalid Rejected Callback URL","URL non valido Callback rifiutati"
"Incorrect timestamp value in the oauth_timestamp parameter","Valore timestamp non corretto nel parametro oauth_timestamp"
"The nonce is already being used by the consumer with ID %1","L'occasione è in uso dall'utente con ID %1"
"An error occurred validating the nonce","Errore durante la convalida dell'occasione"
"Cannot convert to access token due to token is not request type","Non è possibile convertire in token di accesso causa token che non è del tipo richiesto"
"Consumer key has expired","Chiave utente scaduta"
"Cannot create request token because consumer token is not a verifier token","Non è possibile creare il token richiesto perchè il token consumer non è un token verificato"
"Request token is not associated with the specified consumer","Il token richiesto non è associato al consumer specificato"
"Token is already being used","Token è già in uso"
"Cannot get access token because consumer token is not a request token","Non è possibile ottenere il token di accesso perché token consumer non è un token di richiesta"
"Token is not associated with the specified consumer","Il token non è associato al consumer specificato"
"Token is not an access token","Il token non è un token di accesso"
"Access token has been revoked","Il token di accesso è stato revocato"
"Consumer key is not the correct length","La chiave utente non è della lunghezza corretta"
"A consumer having the specified key does not exist","Non esiste un utente con la chiave specificata"
"Verifier is invalid","Verifier non è valido"
"Verifier is not the correct length","Il verifier non è della lunghezza corretta"
"Token verifier and verifier token do not match","Il token verifier e verifier token non corrispondono"
"A consumer with the ID %1 does not exist","Non esiste un utente con ID %1"
"The token length is invalid. Check the length and try again.","The token length is invalid. Check the length and try again."
"Specified token does not exist","Il token specificato non esiste"
"A token with consumer ID %1 does not exist","Un token con l'ID consumer %1 non esiste"
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be created due to an unexpected error. Please try again later."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","The attempt to post data to consumer failed due to an unexpected error. Please try again later."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","A consumer with ID ""%1"" doesn't exist. Verify the ID and try again."
"Invalid token to except","Token non valido"
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"A token with consumer ID 0 does not exist","Un token con l'ID consumer 0 non esiste"
"The integration you selected asks you to approve access to the following:","L'integrazione selezionata chiede di approvare l'accesso al seguente:"
"No permissions requested","Nessuna autorizzazione richiesta"
"Are you sure?","Sei sicuro?"
