"Integrations","ඒකාබද්ධ කිරීම්"
"Add New Integration","නව ඒකාබද්ධ කිරීම එක් කරන්න"
"API","API"
"Save","සුරකින්න"
"Save & Activate","සුරකින්න සහ සක්රිය කරන්න"
"New Integration","නව ඒකාබද්ධ කිරීම"
"Edit Integration '%1'","අනුකලනය '%1' සංස්කරණය කරන්න"
"Integration Info","ඒකාබද්ධතා තොරතුරු"
"General","ජනරාල්"
"Name","නම"
"Email","විද්යුත් තැපෑල"
"Callback URL","ආපසු ඇමතුම් URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","ටෝකන් හුවමාරුව සඳහා Oauth භාවිතා කරන විට Oauth අක්තපත්‍ර යැවිය හැකි URL එක ඇතුළු කරන්න. අපි https:// භාවිතා කිරීම තරයේ නිර්දේශ කරමු."
"Identity link URL","අනන්‍යතා සබැඳි URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","මෙම Magento ඒකාබද්ධ කිරීමේ අක්තපත්‍ර සමඟ ඔවුන්ගේ තුන්වන පාර්ශ්ව ගිණුම සම්බන්ධ කිරීමට පරිශීලකයා යළි හරවා යැවීමට URL."
"Current User Identity Verification","වත්මන් පරිශීලක අනන්‍යතා සත්‍යාපනය"
"Your Password","ඔබගේ මුරපදය"
"Integration Details","ඒකාබද්ධතා විස්තර"
"Basic Settings","මූලික සැකසුම්"
"Integration Tokens for Extensions","දිගු සඳහා ඒකාබද්ධ ටෝකන"
"Consumer Key","පාරිභෝගික යතුර"
"Consumer Secret","පාරිභෝගික රහස"
"Access Token","ප්රවේශ ටෝකනය"
"Access Token Secret","ප්‍රවේශ ටෝකන් රහස"
"Uninstall the extension to remove this integration","මෙම ඒකාබද්ධ කිරීම ඉවත් කිරීමට දිගුව අස්ථාපනය කරන්න"
"Remove","ඉවත් කරන්න"
"View","දැක්ම"
"Edit","සංස්කරණය කරන්න"
"Activate","සක්රිය කරන්න"
"Reauthorize","නැවත අවසර දෙන්න"
"Integration not secure","ඒකාබද්ධ කිරීම ආරක්ෂිත නොවේ"
"Uninstall the extension to remove integration '%1'.","'%1' අනුකලනය ඉවත් කිරීමට දිගුව අස්ථාපනය කරන්න."
"This integration no longer exists.","මෙම ඒකාබද්ධ කිරීම තවදුරටත් නොපවතී."
"The integration '%1' has been deleted.","'%1' අනුකලනය මකා ඇත."
"Integration ID is not specified or is invalid.","ඒකාබද්ධ කිරීමේ හැඳුනුම්පත නිශ්චිතව දක්වා නැත හෝ වලංගු නොවේ."
"Internal error. Check exception log for details.","අභ්‍යන්තර දෝෂයක්. විස්තර සඳහා ව්‍යතිරේක ලොගය පරීක්ෂා කරන්න."
"View ""%1"" Integration","""%1"" ඒකාබද්ධ කිරීම බලන්න"
"Edit ""%1"" Integration","""%1"" ඒකාබද්ධ කිරීම සංස්කරණය කරන්න"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","අවවාදයයි! HTTPS භාවිතා නොකරන ඒකාබද්ධ කිරීම් අනාරක්ෂිත වන අතර පුද්ගලික හෝ පුද්ගලිකව හඳුනාගත හැකි තොරතුරු හෙළිදරව් කළ හැකිය"
"Cannot edit integrations created via config file.","Cannot edit integrations created via config file."
"The integration '%1' has been saved.","'%1' අනුකලනය සුරැකී ඇත."
"The integration was not saved.","අනුකලනය සුරැකුනේ නැත."
"The integration '%1' has been re-authorized.","'%1' අනුකලනය නැවත බලය ලබා දී ඇත."
"The integration '%1' has been activated.","'%1' අනුකලනය සක්රිය කර ඇත."
"Integration '%1' has been sent for re-authorization.","අනුකලනය '%1' යලි අවසරය සඳහා යවා ඇත."
"Integration '%1' has been sent for activation.","සක්‍රිය කිරීම සඳහා '%1' අනුකලනය යවා ඇත."
"A consumer with ID %1 does not exist","A consumer with ID %1 does not exist"
"title","ශීර්ෂය"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"This user has no tokens.","This user has no tokens."
"The tokens could not be revoked.","The tokens could not be revoked."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Sorry, something went wrong granting permissions. You can find out more in the exceptions log."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","භූමිකාවන් සහ අවසර මකා දැමීමේදී යම් දෙයක් වැරදී ඇත. ඔබට ව්‍යතිරේක ලොගයෙන් වැඩි විස්තර දැනගත හැක."
"%fieldName is a required field.","%fieldName is a required field."
"This customer has no tokens.","This customer has no tokens."
"Inactive","අක්රියයි"
"Active","ක්රියාකාරී"
"Reset","යළි පිහිටුවන්න"
"Integration with name '%1' exists.","Integration with name '%1' exists."
"Integration with ID '%1' does not exist.","Integration with ID '%1' does not exist."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","ඒවායේ xml වින්‍යාසය වෙනස් කිරීම නිසා <a href=""%1"">අනුකලනය</a> ක් හෝ වැඩි ගණනක් නැවත සකස් කර ඇත."
"Invalid Callback URL","අවලංගු ආපසු ඇමතුම් URL"
"Invalid Rejected Callback URL","අවලංගු ප්‍රතික්ෂේප කළ ආපසු ඇමතුම් URL"
"Incorrect timestamp value in the oauth_timestamp parameter","oauth_timestamp පරාමිතිය තුළ වැරදි වේලා මුද්දර අගය"
"The nonce is already being used by the consumer with ID %1","නොන්ස් දැනටමත් ID %1සහිත පාරිභෝගිකයා විසින් භාවිතා කරනු ලැබේ"
"An error occurred validating the nonce","නොන්ස් එක වලංගු කිරීමේදී දෝෂයක් ඇති විය"
