"Integrations","Entegrasyonlar"
"Add New Integration","Yeni Entegrasyon Ekleyin"
"API","API"
"Save","Kaydet"
"Save & Activate","Kaydet ve Etkinleştir"
"New Integration","Yeni Entegrasyon"
"Edit Integration '%1'","Entegrasyonu Düzenle '%1'"
"Integration Info","Entegrasyon Bilgisi"
"General","Genel"
"Name","Adı"
"Email","E-posta"
"Callback URL","Geri Dönüş URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Belirteç değişimi için Oauth kullanılırken Oauth kimlik bilgilerinin gönderilebileceği URL'yi girin. Https:// kullanmanızı şiddetle öneririz."
"Identity link URL","Kimlik bağlantısı URL'si"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","Kullanıcıyı, 3. taraf hesaplarını bu Magento entegrasyon kimlik bilgileriyle bağlamaya yönlendirmek için URL."
"Current User Identity Verification","Geçerli kullanıcı kimlik doğrulaması"
"Your Password","Parolanız"
"Integration Details","Entegrasyon Detayları"
"Basic Settings","Temel Ayarlar"
"Integration Tokens for Extensions","Eklentiler için Entegrasyon Simgeleri"
"Consumer Key","Tüketici anahtarı"
"Consumer Secret","Tüketici mahremiyeti"
"Access Token","Erişim Kodu"
"Access Token Secret","Erişim Kodu Mahremiyeti"
"Uninstall the extension to remove this integration","Bu entegrasyonu kaldırmak için uzantıyı silin"
"Remove","Kaldır"
"View","Göster"
"Edit","Düzenle"
"Activate","Etkinleştir"
"Reauthorize","Yeniden yetkilendirme"
"Integration not secure","Entegrasyon güvenli değil"
"Uninstall the extension to remove integration '%1'.","'%1' entegrasyonunu kaldırmak için uzantıyı silin."
"This integration no longer exists.","Bu entegrasyon artık mevcut değil."
"The integration '%1' has been deleted.","'%1' entegrasyonu silindi."
"Integration ID is not specified or is invalid.","Entegrasyon kimliği belirtilmemiş veya geçersiz."
"Internal error. Check exception log for details.","İç hata. Ayrıntılar için istisna günlüğünü kontrol edin."
"View ""%1"" Integration","''%1'' entegrasyonunu Görüntüle"
"Edit ""%1"" Integration","''%1'' entegrasyonunu düzenle"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Uyarı! HTTPS kullanmayan entegrasyonlar güvensizdir ve potansiyel olarak kişisel veya kişisel olarak tanımlanabilecek bilgileri ortaya çıkarır"
"Cannot edit integrations created via config file.","Cannot edit integrations created via config file."
"The integration '%1' has been saved.","'%1' entegrasyonu kaydedildi."
"The integration was not saved.","Entegrasyon kaydedilmedi."
"The integration '%1' has been re-authorized.","'%1' entegrasyonu yeniden yetkilendirildi."
"The integration '%1' has been activated.","'%1' entegrasyonu etkinleştirildi."
"Integration '%1' has been sent for re-authorization.","Yeniden yetkilendirme için '%1' entegrasyonu gönderildi."
"Integration '%1' has been sent for activation.","Aktivasyon için '%1' entegrasyonu gönderildi."
"A consumer with ID %1 does not exist","A consumer with ID %1 does not exist"
"title","başlık"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"This user has no tokens.","This user has no tokens."
"The tokens could not be revoked.","The tokens could not be revoked."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Sorry, something went wrong granting permissions. You can find out more in the exceptions log."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Roller ve izinler silinirken bir sorun oldu. Özel durumlar günlüğünden daha fazla bilgi bulabilirsiniz."
"%fieldName is a required field.","%fieldName is a required field."
"This customer has no tokens.","This customer has no tokens."
"Inactive","Pasif"
"Active","Aktif"
"Reset","Sıfırla"
"Integration with name '%1' exists.","Integration with name '%1' exists."
"Integration with ID '%1' does not exist.","Integration with ID '%1' does not exist."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Xml yapılandırmalarında bir değişiklik olması nedeniyle bir veya daha fazla <a href=""%1"">integrations</a> sıfırlandı."
"Invalid Callback URL","Hatalı Geri Çağırım URL"
"Invalid Rejected Callback URL","Geçersiz Reddedilmiş Geri İşlem URL"
"Incorrect timestamp value in the oauth_timestamp parameter","Oauth_timestamp parametresindeki yanlış zaman damgası değeri"
"The nonce is already being used by the consumer with ID %1","Nonce, tüketici tarafından kimlik %1 ile zaten kullanılıyor"
"An error occurred validating the nonce","Nonce onaylanırken bir hata oluştu"
"Cannot convert to access token due to token is not request type","Kodun istek tipi olmaması nedeniyle erişim kodu haline dönüştürülemez"
"Consumer key has expired","Tüketici anahtarı süresi doldu"
"Cannot create request token because consumer token is not a verifier token","Tüketici kodu bir doğrulayıcı kod olmadığından istek kodu oluşturulamıyor"
"Request token is not associated with the specified consumer","İstek kod belirtilen tüketici ile ilişkili değil"
"Token is already being used","Kod zaten kullanılıyor"
"Cannot get access token because consumer token is not a request token","Tüketici kodu bir istek kodu olmadığı için erişim kodu alınamıyor"
"Token is not associated with the specified consumer","Belirtilen tüketici ile kod ilişkili değil"
"Token is not an access token","Kod bir erişim kodu değil"
"Access token has been revoked","Erişim kodu iptal edildi"
"Consumer key is not the correct length","Tüketici anahtarı doğru uzunlukta değil"
"A consumer having the specified key does not exist","Belirtilen anahtara sahip bir tüketici mevcut değil"
"Verifier is invalid","Doğrulayıcı geçersiz"
"Verifier is not the correct length","Doğrulayıcı doğru uzunlukta değil"
"Token verifier and verifier token do not match","Kod doğrulayıcı ve doğrulayıcı kodu uyuşmuyor"
"A consumer with the ID %1 does not exist","%1 kimlikli bir tüketici mevcut değil"
"Token is not the correct length","Token is not the correct length"
"Specified token does not exist","Belirtilen kod mevcut değil"
"A token with consumer ID %1 does not exist","Tüketici kimliği %1 olan bir kod mevcut değil"
"Unexpected error. Unable to create oAuth consumer account.","Unexpected error. Unable to create oAuth consumer account."
"Unexpected error. Unable to load oAuth consumer account.","Unexpected error. Unable to load oAuth consumer account."
"Unable to post data to consumer due to an unexpected error","Unable to post data to consumer due to an unexpected error"
"Consumer with ID '%1' does not exist.","Consumer with ID '%1' does not exist."
"Invalid token to except","Geçersiz kod olması dışında"
"Integration with ID '%1' doesn't exist.","Integration with ID '%1' doesn't exist."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"A token with consumer ID 0 does not exist","Tüketici kimliği 0 olan bir kod mevcut değil"
"The integration you selected asks you to approve access to the following:","Seçtiğiniz entegrasyon aşağıdakilere erişimi onaylamanızı ister:"
"No permissions requested","İstenen izin yok"
"Are you sure ?","Are you sure ?"
