"Integrations","Интеграции"
"Add New Integration","Добавяне на нова интеграция"
"API","API"
"Save","Запиши"
"Save & Activate","Запиши & активирай"
"New Integration","Нова интеграция"
"Edit Integration '%1'","Редактиране на интеграция ""%1"""
"Integration Info","Информация за интеграция"
"General","Главен"
"Name","Име"
"Email","Имейл"
"Callback URL","Обратно повикване URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Въведете URL адрес, където Oauth идентификационни данни могат да бъдат изпращани при използване Oauth за маркер обмен. Ние силно препоръчваме да използвате https://."
"Identity link URL","Идентичност  на URL връзката "
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL to redirect user to link their 3rd party потребителски профил with this Magento integration credentials."
"Current User Identity Verification","Верификация на идентичносттта на потребителя"
"Your Password","Вашата парола"
"Integration Details","Настройки на интеграцията"
"Basic Settings","Основни настройки"
"Integration Tokens for Extensions","Интеграция маркери за разширения"
"Consumer Key","Потребителски ключ"
"Consumer Secret","Потребителска тайна"
"Access Token","Маркер за достъп"
"Access Token Secret","Тайни на маркера за достъп"
"Uninstall the extension to remove this integration","Деинсталирайте, за да премахнете тази интеграция"
"Remove","Премахване"
"View","Преглед"
"Edit","Редактирай"
"Activate","Активирай"
"Reauthorize","Реоторизирай"
"Integration not secure","Интеграцията не е сигурна"
"Uninstall the extension to remove integration '%1'.","Деинсталирайте, за да премахнете интеграция ""%1""."
"This integration no longer exists.","Тази интеграция вече не съществува."
"The integration '%1' has been deleted.","Интеграция на ""%1"" е изтрита."
"Integration ID is not specified or is invalid.","ИД на интеграция не е зададен или е невалиден."
"Internal error. Check exception log for details.","Вътрешна грешка. Проверете регистрационния файл за подробни данни."
"View ""%1"" Integration","Изглед ""%1"" интеграция"
"Edit ""%1"" Integration","Редактиране на ""%1"" интеграция"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Предупреждение! Интеграции, които не използват HTTPS са несигурни и потенциално излагат частни или лична информация"
"Cannot edit integrations created via config file.","Не може да редактирате интеграции, създадени чрез конфигурационния файл."
"The integration '%1' has been saved.","Интеграция на ""%1"" е записан."
"The integration was not saved.","Тази интеграция не е запазена."
"The integration '%1' has been re-authorized.","Интеграция ""%1"" е била отново разрешена."
"The integration '%1' has been activated.","Активирана е интеграция ""%1""."
"Integration '%1' has been sent for re-authorization.","Интеграция ""%1"" е бил изпратен за Преупълномощаване."
"Integration '%1' has been sent for activation.","Интеграция ""%1"" е билa изпратенa за активиране."
"A consumer with ID %1 does not exist","Потребител с ИД %1 не съществува"
"title","заглавие"
"You did not sign in correctly or your account is temporarily disabled.","Не сте влезли правилно или вашия акаунт е временно забранен."
"This user has no tokens.","Този потребител няма токени."
"The tokens could not be revoked.","Токените не могат да бъдат отменени."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","За съжаление нещо се обърка при задаването на разрешения. Можете да намерите повече информация в регистрационния файл на изключения."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Нещо се обърка при изтриване на роли и разрешения. Можете да намерите повече информация в регистрационния файл на изключения."
"%fieldName is a required field.","%fieldName е задължително поле."
"This customer has no tokens.","Този клиент има няма токени."
"Inactive","Неактивен"
"Active","Активно"
"Reset","Изчисти"
"Integration with name '%1' exists.","Интеграция с име ""%1"" съществува."
"Integration with ID '%1' does not exist.","Интеграция с ИД '%1' не съществува."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Един или повече <a href=""%1""> интеграции</a> са възстановени поради промяна в техните xml конфигурации."
"Invalid Callback URL","Невалиден Callback URL"
"Invalid Rejected Callback URL","Невалидни отхвърлени Callback URL"
"Incorrect timestamp value in the oauth_timestamp parameter","Неправилен timestamp стойността в параметъра oauth_timestamp"
"The nonce is already being used by the consumer with ID %1","Дадения случай вече се използва от потребителя с ID %1"
"An error occurred validating the nonce","Възникна грешка при валидиране на дадения случай"
"Cannot convert to access token due to token is not request type","Не може да преобразува достъпните токени, защото маркера не е тип заявка"
"Consumer key has expired","Потребителския ключ е изтекъл"
"Cannot create request token because consumer token is not a verifier token","Не може да създаде токен в искане, защото потребителския токен не е проверяващ маркер"
"Request token is not associated with the specified consumer","Исканият токен не е асоцииран с указания потребителя"
"Token is already being used","Токена вече се използва"
"Cannot get access token because consumer token is not a request token","Не може да получите токен за достъп, защото потребителския токен не е поискан"
"Token is not associated with the specified consumer","Токена не е асоцииран с указаното от потребителя"
"Token is not an access token","Токена не е токен за достъп"
"Access token has been revoked","Токена за достъп е отменен"
"Consumer key is not the correct length","Потребител ключ не е точната дължина"
"A consumer having the specified key does not exist","Потребител с указания ключ не съществува"
"Verifier is invalid","Проверяващият е невалиден"
"Verifier is not the correct length","Проверяващият не е точната дължина"
"Token verifier and verifier token do not match","Проверения токен и проверяващия токен не съвпадат"
"A consumer with the ID %1 does not exist","Потребител с ИД %1 не съществува"
"Token is not the correct length","Токена не е правилна дължина"
"Specified token does not exist","Указаният токен не съществува"
"A token with consumer ID %1 does not exist","Токен с потребителски ИД %1 не съществува"
