"Integrations","Tích hợp"
"Add New Integration","Thêm tích hợp mới"
"API","API"
"Save","Lưu lại"
"Save & Activate","Lưu & kích hoạt"
"New Integration","Tích hợp mới"
"Edit Integration '%1'","Chỉnh sửa tích hợp '%1'"
"Integration Info","Thông tin tích hợp"
"General","Chung"
"Name","Tên"
"Email","Email"
"Callback URL","URL Gọi lại"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Nhập ủy nhiệm URL Oauth có thể được gửi khi sử dụng Oauth token Exchange. Chúng tôi vô cùng khuyến khích bạn sử dụng https://."
"Identity link URL","Danh tính liên kết URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL chuyển hướng người sử dụng để liên kết tài khoản bên thứ 3 với Magento tích hợp thông tin đăng nhập này."
"Current User Identity Verification","Xác minh danh tính người dùng hiện tại"
"Your Password","Mật khẩu của bạn"
"Integration Details","Chi tiết tích hợp"
"Basic Settings","Cài đặt cơ bản"
"Integration Tokens for Extensions","Tích hợp thẻ tiện ích mở rộng"
"Consumer Key","Consumer key"
"Consumer Secret","Bí mật người tiêu dùng"
"Access Token","Access token"
"Access Token Secret","Access Token bí mật"
"Uninstall the extension to remove this integration","Gỡ cài đặt tiện ích mở rộng để loại bỏ tích hợp này"
"Remove","Loại bỏ"
"View","Hiển thị"
"Edit","Chỉnh sửa"
"Activate","Kích hoạt"
"Reauthorize","Tái ủy quyền"
"Integration not secure","Integration not secure"
"Uninstall the extension to remove integration '%1'.","Gỡ cài đặt tiện ích mở rộng để loại bỏ tích hợp '%1'."
"This integration no longer exists.","Tích hợp này không còn tồn tại."
"The integration '%1' has been deleted.","Tích hợp '%1' đã bị xoá."
"Integration ID is not specified or is invalid.","ID Tích hợp không xác định hoặc không hợp lệ."
"Internal error. Check exception log for details.","Lỗi nội bộ. Kiểm tra Nhật ký ngoại lệ để biết chi tiết."
"View ""%1"" Integration","Xem ""%1"" tích hợp"
"Edit ""%1"" Integration","Chỉnh sửa tích hợp ""%1"""
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Cảnh báo! Tích hợp không sử dụng HTTPS là không an toàn và có khả năng lộ thông tin cá nhân"
"Cannot edit integrations created via config file.","Cannot edit integrations created via config file."
"The integration '%1' has been saved.","Đã lưu lại tích hợp '%1'."
"The integration was not saved.","Tích hợp đã không được lưu."
"The integration '%1' has been re-authorized.","Tích hợp '%1' đã được tái thẩm quyền."
"The integration '%1' has been activated.","Tích hợp '%1' đã được kích hoạt."
"Integration '%1' has been sent for re-authorization.","Tích hợp '%1' đã được gửi cho uỷ quyền lại."
"Integration '%1' has been sent for activation.","Tích hợp '%1' đã được gửi để kích hoạt."
"A consumer with ID %1 does not exist","A consumer with ID %1 does not exist"
"title","tiêu đề"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"This user has no tokens.","This user has no tokens."
"The tokens could not be revoked.","The tokens could not be revoked."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Sorry, something went wrong granting permissions. You can find out more in the exceptions log."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Một cái gì đó đã đi sai trong khi xoá vai trò và quyền. Bạn có thể tìm hiểu thêm trong Nhật ký ngoại lệ."
"%fieldName is a required field.","%fieldName is a required field."
"This customer has no tokens.","This customer has no tokens."
"Inactive","Không hoạt động"
"Active","Kích hoạt"
"Reset","Thiết lập lại"
"Integration with name '%1' exists.","Integration with name '%1' exists."
"Integration with ID '%1' does not exist.","Integration with ID '%1' does not exist."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Một hoặc nhiều hơn <a href=""%1""> tích hợp</a> đã được đặt lại vì một sự thay đổi của cấu hình xml."
"Invalid Callback URL","Gọi lại URL không hợp lệ"
"Invalid Rejected Callback URL","URL bị từ chối gọi lại không hợp lệ"
"Incorrect timestamp value in the oauth_timestamp parameter","Giá trị thời gian hiển thị không chính xác trong tham số oauth_timestamp"
"The nonce is already being used by the consumer with ID %1","Nonce đã được sử dụng bởi người tiêu dùng với ID %1"
"An error occurred validating the nonce","Lỗi soát hợp thức nonce"
"Cannot convert to access token due to token is not request type","Không thể chuyển đổi đến access token do mã token là loại không yêu cầu"
"Consumer key has expired","Người tiêu dùng key đã hết hạn"
"Cannot create request token because consumer token is not a verifier token","Không thể tạo mã thông báo yêu cầu vì mã thông báo người tiêu dùng không phải là một mã thông báo được xác nhận"
"Request token is not associated with the specified consumer","Token Yêu cầu không phải là liên kết với người tiêu dùng được chỉ định"
"Token is already being used","Token đã được sử dụng"
"Cannot get access token because consumer token is not a request token","Không thể nhận được quyền truy cập mã token vì token người tiêu dùng không phải là một mã token yêu cầu"
"Token is not associated with the specified consumer","Token không liên kết với người tiêu dùng được chỉ định"
"Token is not an access token","Mã thông báo không phải là một mã thông báo truy cập"
"Access token has been revoked","Access token đã bị thu hồi"
"Consumer key is not the correct length","Từ khóa khách hàng không phải là chiều dài chính xác"
"A consumer having the specified key does not exist","Khách hàng với từ khóa được chỉ định không tồn tại"
"Verifier is invalid","Verifier là không hợp lệ"
"Verifier is not the correct length","Verifier không phải là chiều dài chính xác"
"Token verifier and verifier token do not match","Token verifier và verifier token không khớp"
"A consumer with the ID %1 does not exist","Một người tiêu dùng với ID %1 không tồn tại"
"Token is not the correct length","Token is not the correct length"
"Specified token does not exist","Mã thông báo đã chỉ rõ không tồn tại"
"A token with consumer ID %1 does not exist","Một mã thông báo với người tiêu dùng ID %1 không tồn tại"
"Unexpected error. Unable to create oAuth consumer account.","Unexpected error. Unable to create oAuth consumer account."
"Unexpected error. Unable to load oAuth consumer account.","Unexpected error. Unable to load oAuth consumer account."
"Unable to post data to consumer due to an unexpected error","Unable to post data to consumer due to an unexpected error"
"Consumer with ID '%1' does not exist.","Consumer with ID '%1' does not exist."
"Invalid token to except","Mã thông báo không hợp lệ để trừ"
"Integration with ID '%1' doesn't exist.","Integration with ID '%1' doesn't exist."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"A token with consumer ID 0 does not exist","Một mã thông báo với người tiêu dùng ID 0 không tồn tại"
"The integration you selected asks you to approve access to the following:","Tích hợp bạn chọn sẽ yêu cầu bạn phải chấp nhận quyền truy cập sau đây:"
"No permissions requested","Không có yêu cầu quyền truy cập nào"
"Are you sure ?","Are you sure ?"
"Are you sure you want to delete this integration? You can't undo this action.","Bạn có chắc bạn muốn xóa bỏ tích hợp này? Bạn không thể hoàn tác hành động này."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Xin vui lòng thiết lập hoặc đăng nhập vào tài khoản của bên thứ 3 để hoàn tất thiết lập tích hợp này."
"Available APIs","API có sẵn"
"Resource Access","Truy cập tài nguyên"
"Custom","Tùy chỉnh"
"All","Tất Cả"
"Resources","Tài nguyên"
"Sorry, something went wrong. Please try again later.","Xin lỗi, có gì đó đã đi sai. Xin vui lòng thử lại sau."
"Popup Blocker is enabled! Please add this site to your exception list.","Popup Blocker được kích hoạt! Xin vui lòng thêm trang này vào danh sách ngoại lệ."
"Allow","Cho phép"
"Done","Đã thực hiện"
"System Extensions","System Extensions"
"System Integrations","System Integrations"
"Extensions","Tiện ích mở rộng"
"OAuth","OAuth"
"Access Token Expiration","Access Token Expiration"
"Customer Token Lifetime (hours)","Thời gian hiệu lực token của khách hàng (giờ)"
"Admin Token Lifetime (hours)","Thời gian hiệu lực token của quản trị viên (giờ)"
"Cleanup Settings","Thiết đặt dọn dẹp"
"Cleanup Probability","Khả năng dọn dẹp"
"Expiration Period","Khoảng thời gian hết hạn"
"Consumer Settings","Cài đặt người tiêu dùng"
"OAuth consumer credentials HTTP Post maxredirects","OAuth người tiêu dùng thông tin đăng nhập HTTP POst tối đa chuyển hướng"
"OAuth consumer credentials HTTP Post timeout","Thời gian chờ HTTP Post thông tin đăng nhập OAuth người tiêu dùng"
"Authentication Locks","Authentication Locks"
"Maximum Login Failures to Lock Out Account","Maximum Login Failures to Lock Out Account"
"Lockout Time (seconds)","Lockout Time (seconds)"
"Integrations Configuration","Cấu hình tích hợp"
"Integration configuration file","Các tập tin cấu hình tích hợp"
"Integrations API Configuration","Cấu hình tích hợp API"
"Integrations API configuration file","Các tập tin cấu hình tích hợp API"
"We couldn't find any records.","Không có kết quả tìm kiếm."
"Status","Trạng thái"
"Integration configuration file.","Integration configuration file."
"Integrations API configuration file.","Integrations API configuration file."
"No Integrations Found","No Integrations Found"
"Are you sure?","Bạn chắc chứ?"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts."
"Number of maximum redirects for OAuth consumer credentials Post request.","Number of maximum redirects for OAuth consumer credentials Post request."
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout for OAuth consumer credentials Post request within X seconds."
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"The integrations created in the config file can't be edited.","The integrations created in the config file can't be edited."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","A consumer with ""%1"" ID doesn't exist. Verify the ID and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The tokens couldn't be revoked.","The tokens couldn't be revoked."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","An error occurred during the attempt to grant permissions. For details, see the exceptions log."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The integration with name ""%1"" exists.","The integration with name ""%1"" exists."
"The integration with ID ""%1"" doesn't exist.","The integration with ID ""%1"" doesn't exist."
"The token length is invalid. Check the length and try again.","The token length is invalid. Check the length and try again."
"The oAuth consumer account couldn't be created due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be created due to an unexpected error. Please try again later."
"The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later.","The oAuth consumer account couldn't be loaded due to an unexpected error. Please try again later."
"The attempt to post data to consumer failed due to an unexpected error. Please try again later.","The attempt to post data to consumer failed due to an unexpected error. Please try again later."
"A consumer with ID ""%1"" doesn't exist. Verify the ID and try again.","A consumer with ID ""%1"" doesn't exist. Verify the ID and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
