"Integrations","Intégrations"
"Add New Integration","Ajouter nouvelle intégration"
"API","API"
"Save","Sauvegarder"
"Save & Activate","Enregistrer & activer"
"New Integration","Nouvelle intégration"
"Edit Integration '%1'","Modifier l’intégration '%1'"
"Integration Info","Info de l’intégration"
"General","Général"
"Name","Nom"
"Email","Email"
"Callback URL","URL de rappel"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Entrez le URL où les informations d’authentification Oauth peuvent être envoyées quand utilisant Oauth token échange. Nous recommandons fortement d’utiliser https://."
"Identity link URL","URL de lien d’identité"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL pour rediriger l’utilisateur afin de lier leur compte de 3ème partie avec cette références d’intégration Magento."
"Current User Identity Verification","Vérification de l'identité utilisateur actuel"
"Your Password","Votre mot de passe"
"Integration Details","Détails de l’intégration"
"Basic Settings","Basique"
"Integration Tokens for Extensions","Intégration des jetons pour les Extensions"
"Consumer Key","Clé d'utilisateur"
"Consumer Secret","Code secret utilisateur"
"Access Token","Jeton d'accès"
"Access Token Secret","Jeton D'Accès Secret"
"Uninstall the extension to remove this integration","Désinstaller l’extension pour supprimer cette intégration"
"Remove","Supprimer"
"View","Voir"
"Edit","Éditer"
"Activate","Activez"
"Reauthorize","Réautoriser"
"Integration not secure","Intégration non sécurisée"
"Uninstall the extension to remove integration '%1'.","Désinstaller l’extension pour supprimer l’intégration '%1'."
"This integration no longer exists.","Cette intégration n’existe plus."
"The integration '%1' has been deleted.","L’intégration de '%1' a été supprimée."
"Integration ID is not specified or is invalid.","ID de l’intégration n’est pas spécifié ou est invalide."
"Internal error. Check exception log for details.","Erreur interne. Consultez le journal des exception pour plus de détails."
"View ""%1"" Integration","Voir l’intégration ""%1"""
"Edit ""%1"" Integration","Modifier l’intégration ""%1"""
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Mise en garde ! Intégrations n'utilise pas HTTPS sont non-sécurisées et exposent les informations personnellement identifiables ou privées"
"Cannot edit integrations created via config file.","Cannot edit integrations created via config file."
"The integration '%1' has been saved.","L'intégration '%1' a été enregistrée."
"The integration was not saved.","L’intégration n'a pas été sauvegardée."
"The integration '%1' has been re-authorized.","L’intégration '%1' a été ré-autorisée."
"The integration '%1' has been activated.","L’intégration '%1' a été activée."
"Integration '%1' has been sent for re-authorization.","L'intégration '%1' a été envoyée pour la ré-autorisation."
"Integration '%1' has been sent for activation.","L'intégration '%1' a été envoyée pour activation."
"A consumer with ID %1 does not exist","A consumer with ID %1 does not exist"
"title","titre"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"This user has no tokens.","This user has no tokens."
"The tokens could not be revoked.","The tokens could not be revoked."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Sorry, something went wrong granting permissions. You can find out more in the exceptions log."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Quelque chose s’est mal passé lors de la suppression de rôles et les autorisations. Vous en saurez plus dans le journal des exceptions."
"%fieldName is a required field.","%fieldName is a required field."
"This customer has no tokens.","This customer has no tokens."
"Inactive","Inactif"
"Active","Actif"
"Reset","Réinitialiser"
"Integration with name '%1' exists.","Integration with name '%1' exists."
"Integration with ID '%1' does not exist.","Integration with ID '%1' does not exist."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Un ou plusieurs <a href=""%1"">intégrations</a> ont été réinitialisées à cause d’un changement de leurs configs de xml."
"Invalid Callback URL","URL de rappel invalide"
"Invalid Rejected Callback URL","URL de rappel rejeté invalide"
"Incorrect timestamp value in the oauth_timestamp parameter","Valeur temporelle incorrecte dans le paramètre oauth_timestamp"
"The nonce is already being used by the consumer with ID %1","Le nonce est déjà utilisé par l'utilisateur avec l'ID %1"
"An error occurred validating the nonce","Une erreur est survenue à la validation du nonce"
"Cannot convert to access token due to token is not request type","Impossible de convertir en accès jeton en raison du jeton qui n’est pas du type ""demande"""
"Consumer key has expired","Clé d'utilisateur expirée"
"Cannot create request token because consumer token is not a verifier token","Impossible de créer le jeton de demande car le jeton utilisateur n’est pas un jeton vérifié"
"Request token is not associated with the specified consumer","Jeton de demande n’est pas associé avec l'utilisateur spécifié"
"Token is already being used","Jeton est déjà utilisé"
"Cannot get access token because consumer token is not a request token","Impossible d'obtenir le jeton d’accès parce que le jetons utilisateur n'est pas un jetons de demande"
"Token is not associated with the specified consumer","Jeton n’est pas associé à l’utilisateur spécifié"
"Token is not an access token","Jeton n’est pas un jeton d’accès"
"Access token has been revoked","Jeton d’accès a été révoqué"
"Consumer key is not the correct length","Clé d'utilisateur n’est pas de la bonne longueur"
"A consumer having the specified key does not exist","Aucun utilisateur ayant la clé spécifiée n’existe"
"Verifier is invalid","Vérificateur n’est pas valide"
"Verifier is not the correct length","Vérificateur n’est pas de la bonne longueur"
"Token verifier and verifier token do not match","Vérificateur de jeton et jeton de vérificateur ne correspondent pas"
"A consumer with the ID %1 does not exist","Aucun utilisateur ayant l' ID %1 n’existe"
"Token is not the correct length","Token is not the correct length"
"Specified token does not exist","Jeton spécifié n’existe pas"
"A token with consumer ID %1 does not exist","Le jeton avec utilisateur ID %1 n’existe pas"
"Unexpected error. Unable to create oAuth consumer account.","Unexpected error. Unable to create oAuth consumer account."
"Unexpected error. Unable to load oAuth consumer account.","Unexpected error. Unable to load oAuth consumer account."
"Unable to post data to consumer due to an unexpected error","Unable to post data to consumer due to an unexpected error"
"Consumer with ID '%1' does not exist.","Consumer with ID '%1' does not exist."
"Invalid token to except","Jeton non valide à exclure"
"Integration with ID '%1' doesn't exist.","Integration with ID '%1' doesn't exist."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"A token with consumer ID 0 does not exist","Un jeton avec ID d'utilisateur 0 n’existe pas"
"The integration you selected asks you to approve access to the following:","L’intégration que vous avez sélectionné vous demande d’approuver l’accès à ce qui suit :"
"No permissions requested","Aucune autorisation demandée"
"Are you sure ?","Are you sure ?"
"Are you sure you want to delete this integration? You can't undo this action.","Êtes-vous sûr de que vouloir supprimer cette intégration ? Vous ne pourrez pas annuler cette action."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Veuillez paramétrer ou connectez-vous sur votre compte tiers pour terminer la configuration de cette intégration."
"Available APIs","API disponibles"
"Resource Access","Accès aux ressources"
"Custom","Personnalisé"
"All","Tous"
"Resources","Ressources"
"Sorry, something went wrong. Please try again later.","Un problème est survenu. Réessayez plus tard."
"Popup Blocker is enabled! Please add this site to your exception list.","Bloqueur de popup est activé ! Veuillez ajouter ce site à votre liste d’exceptions."
"Allow","Autoriser"
