"Integrations","インテグレーション"
"Add New Integration","新しいインテグレーションを追加"
"API","API"
"Save","保存"
"Save & Activate","保存 & アクティベーション"
"New Integration","新しいインテグレーション"
"Edit Integration '%1'","編集インテグレーション '%1'"
"Integration Info","インテグレーション情報"
"General","全般"
"Name","名前"
"Email","Eメール"
"Callback URL","コールバックURL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","トークン交換のためにOauthを使う時、Oauthクレデンシャルが送れるURLを入力してください。 https:// を使用することを強くおすすめします"
"Identity link URL","アイデンティティリンクURL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","ユーザーをこのMagentoインテグレーションクレデンシャルをもつサードパーティアカウントとリンクするようにリダイレクトするURL"
"Current User Identity Verification","現在のユーザー証明認証"
"Your Password","あなたのパスワード"
"Integration Details","インテグレーション詳細"
"Basic Settings","基本設定"
"Integration Tokens for Extensions","エクステンションのためのインテグレーショントークン"
"Consumer Key","消費者キー"
"Consumer Secret","消費者の秘密"
"Access Token","アクセストークン"
"Access Token Secret","アクセストークンの秘密"
"Uninstall the extension to remove this integration","このインテグレーションを削除するためにエクステンションをアンインストール"
"Remove","削除"
"View","表示"
"Edit","編集"
"Activate","有効化"
"Reauthorize","再認証"
"Integration not secure","連携はセキュアではありません"
"Uninstall the extension to remove integration '%1'.","インテグレーションを削除するためにエクステンションをアンインストール '%1'."
"This integration no longer exists.","このインテグレーションはもう存在しません"
"The integration '%1' has been deleted.","インテグレーション '%1' は削除されました"
"Integration ID is not specified or is invalid.","インテグレーションIDが指定されなかったか無効です"
"Internal error. Check exception log for details.","内部エラー。詳細はエクセプションログを参照してください"
"View ""%1"" Integration"," ""%1""のインテグレーションを見る"
"Edit ""%1"" Integration","""%1""のインテグレーションを編集"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","注意！HTTPSを使っていないインテグレーションは危険であり個人情報を晒してしまう可能性があります"
"Cannot edit integrations created via config file.","%1のIDを持つサンプルを削除できません。"
"The integration '%1' has been saved.","インテグレーション '%1' は保存されました"
"The integration was not saved.","インテグレーションは保存されませんでした"
"The integration '%1' has been re-authorized.","インテグレーション '%1'は再承認されました"
"The integration '%1' has been activated.","インテグレーション '%1' はアクティベートされました"
"Integration '%1' has been sent for re-authorization.","インテグレーション '%1' 再認証に送られました"
