"Please specify a website.","Задайте уеб сайт."
"Please specify an email.","Please specify an email."
"We found an invalid value in a website column.","Намерихме невалидна стойност в колона на сайт."
"Please enter a valid email.","Моля, въведете валиден имейл."
"Please make sure attribute ""%s"" is not empty.","Моля, уверете се, че атрибут ""%s"" не е празен."
"We can't find a customer who matches this email and website code.","Не може да намери клиент, който отговаря на този имейл и уебсайт код."
"Customer address id column is not specified","Не е зададено ИД в колона с клиентски адрес"
"We can't find that customer address.","Не можем да намерим този клиент адрес."
"Please enter a valid region.","Моля, въведете валиден регион."
"We found another row with this email, website and address ID combination.","Ние открихме, друг ред с този имейл, уеб сайт и адрес ИД комбинация."
"This email is found more than once in the import file.","Този имейл е намерен повече от веднъж в импортирания файл."
"Orphan rows that will be skipped due default row errors","Кандидатстващите редове, които ще бъдат пропуснати поради грешки в ред по подразбиране"
"Invalid value in Store column (store does not exists?)","Невалидна стойност в колона, склад (хранилище не съществува?)"
"We can't find that email and website combination.","Не можем да намерим този имейл и уебсайт комбинация."
"Please enter a password with a valid length.","Моля, въведете парола с валидна дължина."
"CSV","CSV"
"Excel XML","Excel XML"
"An email wasn't specified. Enter the email and try again.","Не е посочен имейл. Задайте и опитайте пак."
