"Please specify a website.","请指定的网站。"
"Please specify an email.","Please specify an email."
"We found an invalid value in a website column.","商店列表中的无效值 (商店不存在)"
"Please enter a valid email.","请输入有效的邮箱地址"
"Please make sure attribute ""%s"" is not empty.","请确保""%s""属性不为空。"
"We can't find a customer who matches this email and website code.","我们找不到与此电子邮件和网站的代码匹配的顾客。"
"Customer address id column is not specified","客户地址 id 列未指定"
"We can't find that customer address.","我们找不到该客户的地址。"
"Please enter a valid region.","请输入一个有效的区域。"
"We found another row with this email, website and address ID combination.","我们发现与此电子邮件、 网站、 地址 ID 相结合的另一排。"
"This email is found more than once in the import file.","这封电子邮件是在导入文件中不止一次发现。"
"Orphan rows that will be skipped due default row errors","由于默认行错误将被跳过的行"
"Invalid value in Store column (store does not exists?)","在列中存储的值无效 (存储不存在吗?)"
"We can't find that email and website combination.","我们找不到该电子邮件和网站组合。"
"Please enter a password with a valid length.","请输入一个有效的长度的密码。"
"CSV","Excel XML"
"Excel XML","XML Excel"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
