"Please specify a website.","ഒരു വെബ്‌സൈറ്റ് വ്യക്തമാക്കുക."
"Please specify an email.","ഒരു ഇമെയിൽ വ്യക്തമാക്കുക."
"We found an invalid value in a website column.","ഒരു വെബ്‌സൈറ്റ് നിരയിൽ ഞങ്ങൾ ഒരു അസാധുവായ മൂല്യം കണ്ടെത്തി."
"Please enter a valid email.","സാധുവായ ഒരു ഇമെയിൽ നൽകുക."
"Please make sure attribute ""%s"" is not empty.","""%s"" ആട്രിബ്യൂട്ട് ശൂന്യമല്ലെന്ന് ഉറപ്പാക്കുക."
"We can't find a customer who matches this email and website code.","ഈ ഇമെയിലും വെബ്‌സൈറ്റ് കോഡും പൊരുത്തപ്പെടുന്ന ഒരു ഉപഭോക്താവിനെ ഞങ്ങൾക്ക് കണ്ടെത്താൻ കഴിയില്ല."
"Customer address id column is not specified","ഉപഭോക്തൃ വിലാസ ഐഡി നിര വ്യക്തമാക്കിയിട്ടില്ല"
"We can't find that customer address.","ഞങ്ങൾക്ക് ആ ഉപഭോക്തൃ വിലാസം കണ്ടെത്താൻ കഴിയില്ല."
"Please enter a valid region.","സാധുവായ ഒരു പ്രദേശം നൽകുക."
"We found another row with this email, website and address ID combination.","ഈ ഇമെയിൽ, വെബ്‌സൈറ്റ്, വിലാസ ഐഡി കോമ്പിനേഷൻ ഉള്ള മറ്റൊരു വരി ഞങ്ങൾ കണ്ടെത്തി."
"This email is found more than once in the import file.","ഇമ്പോർട് ഫയലിൽ ഒന്നിലധികം തവണ ഈ ഇമെയിൽ കണ്ടെത്തി."
"Orphan rows that will be skipped due default row errors","സ്ഥിരസ്ഥിതി വരി പിശകുകൾ ഒഴിവാക്കുന്ന അനാഥ വരികൾ"
"Invalid value in Store column (store does not exists?)","സ്റ്റോർ നിരയിലെ അസാധുവായ മൂല്യം (സ്റ്റോർ നിലവിലില്ലേ?)"
"We can't find that email and website combination.","ഞങ്ങൾക്ക് ആ ഇമെയിലും വെബ്‌സൈറ്റ് സംയോജനവും കണ്ടെത്താൻ കഴിയില്ല."
"Please enter a password with a valid length.","സാധുവായ ദൈർഘ്യമുള്ള പാസ്‌വേഡ് നൽകുക."
"CSV","CSV"
"Excel XML","Excel XML"
"An email wasn't specified. Enter the email and try again.","ഒരു ഇമെയിൽ വ്യക്തമാക്കിയിട്ടില്ല. ഇമെയിൽ നൽകി വീണ്ടും ശ്രമിക്കുക."
