"Back","Indietro"
"Reset","Reimposta"
"Delete Role","Elimina ruolo"
"Are you sure you want to do this?","Sicuro di volerlo fare?"
"Save Role","Salva Ruolo"
"Roles","Ruoli"
"Add New Role","Aggiungi Nuovo Ruolo"
"Role Information","Informazioni sul Ruolo"
"Role Users","Ruolo utenti"
"User ID","ID Utente"
"User Name","Nome utente"
"First Name","Nome"
"Last Name","Cognome"
"Email","Email"
"Status","Stato"
"Active","Attiva"
"Inactive","Inattivo"
"Role Resources","Risorse ruoli"
"Role Info","Info ruolo"
"Role Name","Nome ruolo"
"Current User Identity Verification","Verifica dell'identità utente corrente"
"Your Password","La tua Password"
"Add New User","Aggiungi Nuovo Utente"
"Users","Utenti"
"Save User","Salva Utente"
"Delete User","Elimina utente"
"Are you sure you want to revoke the user's tokens?","Sei sicuro di voler revocare i token degli utenti?"
"Force Sign-In","Forza Registrazione"
"Edit User '%1'","Modifica utente '%1'"
"New User","Nuovo utente"
"Account Information","Informazioni sull'account"
"User Email","Email Utente"
"Password","Password"
"New Password","Nuova Password"
"Password Confirmation","Conferma password"
"Interface Locale","Interfaccia Locale"
"This account is","Questo account è"
"Account Status","Status Account"
"User Roles Information","Informazioni sui ruoli utente"
"Assigned","Assegnato"
"Role","Ruolo"
"User Information","Informazioni utente"
"User Info","Info Utente"
"User Role","Ruolo Utente"
"Please correct the password reset token.","Correggi il token reset password."
"Please specify the correct account and try again.","Specificare l'account corretto e riprovare."
"Your password reset link has expired.","Il link per il reset della password è scaduto."
"We're unable to send the password reset email.","Impossibile inviare l'email per il reset della password."
"We'll email you a link to reset your password.","Ti invieremo un'email con un link per reimpostare la password."
"Please correct this email address:","Correggi questo indirizzo email:"
"Please enter an email address.","Inserisci un indirizzo email."
"You updated your password.","Hai aggiornato la tua password."
"Locked Users","Utenti bloccati"
"Unlocked %1 user(s).","%1 utenti sbloccati."
"System","Sistema"
"Permissions","Permessi"
"You cannot delete your own account.","Non è possibile eliminare il tuo account."
"You have entered an invalid password for current user.","Hai inserito una password non valida per l'utente corrente."
"You deleted the user.","Hai eliminato l'utente."
"We can't find a user to delete.","Impossibile trovare l'utente da eliminare."
"This user no longer exists.","Questo utente non esiste più."
"Edit User","Modifica utente"
"You have revoked the user's tokens.","Hai revocato i token dell'utente."
"We can't find a user to revoke.","Non è possibile trovare un utente da revocare."
"You cannot delete self-assigned roles.","Non è possibile eliminare i ruoli auto-assegnati."
"You deleted the role.","Hai eliminato il ruolo."
"An error occurred while deleting this role.","Si è verificato un errore durante l'eliminazione di questo ruolo."
"Edit Role","Modifica Ruolo"
"New Role","Nuovo Ruolo"
"This role no longer exists.","Questo ruolo non esiste più."
"You saved the role.","Hai salvato il ruolo."
"An error occurred while saving this role.","Errore durante il salvataggio di questo ruolo."
"You saved the user.","Hai salvato l'utente."
"A user with the same user name or email already exists.","Esiste già un utente con lo stesso nome o e-mail."
"Recommended","Raccomandato"
"Forced","Forzato"
"Sorry, but this password has already been used. Please create another.","Ci dispiace, ma questa password è già stata utilizzata. Usane un'altra."
"email","Indirizzo e-mail"
"password","password"
"username","nome utente"
"You did not sign in correctly or your account is temporarily disabled.","Non hai eseguito l'accesso correttamente o il tuo account è temporaneamente disattivato."
"You need more permissions to access this.","Hai bisogno di maggiori permessi per accedere a questo."
"Your account is temporarily disabled.","Il tuo account è temporaneamente disabilitato."
"User Name is a required field.","Nome utente è un campo obbligatorio."
"First Name is a required field.","Nome è un campo obbligatorio."
"Last Name is a required field.","Cognome è un campo obbligatorio."
"Please enter a valid email.","Inserisci un indirizzo email valido."
"Password is required field.","Password è un campo obbligatorio."
"Your password must be at least %1 characters.","La password deve contenere almeno %1 caratteri."
"Your password must include both numeric and alphabetic characters.","La password deve includere caratteri sia alfabetici che numerici."
"Your password confirmation must match your password.","La conferma password deve corrispondere alla password."
"It's time to change your password.","È il momento di cambiare la password."
"It's time to <a href=""%1"">change your password</a>.","È il momento di <a href=""%1"">cambiare la password</a>."
"Your password has expired; please contact your administrator.","La password è scaduta; si prega di contattare l'amministratore."
"Password Help","Aiuto password"
"Enter your email address.  You will receive an email with a link to reset your password.","Inserisci il tuo indirizzo email.  Riceverai un'email con un link per reimpostare la password."
"Email address","Indirizzo email"
"Retrieve Password","Recupera password"
"Back to Sign in","Torna alla registrazione"
"Forgot your password?","Hai dimenticato la password?"
"Reset a Password","Reimposta la Password"
"Confirm New Password","Conferma nuova Password"
"Reset Password","Reimposta Password"
"Roles Resources","Risorse ruoli"
"Resource Access","Accesso alle risorse"
"Custom","Personalizzato"
"All","Tutti"
"Resources","Risorse"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Attenzione! \r\nQuesta azione rimuoverà questo utente dalla regola assegnata\r\nSei sicuro?"
