"Back","ආපසු"
"Reset","යළි පිහිටුවන්න"
"Delete Role","භූමිකාව මකන්න"
"Are you sure you want to do this?","ඔබට මෙය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Save Role","භූමිකාව සුරකින්න"
"Roles","භූමිකාවන්"
"Add New Role","නව භූමිකාවක් එක් කරන්න"
"Role Information","භූමිකාව පිළිබඳ තොරතුරු"
"Role Users","භූමිකාව භාවිතා කරන්නන්"
"User ID","පරිශීලක ID"
"User Name","පරිශීලක නාමය"
"First Name","මුල් නම"
"Last Name","අවසන් නම"
"Email","විද්යුත් තැපෑල"
"Status","තත්ත්වය"
"Active","ක්රියාකාරී"
"Inactive","අක්රියයි"
"Role Resources","භූමිකාව සම්පත්"
"Role Info","භූමිකාව පිළිබඳ තොරතුරු"
"Role Name","භූමිකාවේ නම"
"Current User Identity Verification","වත්මන් පරිශීලක අනන්‍යතා සත්‍යාපනය"
"Your Password","ඔබගේ මුරපදය"
"Add New User","නව පරිශීලක එකතු කරන්න"
"Users","පරිශීලකයන්"
"Save User","පරිශීලක සුරකින්න"
"Delete User","පරිශීලක මකන්න"
"Are you sure you want to revoke the user's tokens?","ඔබට පරිශීලකයාගේ ටෝකන අවලංගු කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Force Sign-In","බලෙන් පුරනය වන්න"
"Edit User '%1'","පරිශීලක '%1' සංස්කරණය කරන්න"
"New User","නව පරිශීලක"
"Account Information","ගිණුම් තොරතුරු"
"User Email","පරිශීලක ඊමේල්"
"Password","මුරපදය"
"New Password","නව මුරපදය"
"Password Confirmation","මුරපදය තහවුරු කිරීම"
"Interface Locale","අතුරු මුහුණත පෙදෙසි"
"This account is","මෙම ගිණුම වේ"
"Account Status","ගිණුම් තත්ත්වය"
"User Roles Information","පරිශීලක භූමිකාවන් තොරතුරු"
"Assigned","පවරා"
"Role","කාර්යභාරය"
"User Information","පරිශීලක තොරතුරු"
"User Info","පරිශීලක තොරතුරු"
"User Role","පරිශීලක භූමිකාව"
"Please correct the password reset token.","කරුණාකර මුරපද යළි පිහිටුවීමේ ටෝකනය නිවැරදි කරන්න."
"Please specify the correct account and try again.","කරුණාකර නිවැරදි ගිණුම සඳහන් කර නැවත උත්සාහ කරන්න."
"Your password reset link has expired.","ඔබගේ මුරපද යළි පිහිටුවීමේ සබැඳිය කල් ඉකුත් වී ඇත."
"We're unable to send the password reset email.","අපට මුරපද යළි පිහිටුවීමේ විද්‍යුත් තැපෑල යැවීමට නොහැක."
"We'll email you a link to reset your password.","ඔබගේ මුරපදය යළි සැකසීමට අපි ඔබට සබැඳියක් ඊමේල් කරන්නෙමු."
"Please correct this email address:","කරුණාකර මෙම ඊමේල් ලිපිනය නිවැරදි කරන්න:"
