"Back","Назад"
"Reset","Ресетовати"
"Delete Role","Обриши Роле"
"Are you sure you want to do this?","Јесте ли сигурни да желите да урадите ово?"
"Save Role","Сачувај улогу"
"Roles","Улоге"
"Add New Role","Додај Ново Роле"
"Role Information","Информације о улози"
"Role Users","Корисници улоге"
"User ID","ИД корисника"
"User Name","Корисничко име"
"First Name","Име"
"Last Name","Презиме"
"Email","Е-пошта"
"Status","Статус"
"Active","Активан"
"Inactive","Неактиван"
"Role Resources","Ресурси улоге"
"Role Info","Инфо о улози"
"Role Name","Назив улоге"
"Current User Identity Verification","Верификација идентитета тренутног корисника"
"Your Password","Ваша лозинка"
"Add New User","Додај новог корисника"
"Users","Корисници"
"Save User","Сачувај корисника"
"Delete User","Обриши Усер"
"Are you sure you want to revoke the user's tokens?","Да ли сте сигурни желите да ревоке тхе усер'с токенс?"
"Force Sign-In","Принудно Регистровање"
"Edit User '%1'","Измени Усер '%1'"
"New User","Ново Усер"
"Account Information","Информације о корисничком налогу"
"User Email","Корисничка е-пошта"
"Password","Лозинка"
"New Password","Нова лозинка"
"Password Confirmation","Поновити лозинку"
"Interface Locale","Локални интерфејс"
"This account is","Овај налог је"
"Account Status","Статус налога"
"User Roles Information","Информације о улогама корисника"
"Assigned","Assigned"
"Role","Улога"
"User Information","Информације о кориснику"
"User Info","Информације о кориснику"
"User Role","Улога корисника"
"Please correct the password reset token.","Молимо исправите тхе пассwорд ресет токен."
"Please specify the correct account and try again.","Молимо наведите тхе цоррецт аццоунт анд покушајте поново."
"Your password reset link has expired.","Линк за ресетовање лозинке је истекао."
"We're unable to send the password reset email.","Нисмо у могуц́ности послати емаил за поновно постављање лозинке."
"We'll email you a link to reset your password.","We'll email you a link to reset your password."
"Please correct this email address:","Молимо исправите тхис емаил аддресс:"
"Please enter an email address.","Унесите емаил адресу."
"You updated your password.","Ажурирали сте шифру."
"Locked Users","Закључани корисници"
"Unlocked %1 user(s).","Unlocked %1 user(s)."
"System","Систем"
"Permissions","Дозволе"
"You cannot delete your own account.","Не можете обрисати сопствени налог."
"You have entered an invalid password for current user.","Yоу хаве ентеред ан неисправан пассwорд фор цуррент усер."
"You deleted the user.","Обрисали сте корисника."
"We can't find a user to delete.","We can't find a user to delete."
"This user no longer exists.","Овај корисник више не постоји."
"Edit User","Уреди корисника"
"You have revoked the user's tokens.","Оповргли сте токене корисника."
"We can't find a user to revoke.","We can't find a user to revoke."
"You cannot delete self-assigned roles.","Не можете обрисати самододељене улоге."
"You deleted the role.","Обрисали сте улогу."
"An error occurred while deleting this role.","Дошло је до грешке wхиле делетинг тхис роле."
"Edit Role","Измени Роле"
"New Role","Ново Роле"
"This role no longer exists.","Ова улога више не постоји."
"You saved the role.","Сачували сте улогу."
"An error occurred while saving this role.","Дошло је до грешке wхиле савинг тхис роле."
"You saved the user.","Сачували сте корисника."
"A user with the same user name or email already exists.","A user with the same user name or email already exists."
"Recommended","Препоручено"
"Forced","Forced"
"Sorry, but this password has already been used. Please create another.","Sorry, but this password has already been used. Please create another."
"email","email"
"password","лозинка"
"username","username"
"You did not sign in correctly or your account is temporarily disabled.","Нисте се правилно пријавили или је ваш налог привремено онемогућен."
"You need more permissions to access this.","Потребне су вам више дозволе за приступ овом."
"Your account is temporarily disabled.","Ваш налог је привремено онемогућен."
"User Name is a required field.","Корисничко име је обавезно поље."
"First Name is a required field.","Име је обавезно поље."
"Last Name is a required field.","Презиме је обавезно поље."
"Please enter a valid email.","Унесите исправан Емаил."
"Password is required field.","Лозинка је обавезно поље."
"Your password must be at least %1 characters.","Your password must be at least %1 characters."
"Your password must include both numeric and alphabetic characters.","Your password must include both numeric and alphabetic characters."
"Your password confirmation must match your password.","Your password confirmation must match your password."
"It's time to change your password.","It's time to change your password."
"It's time to <a href=""%1"">change your password</a>.","Време је да <а хреф=""%1""> промените вашу лозинку</а>."
"Your password has expired; please contact your administrator.","Your password has expired; please contact your administrator."
"Password Help","Помоћ за лозинку"
"Enter your email address.  You will receive an email with a link to reset your password.","Enter your email address.  You will receive an email with a link to reset your password."
"Email address","Емаил адреса"
"Retrieve Password","Поврати лозинку"
"Back to Sign in","Назад то Сигн ин"
"Forgot your password?","Заборавили сте лозинку?"
