"Back","Voltar"
"Reset","Reiniciar"
"Delete Role","Apagar Permissão"
"Are you sure you want to do this?","Deseja realmente fazer isso?"
"Save Role","Salvar Permissão"
"Roles","Permissões"
"Add New Role","Adicionar Nova Função"
"Role Information","Informações de Acesso"
"Role Users","Permissões a Usuários"
"User ID","ID de Usuário"
"User Name","Nome de Usuário"
"First Name","Nome"
"Last Name","Sobrenome"
"Email","E-mail"
"Status","Situação"
"Active","Ativo"
"Inactive","Inativo"
"Role Resources","Permissões a Recursos"
"Role Info","Informação de Permissão"
"Role Name","Nome da Permissão"
"Current User Identity Verification","Verificação de identidade do usuário atual"
"Your Password","Sua Senha"
"Add New User","Adicionar Novo Usuário"
"Users","Usuários"
"Save User","Salvar Usuário"
"Delete User","Apagar Usuário"
"Are you sure you want to revoke the user's tokens?","Tem certeza que deseja revogar os tokens do cliente?"
"Force Sign-In","Forçar a entrada"
"Edit User '%1'","Editar Usuário '%1'"
"New User","Novo Usuário"
"Account Information","Informações de Conta"
"User Email","E-mail de Usuário"
"Password","Senha"
"New Password","Nova Senha"
"Password Confirmation","Confirmação de Senha"
"Interface Locale","Idioma da interface"
"This account is","Esta conta é"
"Account Status","Status da Conta"
"User Roles Information","Informações das Permissões do Usuário"
"Assigned","Atribuído"
"Role","Função"
"User Information","Informações do Usuário"
"User Info","Informações de Usuário"
"User Role","Permissões de Acesso"
"Please correct the password reset token.","Por favor, corrija o token de redefinição de senha."
"Please specify the correct account and try again.","Por favor, especifique a conta correta e tente novamente."
"Your password reset link has expired.","Seu link de redefinição de senha expirou."
"We're unable to send the password reset email.","Não é possível enviar o e-mail para redefinição de senha."
"We'll email you a link to reset your password.","Enviaremos um e-mail para você contendo um link para redefinição de senha."
"Please correct this email address:","Por favor, corrija este endereço de e-mail:"
"Please enter an email address.","Por favor, preencha um endereço de e-mail."
"You updated your password.","Você atualizou sua senha."
"Locked Users","Usuários Bloqueados"
"Unlocked %1 user(s).","%1 usuario(s) desbloqueado(s)."
"System","Sistema"
"Permissions","Permissões"
"You cannot delete your own account.","Você não pode apagar sua própria conta."
"You have entered an invalid password for current user.","Você inseriu uma senha inválida para o usuário atual."
"You deleted the user.","Você apagou o usuário."
"We can't find a user to delete.","Não foi possível encontrar um usuário para apagar."
"This user no longer exists.","Este usuário não existe mais."
"Edit User","Editar Usuário"
"You have revoked the user's tokens.","Você revogou os tokens do usuário."
"We can't find a user to revoke.","Não encontramos um usuário para revogar."
"You cannot delete self-assigned roles.","Não é possível apagar suas próprias permissões."
"You deleted the role.","Você apagou a permissão."
