"Back","Назад"
"Reset","Скинути"
"Delete Role","Видалити роль"
"Are you sure you want to do this?","Ви справді бажаєте це зробити?"
"Save Role","Зберегти роль"
"Roles","Ролі"
"Add New Role","Додати нову роль"
"Role Information","Інформація про роль"
"Role Users","Роль, Користувачі"
"User ID","ID користувача"
"User Name","Ім'я користувача"
"First Name","Ім'я"
"Last Name","Прізвище"
"Email","Імейл"
"Status","Стан"
"Active","Активний"
"Inactive","Неактивний"
"Role Resources","Роль, Ресурси"
"Role Info","Роль, Інформація"
"Role Name","Назва ролі"
"Current User Identity Verification","Перевірка особистості користувача"
"Your Password","Ваш пароль"
"Add New User","Додати нового користувача"
"Users","Користувачі"
"Save User","Зберегти користувача"
"Delete User","Видалити користувача"
"Are you sure you want to revoke the user's tokens?","Ви впевнені, що хочете відкликати Користувацькі токени?"
"Force Sign-In","Примусовий вхід"
"Edit User '%1'","Редагувати Користувача '%1'"
"New User","Новий Користувач"
"Account Information","Інформація про обліковку"
"User Email","Імейл Користувача"
"Password","Пароль"
"New Password","Новий пароль"
"Password Confirmation","Підтвердження паролю"
"Interface Locale","Локаль інтерфейсу"
"This account is","Обліковка"
"Account Status","Стан Обліковки"
"User Roles Information","Інформація про Користувацькі ролі"
"Assigned","Призначено"
"Role","Роль"
"User Information","Інформація про користувача"
"User Info","Користувач, інформація"
"User Role","Користувацька роль"
"Please correct the password reset token.","Будь ласка, виправте токен скидання пароля."
"Please specify the correct account and try again.","Будь ласка, вкажіть коректну Обліковку та повторіть спробу."
"Your password reset link has expired.","Ваше покликання для зміни пароля більше не дійсне."
"We're unable to send the password reset email.","Ми не змогли відправити листа для скидання пароля."
"We'll email you a link to reset your password.","Ми відправимо вам покликання на скидання пароля."
"Please correct this email address:","Будь ласка, виправте імейл:"
"Please enter an email address.","Будь ласка, введіть адресу електронної пошти."
"You updated your password.","Ви оновили ваш пароль."
"Locked Users","Заблоковані користувачі"
"Unlocked %1 user(s).","Розблокувати %1 користувачів."
"System","Система"
"Permissions","Дозволи"
"You cannot delete your own account.","Ви не можете видалити власну обліковку."
"You have entered an invalid password for current user.","Ви ввели недійсний пароль для поточного користувача."
"You deleted the user.","Ви видалили Користувача."
"We can't find a user to delete.","Ми не можемо знайти Користувача для видалення."
"This user no longer exists.","Цього Користувача більше не існує."
"Edit User","Редагувати Користувача"
"You have revoked the user's tokens.","Ви відкликали токени користувача."
"We can't find a user to revoke.","Ми не можемо знайти Користувача для відкликання."
"You cannot delete self-assigned roles.","Ви не можете видаляти ролі, що призначені на вас."
"You deleted the role.","Ви видалили роль."
"An error occurred while deleting this role.","Сталася помилка під час видалення ролі."
"Edit Role","Редагувати роль"
"New Role","Нова роль"
"This role no longer exists.","Цієї ролі більше не існує."
"You saved the role.","Ви зберегли роль."
"An error occurred while saving this role.","Сталася помилка під час збереження ролі."
"You saved the user.","Ви зберегли користувача."
"A user with the same user name or email already exists.","Користувач з таким самим User Name або імейлом вже існує."
"Recommended","Рекомендовано"
"Forced","Примусово"
"Sorry, but this password has already been used. Please create another.","Вибачте, але такий пароль вже було використано раніше. Створіть новий."
"email","імейл"
"password","пароль"
"username","ім'я користувача"
"You did not sign in correctly or your account is temporarily disabled.","Ви ввійшли неправильно або ваша обліковка тимчасово вимкнена."
"You need more permissions to access this.","Вам потрібно більше дозволів для доступу."
"Your account is temporarily disabled.","Ваш обліковий запис тимчасово вимкнено."
"User Name is a required field.","Поле User Name є обов'язковим."
"First Name is a required field.","Поле Ім'я є обов'язковим."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","Please enter a valid email."
"Password is required field.","Password is required field."
"Your password must be at least %1 characters.","Your password must be at least %1 characters."
"Your password must include both numeric and alphabetic characters.","Your password must include both numeric and alphabetic characters."
"Your password confirmation must match your password.","Ваше підтвердження пароля повинне відповідати Вашому паролеві."
"It's time to change your password.","It's time to change your password."
"It's time to <a href=""%1"">change your password</a>.","It's time to <a href=""%1"">change your password</a>."
"Your password has expired; please contact your administrator.","Your password has expired; please contact your administrator."
"Password Help","Password Help"
"Enter your email address.  You will receive an email with a link to reset your password.","Enter your email address.  You will receive an email with a link to reset your password."
"Email address","Імейл"
"Retrieve Password","Retrieve Password"
"Back to Sign in","Back to Sign in"
"Forgot your password?","Забули свій пароль?"
"Reset a Password","Скинути пароль"
"Confirm New Password","Підтвердьте новий пароль"
"Reset Password","Скинути пароль"
"Roles Resources","Roles Resources"
"Resource Access","Resource Access"
"Custom","На вибір"
"All","Всі"
"Resources","Resources"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","Підтвердження скидання пароля для %name"
"%name,","%name,"
"There was recently a request to change the password for your account.","Ми отримали запит на скидання пароля для вашої обліковки."
"If you requested this change, reset your password here:","If you requested this change, reset your password here:"
"If you did not make this request, you can ignore this email and your password will remain the same.","If you did not make this request, you can ignore this email and your password will remain the same."
"Thank you,","Thank you,"
"New %changes for %user_name","New %changes for %user_name"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","We have received a request to change the following information associated with your account at %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","If you have not authorized this action, please contact us immediately at %store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","Thanks,"
"All Users","All Users"
"User Roles","User Roles"
"User Notification Template","User Notification Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон імейлу обрано на основі запасного варіанту з Теми (Website Theme), коли опція ""Типово"" обрана."
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Lockout Time (minutes)","Lockout Time (minutes)"
"Password Lifetime (days)","Password Lifetime (days)"
"Password Change","Зміна пароля"
"Unlock","Unlock"
"ID","ID"
"Username","User Name"
"Last login","Last login"
"Failures","Failures"
"Unlocked","Unlocked"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","Administrator"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","Поле ""Ім'я"" є обов'язковим. Введіть і повторіть спробу."
"""Last Name"" is required. Enter and try again.","Поле ""Прізвище"" є обов'язково. Введіть і повторіть спробу."
