"Back","ಹಿಂದೆ"
"Reset","ಮರುಹೊಂದಿಸಿ"
"Delete Role","ಹುದ್ದೆಯನ್ನು ಅಳಿಸಿ"
"Are you sure you want to do this?","ಇದನ್ನು ಮಾಡಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Save Role","ಹುದ್ದೆಯನ್ನು ಉಳಿಸಿ"
"Roles","ಹುದ್ದೆಗಳು"
"Add New Role","ಹೊಸ ಹುದ್ದೆಯನ್ನು ಸೇರಿಸಿ"
"Role Information","ಹುದ್ದೆಯ ಮಾಹಿತಿ"
"Role Users","ಹುದ್ದೆ ಬಳಕೆದಾರರು"
"User ID","ಬಳಕೆದಾರರ ID"
"User Name","ಬಳಕೆದಾರರ ಹೆಸರು"
"First Name","ಮೊದಲ ಹೆಸರು"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Email","ಮಿಂಚೆ"
"Status","ಸ್ಥಿತಿ"
"Active","ಸಕ್ರಿಯ"
"Inactive","ನಿಷ್ಕ್ರಿಯ"
"Role Resources","ಹುದ್ದೆ ಸಂಪನ್ಮೂಲಗಳು"
"Role Info","ಹುದ್ದೆಯ ವಿವರ"
"Role Name","ಹುದ್ದೆಯ ಹೆಸರು"
"Current User Identity Verification","ಪ್ರಸ್ತುತ ಬಳಕೆದಾರರ ಗುರುತು ಪರಿಶೀಲನೆ"
"Your Password","ನಿಮ್ಮ ಗುಪ್ತಪದ"
"Add New User","ಹೊಸ ಬಳಕೆದಾರರನ್ನು ಸೇರಿಸಿ"
"Users","ಬಳಕೆದಾರರು"
"Save User","ಬಳಕೆದಾರರನ್ನು ಉಳಿಸಿ"
"Delete User","ಬಳಕೆದಾರರನ್ನು ಅಳಿಸಿ"
"Are you sure you want to revoke the user's tokens?","ನೀವು ಬಳಕೆದಾರರ ಟೋಕನ್‍ಗಳನ್ನು ಹಿಂಪಡೆಯಲು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Force Sign-In","ಒತ್ತಾಯಪೂರ್ವಕ ಸೈನ್-ಇನ್"
"Edit User '%1'","ಬಳಕೆದಾರ '%1' ಅವರನ್ನು ಸಂಪಾದಿಸಿ"
"New User","ಹೊಸ ಬಳಕೆದಾರರು"
"Account Information","ಖಾತೆಯ ಮಾಹಿತಿ"
"User Email","ಬಳಕೆದಾರರ ಮಿಂಚೆ"
"Password","ಗುಪ್ತಪದ"
"New Password","ಹೊಸ ಗುಪ್ತಪದ"
"Password Confirmation","ಗುಪ್ತಪದದ ದೃಢೀಕರಣ"
"Interface Locale","Interface Locale"
"This account is","ಈ ಖಾತೆಯು"
"Account Status","ಖಾತೆಯ ಸ್ಥಿತಿ"
"User Roles Information","ಬಳಕೆದಾರರ ಹುದ್ದೆಯ ಮಾಹಿತಿ"
"Assigned","ವಹಿಸಲಾಗಿದೆ"
"Role","ಹುದ್ದೆ"
"User Information","ಬಳಕೆದಾರರ ಮಾಹಿತಿ"
"User Info","ಬಳಕೆದಾರರ ಮಾಹಿತಿ"
"User Role","ಬಳಕೆದಾರರ ಹುದ್ದೆ"
"Please correct the password reset token.","ಗುಪ್ತಪದದ ಬದಲಿಕೆ ಟೋಕನ್ ಅನ್ನು ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ."
"Please specify the correct account and try again.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಖಾತೆಯನ್ನು ಸೂಚಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"Your password reset link has expired.","ನಿಮ್ಮ ಗುಪ್ತಪದ ಮರುಹೊಂದಿಕೆ ಕೊಂಡಿಯ ಅವಧಿಯ ಅಂತ್ಯವಾಗಿದೆ."
"We're unable to send the password reset email.","ನಮಗೆ ಗುಪ್ತಪದ ಮರುಹೊಂದಿಕೆ ಮಿಂಚೆ ರವಾನಿಸಲಾಗಲಿಲ್ಲ."
"We'll email you a link to reset your password.","ನಿಮ್ಮ ಗುಪ್ತಪದವನ್ನು ಬದಲಿಸಲು ನಾವು ನಿಮಗೆ ಕೊಂಡಿಯನ್ನು ಮಿಂಚೆ ಮೂಲಕ ಕಳುಹಿಸುತ್ತೇವೆ."
"Please correct this email address:","ದಯವಿಟ್ಟು ಈ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ಸರಿಪಡಿಸಿ:"
"Please enter an email address.","ದಯವಿಟ್ಟು ಒಂದು ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ."
"You updated your password.","ನಿಮ್ಮ ಗುಪ್ತಪದನ್ನು ನೀವು ಪರಿಷ್ಕರಿಸಿದ್ದೀರಿ."
"Locked Users","ನಿರ್ಬಂಧಿತ ಬಳಕೆದಾರರು"
"Unlocked %1 user(s).","%1 ಬಳಕೆದಾರರನ್ನು ಅನಿರ್ಬಂಧಿಸಲಾಗಿದೆ."
"System","ವ್ಯವಸ್ಥೆ"
"Permissions","ಅನುಮತಿಗಳು"
"You cannot delete your own account.","ನೀವು ನಿಮ್ಮ ಸ್ವಂತ ಖಾತೆಯನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","ನೀವು ಬಳಕೆದಾರರನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"We can't find a user to delete.","ಅಳಿಸಲು ನಮಗೆ ಯಾವುದೇ ಬಳಕೆದಾರರು ಕಂಡುಬಂದಿಲ್ಲ."
"This user no longer exists.","ಈ ಬಳಕೆದಾರರು ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"Edit User","ಬಳಕೆದಾರರನ್ನು ಸಂಪಾದಿಸಿ"
"You have revoked the user's tokens.","ನೀವು ಬಳಕೆದಾರರ ಟೋಕನ್‍ಗಳನ್ನು ಹಿಂಪಡೆದಿದ್ದೀರಿ."
"We can't find a user to revoke.","ಹಿಂಪಡೆಯಲು ನಮಗೆ ಯಾವುದೇ ಬಳಕೆದಾರರು ಕಂಡುಬಂದಿಲ್ಲ."
"You cannot delete self-assigned roles.","ನೀವು ಸ್ವಯಂ-ಅನ್ವಯಿಸಿರುವ ಹುದ್ದೆಗಳನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ."
"You deleted the role.","ನೀವು ಹುದ್ದೆಯನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"An error occurred while deleting this role.","ಹುದ್ದೆಯನ್ನು ಅಳಿಸುವಾಗ ಒಂದು ದೋಷ ಎದುರಾಗಿದೆ."
"Edit Role","ಹುದ್ದೆಯನ್ನು ಸಂಪಾದಿಸಿ"
"New Role","ಹೊಸ ಹುದ್ದೆ"
"This role no longer exists.","ಈ ಹುದ್ದೆಯು ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"You saved the role.","ನೀವು ಹುದ್ದೆಯನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"An error occurred while saving this role.","ಈ ಹುದ್ದೆಯನ್ನು ಉಳಿಸುವಾಗ ಒಂದು ದೋಷ ಎದುರಾಗಿದೆ."
"You saved the user.","ನೀವು ಬಳಕೆದಾರರನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"A user with the same user name or email already exists.","ಇದೇ ಬಳಕೆದಾರರ ಹೆಸರು ಅಥವಾ ಮಿಂಚೆಯೊಂದಿಗಿನ ಬಳಕೆದಾರರು ಈಗಾಗಲೇ ಅಸ್ತಿತ್ವದಲ್ಲಿದ್ದಾರೆ."
"Recommended","ಶಿಫಾರಸ್ಸು ಮಾಡಿದ"
"Forced","ಒತ್ತಾಯಪೂರ್ವಕ"
