"Back","ย้อนกลับ"
"Reset","รีเซ็ต"
"Delete Role","Delete Role"
"Are you sure you want to do this?","คุณแน่ใจว่าต้องการทำเช่นนี้"
"Save Role","Save Role"
"Roles","Roles"
"Add New Role","Add New Role"
"Role Information","Role Information"
"Role Users","Role Users"
"User ID","User ID"
"User Name","ชื่อผู้ใช้"
"First Name","ชื่อ"
"Last Name","นามสกุล"
"Email","อีเมล"
"Status","สถานะ"
"Active","ใช้งานอยู่"
"Inactive","ไม่ใช้งาน"
"Role Resources","Role Resources"
"Role Info","Role Info"
"Role Name","Role Name"
"Current User Identity Verification","ยืนยันตัวตนผู้ใช้ปัจจุบัน"
"Your Password","รหัสผ่านของคุณ"
"Add New User","Add New User"
"Users","Users"
"Save User","Save User"
"Delete User","Delete User"
"Are you sure you want to revoke the user's tokens?","Are you sure you want to revoke the user's tokens?"
"Force Sign-In","บังคับให้ลงชื่อเข้าใช้"
"Edit User '%1'","Edit User '%1'"
"New User","New User"
"Account Information","ข้อมูลบัญชี"
"User Email","อีเมลผู้ใช้"
"Password","รหัสผ่าน"
"New Password","รหัสผ่านใหม่"
"Password Confirmation","ยืนยันรหัสผ่าน"
"Interface Locale","ภาษาของอินเตอร์เฟซ"
"This account is","This account is"
"Account Status","Account Status"
"User Roles Information","User Roles Information"
"Assigned","Assigned"
"Role","Role"
"User Information","User Information"
"User Info","User Info"
"User Role","User Role"
"Please correct the password reset token.","Please correct the password reset token."
"Please specify the correct account and try again.","Please specify the correct account and try again."
"Your password reset link has expired.","Your password reset link has expired."
"We're unable to send the password reset email.","We're unable to send the password reset email."
"We'll email you a link to reset your password.","We'll email you a link to reset your password."
"Please correct this email address:","Please correct this email address:"
"Please enter an email address.","กรุณาใส่อีเมล"
"You updated your password.","You updated your password."
"Locked Users","Locked Users"
"Unlocked %1 user(s).","Unlocked %1 user(s)."
"System","ระบบ"
"Permissions","Permissions"
"You cannot delete your own account.","You cannot delete your own account."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","You deleted the user."
"We can't find a user to delete.","We can't find a user to delete."
"This user no longer exists.","This user no longer exists."
"Edit User","Edit User"
"You have revoked the user's tokens.","You have revoked the user's tokens."
"We can't find a user to revoke.","We can't find a user to revoke."
"You cannot delete self-assigned roles.","You cannot delete self-assigned roles."
"You deleted the role.","You deleted the role."
"An error occurred while deleting this role.","An error occurred while deleting this role."
"Edit Role","Edit Role"
"New Role","New Role"
"This role no longer exists.","This role no longer exists."
"You saved the role.","You saved the role."
"An error occurred while saving this role.","An error occurred while saving this role."
"You saved the user.","You saved the user."
"A user with the same user name or email already exists.","A user with the same user name or email already exists."
"Recommended","Recommended"
"Forced","Forced"
"Sorry, but this password has already been used. Please create another.","Sorry, but this password has already been used. Please create another."
"email","email"
"password","รหัสผ่าน"
"username","username"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
