"Back","પાછળ"
"Reset","ફરીથી સેટ કરો"
"Delete Role","ભૂમિકા કાઢી નાખો"
"Are you sure you want to do this?","શું તમે ખરેખર આ કરવા માંગો છો?"
"Save Role","ભૂમિકા સાચવો"
"Roles","ભૂમિકાઓ"
"Add New Role","નવી ભૂમિકા ઉમેરો"
"Role Information","ભૂમિકાની માહિતી"
"Role Users","ભૂમિકા વપરાશકર્તાઓ"
"User ID","વપરાશકર્તા ID"
"User Name","વપરાશકર્તા નામ"
"First Name","પ્રથમ નામ"
"Last Name","છેલ્લું નામ"
"Email","ઇમેઇલ"
"Status","સ્થિતિ"
"Active","સક્રિય"
"Inactive","નિષ્ક્રિય"
"Role Resources","ભૂમિકા સંસાધનો"
"Role Info","ભૂમિકાની માહિતી"
"Role Name","ભૂમિકા નામ"
"Current User Identity Verification","વર્તમાન વપરાશકર્તા ઓળખ ચકાસણી"
"Your Password","તમારો ખાનગી શબ્દ"
"Add New User","નવો વપરાશકર્તા ઉમેરો"
"Users","વપરાશકર્તાઓ"
"Save User","વપરાશકર્તા સાચવો"
"Delete User","વપરાશકર્તાને કાઢી નાખો"
"Are you sure you want to revoke the user's tokens?","શું તમે ખરેખર વપરાશકર્તાના ટોકન્સ રદ કરવા માંગો છો?"
"Force Sign-In","સાઇન ઇન પર દબાણ કરો"
"Edit User '%1'","વપરાશકર્તા '%1' સંપાદિત કરો"
"New User","નવા વપરાશકર્તા"
"Account Information","ખાતાની માહિતી"
"User Email","વપરાશકર્તા ઇમેઇલ"
"Password","પાસવર્ડ"
"New Password","નવો પાસવર્ડ"
"Password Confirmation","પાસવર્ડ ખાતરી"
"Interface Locale","ઇંટરફેસ લોકેલ"
"This account is","આ એકાઉન્ટ છે"
"Account Status","ખાતાની સ્થિતિ"
"User Roles Information","વપરાશકર્તાની ભૂમિકાની માહિતી"
"Assigned","સોંપ્યું"
"Role","ભૂમિકા"
"User Information","વપરાશકર્તા માહિતી"
"User Info","વપરાશકર્તા માહિતી"
"User Role","વપરાશકર્તાની ભૂમિકા"
"Please correct the password reset token.","કૃપા કરીને પાસવર્ડ રીસેટ ટોકનને ઠીક કરો."
"Please specify the correct account and try again.","કૃપા કરી સાચું એકાઉન્ટ સ્પષ્ટ કરો અને ફરીથી પ્રયાસ કરો."
"Your password reset link has expired.","તમારી પાસવર્ડ ફરીથી સેટ કરવાની લિંક સમાપ્ત થઈ ગઈ છે."
"We're unable to send the password reset email.","અમે પાસવર્ડ રીસેટ ઇમેઇલ મોકલવામાં અસમર્થ છીએ."
"We'll email you a link to reset your password.","અમે તમને તમારો પાસવર્ડ ફરીથી સેટ કરવા માટે એક લિંક ઇમેઇલ કરીશું."
"Please correct this email address:","કૃપા કરીને આ ઇમેઇલ સરનામું સુધારો:"
"Please enter an email address.","કૃપા કરીને એક ઇમેઇલ સરનામું દાખલ કરો."
"You updated your password.","તમે તમારો પાસવર્ડ અપડેટ કર્યો"
"Locked Users","લkedક કરેલા વપરાશકર્તાઓ"
"Unlocked %1 user(s).","અનલockedક કરેલ %1 વપરાશકર્તા (ઓ)."
"System","સિસ્ટમ"
"Permissions","પરવાનગી"
"You cannot delete your own account.","તમે તમારું પોતાનું એકાઉન્ટ કાઢી શકતા નથી."
