"Back","返回"
"Reset","重置"
"Delete Role","未锁定"
"Are you sure you want to do this?","您确认要这么做么？"
"Save Role","保存角色"
"Roles","角色"
"Add New Role","添加新角色"
"Role Information","角色信息"
"Role Users","角色用户"
"User ID","用户 ID"
"User Name","用户名称"
"First Name","名"
"Last Name","姓"
"Email","邮箱"
"Status","状态"
"Active","活动"
"Inactive","未激活"
"Role Resources","角色资源"
"Role Info","角色信息"
"Role Name","角色名称："
"Current User Identity Verification","当前用户身份验证"
"Your Password","您的密码"
"Add New User","添加新用户"
"Users","用户管理"
"Save User","保存用户"
"Delete User","删除用户"
"Are you sure you want to revoke the user's tokens?","你确定你想要撤销用户的令牌？"
"Force Sign-In","强制登录"
"Edit User '%1'","编辑用户 '%1'"
"New User","新增用户"
"Account Information","账户信息"
"User Email","用户电子邮件"
"Password","密码"
"New Password","新密码"
"Password Confirmation","密码确认"
"Interface Locale","本地化用户界面"
"This account is","此帐户是"
"Account Status","帐户状态"
"User Roles Information","用户角色信息"
"Assigned","分配"
"Role","职能"
"User Information","用户信息"
"User Info","用户信息"
"User Role","用户角色"
"Please correct the password reset token.","请输入有效的密码重置标记。"
"Please specify the correct account and try again.","请指定正确的帐户，然后重试。"
"Your password reset link has expired.","您的密码重置链接已过期。"
"We're unable to send the password reset email.","我们无法发送重新设置密码的电子邮件。"
"We'll email you a link to reset your password.","我们马上给您发一个链接来重置您的密码。"
"Please correct this email address:","请更正此电子邮件地址:"
"Please enter an email address.","请输入电子邮件地址。"
"You updated your password.","您更新您的密码。"
"Locked Users","锁定的用户"
"Unlocked %1 user(s).","解锁的 %1 的用户。"
"System","系统"
"Permissions","权限"
"You cannot delete your own account.","您不能删除您自己的帐户。"
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","你删除的用户。"
"We can't find a user to delete.","我们找不到要删除的用户。"
"This user no longer exists.","此用户不存在。"
"Edit User","编辑用户"
"You have revoked the user's tokens.","你已吊销该用户的令牌。"
"We can't find a user to revoke.","我们找不到用户撤销。"
"You cannot delete self-assigned roles.","您不能删除自分配的角色。"
"You deleted the role.","你删除的角色。"
"An error occurred while deleting this role.","删除此角色时出错。"
"Edit Role","编辑角色"
"New Role","新建角色"
"This role no longer exists.","该角色已不存在。"
"You saved the role.","你保存的角色。"
"An error occurred while saving this role.","保存这个角色时出错。"
"You saved the user.","你保存的用户。"
"A user with the same user name or email already exists.","具有相同的用户名或电子邮件的用户已存在。"
"Recommended","推荐的"
"Forced","强迫"
"Sorry, but this password has already been used. Please create another.","抱歉，但已使用此密码。请创建另一个。"
"email","电子邮件"
"password","密码"
"username","用户名"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
