"Back","Trở lại"
"Reset","Thiết lập lại"
"Delete Role","Xoá vai trò"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"Save Role","Lưu vai trò"
"Roles","Vai trò"
"Add New Role","Thêm vai trò mới"
"Role Information","Thông tin vai trò"
"Role Users","Vai trò người dùng"
"User ID","ID người dùng"
"User Name","Tên người dùng"
"First Name","Tên"
"Last Name","Họ"
"Email","Email"
"Status","Trạng thái"
"Active","Kích hoạt"
"Inactive","Không hoạt động"
"Role Resources","Tài nguyên vai trò"
"Role Info","Thông tin vai trò"
"Role Name","Tên vai trò"
"Current User Identity Verification","Xác minh danh tính người dùng hiện tại"
"Your Password","Mật khẩu của bạn"
"Add New User","Thêm người dùng mới"
"Users","Người dùng"
"Save User","Lưu người dùng"
"Delete User","Xóa người dùng"
"Are you sure you want to revoke the user's tokens?","Bạn có chắc bạn muốn thu hồi token của khách hàng?"
"Force Sign-In","Bắt buộc đăng nhập"
"Edit User '%1'","Chỉnh sửa người dùng '%1'"
"New User","Người dùng mới"
"Account Information","Thông tin tài khoản"
"User Email","Email người dùng"
"Password","Mật khẩu"
"New Password","Mật khẩu mới"
"Password Confirmation","Xác nhận mật khẩu"
"Interface Locale","Giao diện ngôn ngữ và khu vực"
"This account is","Tài khoản này"
"Account Status","Trạng thái tài khoản"
"User Roles Information","Thông tin vai trò người dùng"
"Assigned","Chỉ định"
"Role","Quyền hạn"
"User Information","Thông tin người dùng"
"User Info","Thông tin người dùng"
"User Role","Vai trò người dùng"
"Please correct the password reset token.","Xin vui lòng sửa lại chính xác mã thay đổi mật khẩu."
"Please specify the correct account and try again.","Xin vui lòng chỉ rõ các tài khoản chính xác và thử lại."
"Your password reset link has expired.","Liên kết đặt lại mật khẩu của bạn đã hết hạn."
"We're unable to send the password reset email.","Chúng tôi không thể gửi email đặt lại mật khẩu."
"We'll email you a link to reset your password.","Chúng tôi sẽ gửi email đặt lại mật khẩu của bạn."
"Please correct this email address:","Xin vui lòng nhập chính xác địa chỉ email:"
"Please enter an email address.","Vui lòng nhập địa chỉ email."
"You updated your password.","Bạn đã cập nhật mật khẩu của bạn."
"Locked Users","Người dùng đã bị khóa"
"Unlocked %1 user(s).","Mở khóa %1 () người dùng."
"System","Hệ thống"
"Permissions","Quyền"
"You cannot delete your own account.","Bạn không thể xóa tài khoản của bạn."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","Bạn đã xoá người sử dụng."
"We can't find a user to delete.","Chúng tôi không thể tìm thấy người dùng để xoá."
"This user no longer exists.","Người dùng này không còn tồn tại."
"Edit User","Sửa người dùng"
"You have revoked the user's tokens.","Bạn đã thu hồi token của người sử dụng thẻ."
"We can't find a user to revoke.","Chúng tôi không tìm thấy người dùng để thu hồi."
"You cannot delete self-assigned roles.","Bạn không thể xoá các vai trò tự gán."
"You deleted the role.","Bạn đã xoá các vai trò."
"An error occurred while deleting this role.","Lỗi xảy ra khi xóa các vai trò này."
"Edit Role","Chỉnh sửa vai trò"
"New Role","Vai trò mới"
"This role no longer exists.","Vai trò này không còn tồn tại."
"You saved the role.","Bạn đã lưu vai trò."
"An error occurred while saving this role.","Lỗi xảy ra trong khi lưu vai trò."
"You saved the user.","Bạn đã lưu lại người dùng."
"A user with the same user name or email already exists.","Một người dùng với cùng tên hoặc email đã tồn tại."
"Recommended","Khuyến cáo"
"Forced","Buộc"
"Sorry, but this password has already been used. Please create another.","Xin lỗi, nhưng mật khẩu này đã được sử dụng. Hãy tạo cái khác."
"email","email"
"password","mật khẩu"
"username","tên người dùng"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","Vui lòng nhập email hợp lệ."
"Password is required field.","Mật khẩu là trường bắt buộc."
"Your password must be at least %1 characters.","Mật khẩu của bạn phải ít nhất %1 ký tự."
"Your password must include both numeric and alphabetic characters.","Mật khẩu của bạn phải bao gồm ký tự số và chữ."
"Your password confirmation must match your password.","Xác nhận mật khẩu của bạn phải khớp với mật khẩu của bạn."
"It's time to change your password.","Hãy đổi password của bạn."
"It's time to <a href=""%1"">change your password</a>.","Đó là thời gian để <a href=""%1""> thay đổi mật khẩu của bạn</a>."
