"Back","Tilbake"
"Reset","Nullstill"
"Delete Role","Slett rolle"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Save Role","Lagre rolle"
"Roles","Roller"
"Add New Role","Legg til ny regel"
"Role Information","Rolleinformasjon"
"Role Users","Rollebrukere"
"User ID","Bruker-ID"
"User Name","Brukernavn"
"First Name","Fornavn"
"Last Name","Etternavn"
"Email","E-post"
"Status","Status"
"Active","Aktiv"
"Inactive","Inaktiv"
"Role Resources","Rolle for ressurser"
"Role Info","Rolleinfo"
"Role Name","Rollenavn"
"Current User Identity Verification","Gjeldende bruker identitetsbekreftelse"
"Your Password","Ditt passord"
"Add New User","Legg til ny bruker"
"Users","Brukere"
"Save User","Lagre bruker"
"Delete User","Slett bruker"
"Are you sure you want to revoke the user's tokens?","Er du sikker på at du vil oppheve brukerens token?"
"Force Sign-In","Tving pålogging"
"Edit User '%1'","Rediger bruker '%1'"
"New User","Ny bruker"
"Account Information","Kontoinformasjon"
"User Email","Bruker epost"
"Password","Passord"
"New Password","Nytt passord"
"Password Confirmation","Passordbekreftelse"
"Interface Locale","Spåk for grensesnitt"
"This account is","Denne kontoen er"
"Account Status","Kontostatus"
"User Roles Information","Brukerrolle-informasjon"
"Assigned","Tildelt"
"Role","Rolle"
"User Information","Brukerinformasjon"
"User Info","Brukerinfo"
"User Role","Brukerrolle"
"Please correct the password reset token.","Vennligst korriger passord tilbakestillings ikonet."
"Please specify the correct account and try again.","Angi den riktige kontoen og prøv på nytt."
"Your password reset link has expired.","Link for å gjenopprette passord er utgått."
"We're unable to send the password reset email.","Vi fikk ikke sendt deg e-post for tilbakestilling av passord."
"We'll email you a link to reset your password.","Vi vil sende deg en link pr epost for å tilbakestille passordet."
"Please correct this email address:","Korriger denne e-postadressen:"
"Please enter an email address.","Skriv inn en e-postadresse."
"You updated your password.","Du har oppdatert passordet."
"Locked Users","Låste brukere"
"Unlocked %1 user(s).","Låst opp %1 bruker(e)."
"System","System"
"Permissions","Rettigheter"
"You cannot delete your own account.","Du kan ikke slette din egen konto."
"You have entered an invalid password for current user.","Du har angitt et ugyldig passord for gjeldende bruker."
"You deleted the user.","Du slettet brukeren."
"We can't find a user to delete.","Vi finner ikke en bruker for å slette."
"This user no longer exists.","Denne brukeren finnes ikke lenger."
"Edit User","Rediger bruker"
"You have revoked the user's tokens.","Du har opphevet brukerens token."
"We can't find a user to revoke.","Vi finner ikke en bruker å tilbakekalle."
"You cannot delete self-assigned roles.","Du kan ikke slette selv tildelte roller."
"You deleted the role.","Du slettet rollen."
"An error occurred while deleting this role.","Det oppstod en feil under sletting av denne rollen."
"Edit Role","Endre rolle"
"New Role","Ny rolle"
"This role no longer exists.","Denne rollen finnes ikke lenger."
"You saved the role.","Du lagret rollen."
"An error occurred while saving this role.","Det oppstod en feil under lagring av denne rollen."
"You saved the user.","Du lagret brukeren."
"A user with the same user name or email already exists.","Det finnes allerede en bruker med samme navn eller e-post."
"Recommended","Anbefalt"
"Forced","Tvunget"
