"Back","بازگشت"
"Reset","بازنشانی"
"Delete Role","حذف وظیفه"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Save Role","ذخیره نقش"
"Roles","وظايف"
"Add New Role","افزودن نقش جدید"
"Role Information","اطلاعات نقش"
"Role Users","کاربران وظیفه"
"User ID","شناسه كاربر"
"User Name","نام كاربر"
"First Name","نام"
"Last Name","نام خانوادگی"
"Email","ايميل"
"Status","وضعيت"
"Active","فعال"
"Inactive","غیرفعال"
"Role Resources","منابع وظیفه"
"Role Info","اطلاعات وظیفه"
"Role Name","نام نقش"
"Current User Identity Verification","تأیید هویت کاربر فعلی"
"Your Password","رمز عبور شما"
"Add New User","افزودن کاربر جدید"
"Users","کاربران"
"Save User","ذخیره‌ی کاربر"
"Delete User","حذف کاربر"
"Are you sure you want to revoke the user's tokens?","آیا مطمئن هستید که می خواهید نشانه های کاربری را لغو کنید?"
"Force Sign-In","ورود اجباری"
"Edit User '%1'","ویرایش کاربر '%1'"
"New User","کاربر جدید"
"Account Information","اطلاعات حساب کاربری"
"User Email","ایمیل کاربر"
"Password","کلمه عبور"
"New Password","کلمه عبور جدید"
"Password Confirmation","تأیید رمز عبور"
"Interface Locale","رابط محلی"
"This account is","این حساب هست"
"Account Status","وضعیت حساب"
"User Roles Information","اطلاعات وظایف کاربر"
"Assigned","اختصاص یافته"
"Role","نقش"
"User Information","اطلاعات کاربر"
"User Info","اطلاعات کاربر"
"User Role","نقش کاربر"
"Please correct the password reset token.","لطفا بازنشانی نشانه رمز عبور را اصلاح کنید."
"Please specify the correct account and try again.","لطفا حساب صحیح را مشخص کنید و دوباره امتحان کنید."
"Your password reset link has expired.","لینک بازیابی پسورد منقضی شده است"
"We're unable to send the password reset email.","ما نمیتوانیم ایمیل بازنشانی رمز عبور را ارسال کنیم."
"We'll email you a link to reset your password.","ما یک پیوند برای بازنشانی گذرواژه به شما ارسال میکنیم."
"Please correct this email address:","لطفا این آدرس ایمیل را اصلاح کنید:"
"Please enter an email address.","لطفا یک آدرس ایمیل وارد کنید."
"You updated your password.","کلمه عبور خود را به روز کردید."
"Locked Users","کاربران قفل شده"
"Unlocked %1 user(s).","قفل کردن %1 کاربر (ها)."
"System","سيستم"
"Permissions","دسترسي ها"
"You cannot delete your own account.","شما نمی‌توانید حساب خودتان را حذف کنید."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","کاربر را حذف کردید."
"We can't find a user to delete.","ما نمیتوانیم یک کاربر را برای حذف پیدا کنیم."
"This user no longer exists.","این کاربر دیگر وجود ندارد."
"Edit User","ویرایش کاربر"
"You have revoked the user's tokens.","شما نشانه های کاربری را لغو کرده اید."
"We can't find a user to revoke.","ما نمیتوانیم یک کاربر را برای لغو پیدا کنیم."
"You cannot delete self-assigned roles.","شما نمیتوانید نقشهای اختصاصی خود را حذف کنید."
"You deleted the role.","شما نقش را حذف کردید."
"An error occurred while deleting this role.","یک خطا در حین حذف این وظیفه رخ داد."
"Edit Role","ویرایش نقش"
"New Role","وظيفه جديد"
"This role no longer exists.","این نقش دیگر وجود ندارد."
"You saved the role.","شما این نقش را ذخیره کردید."
"An error occurred while saving this role.","خطایی در هنگام ذخیره این نقش رخ داده است."
"You saved the user.","شما کاربر را ذخیره کردید."
"A user with the same user name or email already exists.","کاربر با همان نام کاربری یا ایمیل قبلا وجود دارد."
"Recommended","پیشنهاد"
"Forced","اجباری"
"Sorry, but this password has already been used. Please create another.","با عرض پوزش، اما این رمز عبور قبلا استفاده شده است. لطفا دیگری را ایجاد کنید."
"email","ایمیل"
"password","رمز عبور"
"username","نام کاربری"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","لطفا یک ایمیل معتبر وارد نمایید."
"Password is required field.","رمز عبور مورد نیاز است."
"Your password must be at least %1 characters.","گذرواژه شما باید حداقل %1 کاراکتر باشد."
"Your password must include both numeric and alphabetic characters.","رمز عبور شما باید شامل عدد و حروف الفبا باشد."
"Your password confirmation must match your password.","تأیید رمز عبور شما باید با گذرواژه شما مطابقت داشته باشد."
"It's time to change your password.","وقت آن است که رمز عبور خود را تغییر دهید."
"It's time to <a href=""%1"">change your password</a>.","وقت آن است که <a href=""%1""> گذرواژه خود را تغییر دهید </a>."
"Your password has expired; please contact your administrator.","اعتبار رمز شما به پایان رسیده؛ لطفا با مدیر خود تماس بگیرید."
"Password Help","راهنما رمز عبور"
"Enter your email address.  You will receive an email with a link to reset your password.","آدرس ایمیل خود را وارد کنید. برای بازنشانی رمز عبور خود یک ایمیل با یک پیغام دریافت خواهید کرد."
"Email address","آدرس ایمیل"
"Retrieve Password","بازیابی گذرواژه"
"Back to Sign in","بازگشت به ورود به سیستم"
"Forgot your password?","کلمه عبور خود را فراموش کرده اید؟"
"Reset a Password","تنظیم مجدد رمز عبور"
"Confirm New Password","تأیید کلمه عبور جدید"
"Reset Password","تنظیم مجدد کلمه عبور"
"Roles Resources","منابع وظایف"
"Resource Access","دسترسی منبع"
"Custom","سفارشی"
"All","همه"
"Resources","منابع"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","تأیید کلمه عبور برای %name"
"%name,","%name"
"There was recently a request to change the password for your account.","اخیرا یک درخواست تغییر کلمه عبور برای حساب کاربری شما دریافت شده است."
"If you requested this change, reset your password here:","اگر این درخواست تغییر را کردید، گذرواژه خود را در اینجا بازنشانی کنید:"
"If you did not make this request, you can ignore this email and your password will remain the same.","اگر این درخواست شما نبوده است، می توانید این ایمیل را نادیده بگیرید و کلمه عبور شما تغییر نخواهد کرد."
"Thank you,","از شما سپاس گذاریم"
"New %changes for %user_name","%changesجدید برای %user_name"
"Hello,","سلام"
"We have received a request to change the following information associated with your account at %store_name: %changes.","ما درخواستی برای تغییر اطلاعات زیر با حساب شما در %store_name: %changes. تغییر داده ایم."
"If you have not authorized this action, please contact us immediately at %store_email","اگر این اقدام را مجاز نکردید، لطفا با ما در %store_email بلافاصله تماس بگیرید"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","متشکرم"
"All Users","همه کاربران"
"User Roles","وظایف کاربر"
"User Notification Template","الگو اطلاع رسانی کاربر"
"Email template chosen based on theme fallback when ""Default"" option is selected.","قالب ایمیل انتخاب شده بر اساس پشت زمینه تم هنگامی که گزینه "" پیش فرض"" انتخاب شده است."
"Maximum Login Failures to Lockout Account","حداکثر تعداد ورودهای ناموفق به حساب کاربری که منجر به قفل شدن حساب می شود"
"We will disable this feature if the value is empty.","اگر این مقدار خالی باشد، این ویژگی را غیرفعال می کنیم."
"Lockout Time (minutes)","زمان قفل شدن (براساس دقیقه)"
"Password Lifetime (days)","طول عمر گذرواژه (روز)"
"Password Change","تغییر رمز عبور"
"Unlock","باز کردن"
"ID","شناسه"
"Username","نام کاربری"
"Last login","آخرین ورود"
"Failures","شکست"
"Unlocked","باز شده"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","Administrator"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
