"Back","Powrót"
"Reset","Resetuj"
"Delete Role","Skasuj rolę"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Save Role","Zapisz rolę"
"Roles","Role"
"Add New Role","Dodaj rolę"
"Role Information","Informacje o roli"
"Role Users","Użytkownicy roli"
"User ID","ID użytkownika"
"User Name","Nazwa użytkownika"
"First Name","Imię"
"Last Name","Nazwisko"
"Email","E-mail"
"Status","Stan"
"Active","Aktywny"
"Inactive","Nieaktywny"
"Role Resources","Zasoby roli"
"Role Info","Informacje o roli"
"Role Name","Nazwa roli"
"Current User Identity Verification","Weryfikacja tożsamości użytkownika"
"Your Password","Twoje hasło"
"Add New User","Dodaj użytkownika"
"Users","Użytkownicy"
"Save User","Zapisz użytkownika"
"Delete User","Usuń użytkownika"
"Are you sure you want to revoke the user's tokens?","Czy na pewno chcesz cofnąć token użytkownika?"
"Force Sign-In","Wymuś logowanie"
"Edit User '%1'","Edytuj użytkownika '%1'"
"New User","Nowy użytkownik"
"Account Information","Dane konta"
"User Email","E-mail użytkownika"
"Password","Hasło"
"New Password","Nowe hasło"
"Password Confirmation","Potwierdzenie hasła"
"Interface Locale","Język interfejsu"
"This account is","To konto jest"
"Account Status","Status konta"
"User Roles Information","Informacja o rolach użytkownika"
"Assigned","Przypisany"
"Role","Rola"
"User Information","Informacja o użytkowniku"
"User Info","Info użytkownika"
"User Role","Rola użytkownika"
"Please correct the password reset token.","Proszę o poprawne hasło resetowania tokenu."
"Please specify the correct account and try again.","Określ poprawne konto i spróbuj ponownie."
"Your password reset link has expired.","Link resetowania hasła utracił ważność."
"We're unable to send the password reset email.","Jesteśmy w stanie wysłać e-maila resetowania hasła."
"We'll email you a link to reset your password.","Możemy Ci wysłać e-mail z linkiem do resetowania hasła."
"Please correct this email address:","Proszę poprawić adres e-mail:"
"Please enter an email address.","Podaj adres e-mail."
"You updated your password.","Zaktualizowałeś swoje hasło."
"Locked Users","Zablokowani użytkownicy"
"Unlocked %1 user(s).","Odblokowanie %1 użytkownik(ów)."
"System","System"
"Permissions","Uprawnienia"
"You cannot delete your own account.","Nie możesz usunąć swojego własnego konta."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"You deleted the user.","Usunięto użytkownika."
"We can't find a user to delete.","Nie możemy znaleźć użytkownika do usunięcia."
"This user no longer exists.","Taki użytkownik już nie istnieje"
"Edit User","Edytuj użytkownika"
"You have revoked the user's tokens.","Odwołano tokeny użytkowników."
"We can't find a user to revoke.","Nie możemy znaleźć użytkownika aby do niego się odwołać."
"You cannot delete self-assigned roles.","Nie można usunąć ról przypisywanych samorzutnie."
"We can't find a role to delete.","We can't find a role to delete."
"You deleted the role.","Możesz usunąć regułę."
"An error occurred while deleting this role.","Wystąpił błąd podczas usuwania tej roli."
"Edit Role","Edytuj rolę"
"New Role","Nowa rola"
"This role no longer exists.","Ta reguła już nie istnieje."
"You saved the role.","Rola zapisana."
"An error occurred while saving this role.","Wystąpił błąd podczas zapisywania tej roli."
"You saved the user.","Użytkownik zapisany."
"Administrator","Administrator"
"A user with the same user name or email already exists.","Użytkownik o takiej nazwie użytkownika lub adresie e-mail już istnieje."
"Recommended","Zalecane"
"Forced","Zmuszony"
"Sorry, but this password has already been used. Please create another.","Przepraszamy, ale te hasło jest już używane przez Ciebie. Proszę utwórz inne."
"email","adres e-mail"
"password","hasło"
"username","nazwa użytkownika"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
"Please enter a valid email.","Prosimy wpisać poprawny adres e-mail."
"Password is required field.","Hasło jest polem wymaganym."
"Your password must be at least %1 characters.","Hasło musi mieć co najmniej %1 znaków."
"Your password must include both numeric and alphabetic characters.","Hasło musi zawierać zarówno znaki numeryczne jak i alfabetu."
"Your password confirmation must match your password.","Potwierdzenie twojego hasła musi być zgodne z twoim hasłem."
"It's time to change your password.","Nadszedł czas, abyś zmienił swoje hasło."
"It's time to <a href=""%1"">change your password</a>.","Nadszedł czas, aby <a href=""%1""> zmienił swoje hasło</a>."
"Your password has expired; please contact your administrator.","Twoje hasło wygasło; Skontaktuj się z administratorem."
"Password Help","Pomoc z hasłem"
"Enter your email address.  You will receive an email with a link to reset your password.","Wpisz swój adres e-mail. Otrzymasz następnie e-mail z linkiem do zresetowania hasła."
"Email address","Adres e-mail"
"Retrieve Password","Odzyskaj hasło"
"Back to Sign in","Powrót do logowania"
"Forgot your password?","Nie pamiętasz hasła?"
"Reset a Password","Zresetuj hasło"
"Confirm New Password","Potwierdź nowe hasło"
"Reset Password","Zresetuj hasło"
"Roles Resources","Zasoby ról"
"Resource Access","Dostęp do zasobów"
"Custom","Niestandardowe"
"All","Wszystko"
"Resources","Zasoby"
"Warning!<br>This action will remove this user from already assigned role.<br>Are you sure?","Warning!<br>This action will remove this user from already assigned role.<br>Are you sure?"
"Warning!<br>This action will remove those users from already assigned roles.<br>Are you sure?","Warning!<br>This action will remove those users from already assigned roles.<br>Are you sure?"
"New admin user '%user_name' created","New admin user '%user_name' created"
"Hello,","Witamy,"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"If you have not authorized this action, please contact us immediately at %store_email","Jeśli nie autoryzowałeś tej akcji, prosimy o natychmiastowy kontakt na adres %store_email"
"Thanks,","Dziękujemy,"
"Password Reset Confirmation for %name","Potwierdzenie resetu hasła dla %name"
"%name,","%name,"
"There was recently a request to change the password for your account.","Otrzymaliśmy żądanie zmiany hasła dla Twojego konta."
"If you requested this change, reset your password here:","Jeśli zażądałeś zmiany, zresetuj swoje hasło tutaj:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Jeśli nie chcesz zmieniać hasła, możesz zignorować ten komunikat i hasło pozostanie takie samo."
"Thank you,","Dziękuję,"
"New %changes for %user_name","New %changes for %user_name"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Otrzymaliśmy prośbę o zmianę następujących informacji na Twoim koncie %store_name: %changes."
"All Users","Lista użytkowników"
"User Roles","Role użytkownika"
"User Notification Template","Szablon Powiadamianie użytkownika"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Wybrany szablon e-mail oparty na temacie fallback po wybraniu opcji ""Default""."
"New User Notification Template","New User Notification Template"
"Maximum Login Failures to Lockout Account","Maxymalna liczba nieudanych prób logowania do blokady konta"
"We will disable this feature if the value is empty.","Możemy wyłączyć tę funkcję, jeśli wartość jest pusta."
"Lockout Time (minutes)","Czas blokady (w minutach)"
"Password Lifetime (days)","Czas życia hasła (dni)"
"Password Change","Zmiana hasła"
"Unlock","Odblokuj"
"ID","Identyfikator"
"Username","Nazwa użytkownika"
"Last login","Ostatnie logowanie"
"Failures","Błędy"
"Unlocked","Odblokowane"
