"Back","戻る"
"Reset","リセット"
"Delete Role","権限の削除"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Save Role","権限の保存"
"Roles","権限"
"Add New Role","新しい権限の追加"
"Role Information","権限情報"
"Role Users","権限ユーザー"
"User ID","ユーザーID"
"User Name","ユーザ名"
"First Name","名"
"Last Name","姓"
"Email","Eメール"
"Status","ステータス"
"Active","アクティブ"
"Inactive","未アクティブ"
"Role Resources","権限リソース"
"Role Info","権限情報"
"Role Name","権限名"
"Current User Identity Verification","現在のユーザー証明認証"
"Your Password","あなたのパスワード"
"Add New User","新しいユーザーを追加"
"Users","ユーザー"
"Save User","ユーザーの保存"
"Delete User","ユーザーの削除"
"Are you sure you want to revoke the user's tokens?","ユーザーのトークンを本当に破棄しますか？"
"Force Sign-In","強制サインイン"
"Edit User '%1'","ユーザー '%1' 編集"
"New User","新規ユーザー"
"Account Information","アカウント情報"
"User Email","ユーザーメールアドレス"
"Password","パスワード"
"New Password","新パスワード"
"Password Confirmation","確認用パスワード"
"Interface Locale","インターフェイスロケール"
"This account is","このアカウントは"
"Account Status","アカウントステータス"
"User Roles Information","ユーザー権限情報"
"Assigned","アサイン済"
"Role","権限"
"User Information","ユーザー情報"
"User Info","ユーザー情報"
"User Role","ユーザー権限"
"Please correct the password reset token.","パスワードリセットトークンを修正してください。"
"Please specify the correct account and try again.","正しいアカウントを指定して再度お試し下さい。"
"Your password reset link has expired.","パスワード再発行リンクが有効期限切れです。"
"We're unable to send the password reset email.","パスワードリセットEメールが送信できません。"
"We'll email you a link to reset your password.","パスワードをリセットするためのリンクをメールします。"
"Please correct this email address:","このEメールアドレスを修正してください:"
"Please enter an email address.","eメールアドレスを入力してください"
"You updated your password.","パスワードを更新しました。"
"Locked Users","ロック中のユーザー"
"Unlocked %1 user(s).","%1 ユーザーを解除。"
"System","システム"
"Permissions","権限"
"You cannot delete your own account.","自分のアカウントを削除することはできません。"
"You have entered an invalid password for current user.","現在のユーザーに無効なパスワードが入力されました。"
"You deleted the user.","ユーザーを削除しました。"
"We can't find a user to delete.","削除するユーザーが見つかりません"
"This user no longer exists.","このユーザーは存在していません。"
"Edit User","ユーザーの編集"
"You have revoked the user's tokens.","ユーザーのトークンを破棄しました。"
"We can't find a user to revoke.","破棄するユーザーが見つかりません。"
"You cannot delete self-assigned roles.","自身でアサインした権限は削除できません。"
"You deleted the role.","権限を削除しました。"
"An error occurred while deleting this role.","このロールを削除中にエラーが発生しました。"
"Edit Role","権限の編集"
"New Role","新しい権限"
"This role no longer exists.","この権現は既に存在しません。"
"You saved the role.","権限が保存されました。"
"An error occurred while saving this role.","このロールを保存中にエラーが発生しました。"
"You saved the user.","ユーザーを保存しました。"
"A user with the same user name or email already exists.","同じユーザーネームかEメールアドレスをお持ちのユーザーが既に存在します。"
"Recommended","推奨"
"Forced","強制"
"Sorry, but this password has already been used. Please create another.","申し訳ありませんが、このパスワードは既に使用されています。他のパスワードを作成して下さい。"
"email","Eメール"
"password","パスワード"
"username","ユーザー名"
"You did not sign in correctly or your account is temporarily disabled.","正しくサインインしなかったかあなたのアカウントは一時的に無効です"
"You need more permissions to access this.","アクセスするには更に権限が必要です。"
"Your account is temporarily disabled.","あなたのアカウントは一時的に無効になっています。"
"User Name is a required field.","ユーザーネームは必須項目です。"
"First Name is a required field.","名前は必須項目です。"
"Last Name is a required field.","姓は必須項目です。"
"Please enter a valid email.","正しいメールアドレスを入力してください。"
"Password is required field.","パスワードは必須項目です。"
"Your password must be at least %1 characters.","パスワードは少なくとも%1キャラクターでなくてはなりません。"
"Your password must include both numeric and alphabetic characters.","パスワードは数字とアルファベットのキャラクターを含んでなければなりません。"
"Your password confirmation must match your password.","パスワード確認は合致しなければなりません。"
"It's time to change your password.","パスワードを変更する時期です。"
"It's time to <a href=""%1"">change your password</a>."," <a href=""%1"">パスワードを変更</a>する時期です。"
"Your password has expired; please contact your administrator.","パスワードが期限切れ; 管理者に連絡してください。"
