"Back","Retour"
"Reset","Réinitialiser"
"Delete Role","Supprimer le rôle"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Save Role","Sauvegarder le rôle"
"Roles","Rôles"
"Add New Role","Ajouter un nouveau rôle"
"Role Information","Informations du rôle"
"Role Users","Utilisateurs ayant ce rôle"
"User ID","ID utilisateur"
"User Name","Nom d'utilisateur"
"First Name","Prénom"
"Last Name","Nom"
"Email","Courriel"
"Status","Statut"
"Active","Actif"
"Inactive","Inactif"
"Role Resources","Ressources du rôle"
"Role Info","Infos du rôle"
"Role Name","Nom du rôle"
"Current User Identity Verification","Vérification de l'identité utilisateur actuel"
"Your Password","Votre mot de passe"
"Add New User","Ajouter un nouvel utilisateur"
"Users","Utilisateurs"
"Save User","Sauvegarder l'utilisateur"
"Delete User","Supprimer l'utilisateur"
"Are you sure you want to revoke the user's tokens?","Êtes-vous sûr de vouloir révoquer les jetons de l'utilisateur ?"
"Force Sign-In","Forcer la création de compte"
"Edit User '%1'","Éditer l'utilisateur '%1'"
"New User","Nouvel utilisateur"
"Account Information","Informations du compte"
"User Email","Courriel de l'utilisateur"
"Password","Mot de passe"
"New Password","Nouveau mot de passe"
"Password Confirmation","Confirmation du mot de passe"
"Interface Locale","Traduction d'interface"
"This account is","Ce compte est"
"Account Status","Statut du compte"
"User Roles Information","Informations rôle utilisateur"
"Assigned","Affecté"
"Role","Rôle"
"User Information","Informations de l'utilisateur"
"User Info","Infos de l'utilisateur"
"User Role","Rôle de l'utilisateur"
"Please correct the password reset token.","Veuillez corriger le jeton de réinitialisation de mot de passe."
"Please specify the correct account and try again.","Veuillez spécifier le compte correct, puis réessayez."
"Your password reset link has expired.","Le lien de réinitialisation de mot de passe a expiré."
"We're unable to send the password reset email.","Nous sommes incapables d’envoyer que le mot de passe réinitialisé par courriel."
"We'll email you a link to reset your password.","Nous vous enverrons un lien pour réinitialiser votre mot de passe."
"Please correct this email address:","Veuillez corriger cette adresse courrriel :"
"Please enter an email address.","Veuillez saisir une adresse courriel."
"You updated your password.","Vous avez mis à jour votre mot de passe."
"Locked Users","Utilisateurs verrouillés"
"Unlocked %1 user(s).","Déverrouillé %1 utilisateur (s)."
