"Entity type model '%1' is not found","Le modèle du type d'entité '%1' est introuvable."
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Le Modèle de type entité doit être une instance de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export.","Il n’existe aucun type de produit pour l’exportation."
"'Entity type model must be an instance of ' .","'Le Modèle de type entité doit être une instance de' ."
"Wrong attribute set code ""%1"", please correct it and try again.","Mauvais code d'ensemble d'Attributs ""%1"", merci de le corriger et de réessayer."
"Category ""%1"" has not been created.","Catégorie « %1 » n’a pas été créé."
"File directory '%1' is not readable.","Le répertoire '%1' n'est pas autorisé en écriture."
"File directory '%1' is not writable.","Le répertoire '%1' n'est pas accessible en écriture."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","La valeur pour le sous-attribut 'price' dans l'attribut 'store' contient une valeur incorrecte"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'","Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'"
"Please enter a value for title.","Veuillez entrer une valeur pour le titre."
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","La valeur pour le sous-attribut 'price' dans l'attribut 'custom_options' contient une valeur incorrecte"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","La valeur pour le sous-attribut 'maximum characters' dans l'attribut 'custom_options' contient une valeur incorrecte"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","La valeur pour le sous-attribut 'sort order' dans l'attribut 'custom_options' contient une valeur incorrecte"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","La valeur pour le sous-attribut 'value price' dans l'attribut 'custom_options' contient une valeur incorrecte"
"This name is already being used for custom option. Please enter a different name.","Ce nom est déjà utilisé pour l’option personnalisée. Veuillez saisir un nom différent."
"Custom options have different types.","Options personnalisées ont différents types."
"Every option entity must have a parent product entity.","Chaque entité de l’option doit avoir une entité de produit parent."
"Please correct the parameters.","S’il vous plaît corriger les paramètres."
"File '%1' was not found or has read restriction.","Le fichier '%1' n'a pas été trouvé ou n'est pas accessible en lecture."
"Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType"
"Entity type model must be an instance of '%1'","Entity type model must be an instance of '%1'"
"Disallowed file type.","Type de fichier interdit."
"Value for multiselect attribute %s contains duplicated values","Value for multiselect attribute %s contains duplicated values"
"Invalid Stock data for insert","Données de stock non valides pour l'insertion"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: %1","La valeur pour le sous-attribut 'type' dans l'attribut 'custom_options' contient une valeur incorrecte, les valeurs acceptables sont : %1"
