"Credit card type","ක්රෙඩිට් කාඩ් වර්ගය"
"CVV result","CVV ප්‍රතිඵලය"
"Postcode AVS check","තැපැල් කේතය AVS පරීක්ෂා කිරීම"
"Address AVS check","ලිපිනය AVS චෙක්පත"
"Country comparison check","රට සංසන්දනය පරීක්ෂා කිරීම"
"Risk Score","අවදානම් ලකුණු"
"Not supported","සහාය නොදක්වයි"
"Not checked","පරීක්ෂා කර නැත"
"Matched","ගැලපුනා"
"Not matched","නොගැලපේ"
"Partially matched","අර්ධ වශයෙන් ගැලපේ"
"No such order id.","එවැනි ඇණවුම් හැඳුනුම්පතක් නොමැත."
"Your purchase process has been cancelled.","ඔබගේ මිලදී ගැනීමේ ක්‍රියාවලිය අවලංගු කර ඇත."
"Something went wrong while processing your order. Please try again later.","ඔබගේ ඇණවුම සැකසීමේදී යම් දෙයක් වැරදී ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"Gateway response is not valid.","Gateway ප්‍රතිචාරය වලංගු නැත."
"Wrong response type","වැරදි ප්‍රතිචාර වර්ගය"
"Currency doesn't match.","මුදල් නොගැලපේ."
"Amount doesn't match.","මුදල නොගැලපේ."
"Not supported response.","ප්‍රතිචාරයට සහය නොදක්වයි."
"Gateway processing error.","ද්වාර සැකසුම් දෝෂයකි."
"Transaction was not placed.","ගනුදෙනුව සිදු කර නැත."
"None","කිසිවක් නැත"
"Authorize","අවසරලත්"
"Authorize and Capture","අවසර දීම සහ අල්ලා ගැනීම"
"Refused","ප්‍රතික්ෂේප කළා"
"Authorised","බලයලත්"
"Error","දෝෂයකි"
"Captured","අල්ලා"
"Please click ","කරුණාකර ක්ලික් කරන්න "
"here","මෙතන"
" if you are not redirected automatically."," ඔබ ස්වයංක්‍රීයව හරවා යවන්නේ නැතිනම්."
"You will be redirected to the Worldpay website.","ඔබව Worldpay වෙබ් අඩවියට හරවා යවනු ලැබේ."
"Continue to Worldpay","Worldpay වෙත ඉදිරියට යන්න"
"Worldpay","ලෝක ගෙවීම්"
"Enabled","සබල කර ඇත"
"Title","ශීර්ෂය"
"Payment Response Password","ගෙවීම් ප්‍රතිචාර මුරපදය"
"Remote Admin Installation ID","දුරස්ථ පරිපාලක ස්ථාපන ID"
"Remote Admin Authorisation Password","දුරස්ථ පරිපාලක අවසර මුරපදය"
"MD5 Secret for Transactions","MD5 ගනුදෙනු සඳහා රහස"
"Allow To Edit Contact Information","සම්බන්ධතා තොරතුරු සංස්කරණය කිරීමට ඉඩ දෙන්න"
"Hide Contact Information","සම්බන්ධතා තොරතුරු සඟවන්න"
"Debug","දෝෂහරණය කරන්න"
"Test Mode","පරීක්ෂණ මාදිලිය"
"Payment Action for Test","පරීක්ෂණය සඳහා ගෙවීම් ක්‍රියාව"
"Payment Action","ගෙවීම් ක්‍රියාව"
"Payment From Applicable Countries","අදාළ රටවලින් ගෙවීම්"
"Payment From Specific Countries","විශේෂිත රටවලින් ගෙවීම්"
"Set Order Status to Suspected Fraud for CVV","CVV සඳහා සැකකටයුතු වංචාවකට ඇණවුම් තත්ත්වය සකසන්න"
"Set Order Status to Suspected Fraud for Postcode AVS","තැපැල් කේතය AVS සඳහා සැකකටයුතු වංචාවක් ලෙස ඇණවුම් තත්ත්වය සකසන්න"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Payment was canceled.","ගෙවීම අවලංගු කරන ලදී."
"Your payment has been successfully processed by our shop system.","ඔබගේ ගෙවීම අපගේ සාප්පු පද්ධතිය මගින් සාර්ථකව සකසන ලදී."
"Payment was canceled","ගෙවීම අවලංගු කරන ලදී"
"Please ","කරුණාකර "
"continue shopping","තවත් දෑ මිලදී ගන්න"
"Transaction has been canceled","ගනුදෙනුව අවලංගු කර ඇත"
"Transaction has been declined","ගනුදෙනුව ප්‍රතික්ෂේප කර ඇත"
"The response type is incorrect. Verify the type and try again.","ප්‍රතිචාර වර්ගය වැරදියි. වර්ගය තහවුරු කර නැවත උත්සාහ කරන්න."
