"Credit card type","Тип кредитна карта"
"CVV result","CVV резултат"
"Postcode AVS check","Пощенски код Видеомакс АВС проверка"
"Address AVS check","Адрес AVS проверка"
"Country comparison check","Страна сравнение проверка"
"Risk Score","Рисков резултат"
"Not supported","Не се поддържа"
"Not checked","Не е проверен"
"Matched","Съвпадение"
"Not matched","Не съвпада"
"Partially matched","Частично съвпадение"
"No such order id.","Няма такъв ИД на поръчка."
"Your purchase process has been cancelled.","Процесът на вашата поръчка е прекратен."
"Something went wrong while processing your order. Please try again later.","Нещо се обърка докато подавахте поръчката си. Моля опитайте по-късно."
"Gateway response is not valid.","Отговор от терминал невалиден."
"Wrong response type","Грешен тип отговор"
"Currency doesn't match.","Валута не съвпада."
"Amount doesn't match.","Сума не съвпада."
"Not supported response.","Не поддържан отговор."
"Gateway processing error.","Грешка Терминал."
"Transaction was not placed.","Транзакцията не е направена."
"None","Никакъв"
"Authorize","Разреши"
"Authorize and Capture","Оторизирай и запиши"
"Refused","Отказан"
"Authorised","Разрешен"
"Error","Грешка"
"Captured","Заловен"
"Please click ","Моля натиснете "
"here","тук"
" if you are not redirected automatically."," ако Вие не сте автоматично пренасочен."
"You will be redirected to the Worldpay website.","Вие ще бъдете пренасочени към сайта на Worldpay."
"Continue to Worldpay","Продължи към Worldpay"
"Worldpay","WorldPay"
"Enabled","Активиран"
"Title","Заглавиe"
"Payment Response Password","Плащане отговор парола"
"Remote Admin Installation ID","Далечен Admin инсталация ID"
"Remote Admin Authorisation Password","Далечен Admin разрешение парола"
"MD5 Secret for Transactions","MD5 Тайна за транзакции"
"Allow To Edit Contact Information","Позволи да редактирате информация за контакт"
"Hide Contact Information","Скрий информация за контакт"
"Debug","Дебъг"
"Test Mode","Тестов режим"
"Payment Action for Test","Плащане за действие за тест"
"Payment Action","Платежно действие"
"Payment From Applicable Countries","Плащане от приложимите страни"
"Payment From Specific Countries","Плащане от определени страни"
"Set Order Status to Suspected Fraud for CVV","Задайте ред състоянието на съмнение за измама за CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Задайте ред състоянието на съмнение за измама за пощенски код Видеомакс АВС"
"Sort Order","Ред на сортиране"
"Payment was canceled.","Плащането е отменено."
"Your payment has been successfully processed by our shop system.","Вашето плащане е било успешно обработено от системата ни магазина."
"Payment was canceled","Плащането е отменено"
"Please ","Моля "
"continue shopping","продължете пазаруването"
"Transaction has been canceled","Transaction has been canceled"
"Transaction has been declined","Transaction has been declined"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
