"Back","Zurück"
"Backup Log Details","Source Model"
"Create","Anlegen"
"Requested system report has no data to output.","Der angeforderte System Report enthält keine Daten für die Ausgabe."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Sind Sie sicher, dass Sie den System Report löschen wollen?"
"Download","Herunterladen"
"Go to Top","Nach Oben"
"Report","Bericht"
"System Report Information","System Report Information"
"Requested system report has no data to display.","Der angeforderte System Report enthält keine Daten für die Ausgabe."
"Output path %1 doesn't exist","Ausgabepfad %1 existiert nicht"
"Unknown DB param: %1","Unbekannter DB Parameter: %1"
"Paths file already exists","Paths Datei existiert bereits"
"Paths file cannot be created","Paths file cannot be created"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","Insgesamt wurden %1 Einträge gelöscht."
"Support","Kundendienst"
"Data Collector","Data Collector"
"The backup has been saved.","The backup has been saved."
"Failed to save backup with error: %1","Failed to save backup with error: %1"
"An error occurred while saving backup","An error occurred while saving backup"
"All processes should be complete","All processes should be complete"
"Wrong param id","Wrong param id"
"The backup has been deleted.","The backup has been deleted."
"Cannot delete backup","Cannot delete backup"
"File does not exist","File does not exist"
"Log Details","Log Details"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","An error occurred during mass deletion of data collector backups. Please review log and try again."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed."
"Create System Report","Create System Report"
"Unable to find a system report to delete.","Unable to find a system report to delete."
"The system report has been deleted.","The system report has been deleted."
"An error occurred while deleting the system report. Please review log and try again.","An error occurred while deleting the system report. Please review log and try again."
"Requested system report no longer exists.","Requested system report no longer exists."
"Unable to read system report data to display.","Unable to read system report data to display."
"No groups were specified to generate system report.","No groups were specified to generate system report."
"The system report has been generated.","The system report has been generated."
"An error occurred while the system report was being created. Please review the log and try again.","An error occurred while the system report was being created. Please review the log and try again."
"System Reports","System Reports"
"An error occurred during mass deletion of system reports. Please review log and try again.","An error occurred during mass deletion of system reports. Please review log and try again."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Root-Verzeichnis kann nicht erstellt werden."
"Support Module doesn't support %s operation system","Support Module doesn't support %s operation system"
"Unable to create backup due to php exec function is disabled","Unable to create backup due to php exec function is disabled"
"Incomplete","Unvollständig"
"Complete","Vollständig"
"Failed","Fehlgeschlagen"
"Directory %s should have writable & readable permissions","Directory %s should have writable & readable permissions"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Unbekannter Status"
"Processing ...","Verarbeitung ..."
"(now)","(now)"
"[%1 minutes ago]","[vor %1 Minuten]"
"[%1 hours ago]","[vor %1 Stunden]"
"[%1 days ago]","[vor %1  Tagen]"
"[%1 weeks ago]","[vor %1 Wochen]"
"[%1 months ago]","[vor %1  Monaten]"
"[%1 years ago]","[vor %1  Jahren]"
"And more...","Und mehr..."
"Column %1","Column %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparing system report data: Detected Single Row Mode but data may be incomplete."
"Yes","Ja"
"No","Nein"
"All Eav Attributes","All Eav Attributes"
