"Back","Обратно"
"Backup Log Details","Регистрационен файл на архивираните детайли"
"Create","Създай"
"Requested system report has no data to output.","Заявеният системен доклад няма данни за извеждане."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Наистина ли искате да изтриете доклада за системата?"
"Download","Смъкни"
"Go to Top","Отиди в най-отгоре"
"Report","Доклад"
"System Report Information","Информация за справка на системата"
"Requested system report has no data to display.","Заявеният системен доклад няма данни за показване."
"Output path %1 doesn't exist","Изход път %1 не съществува"
"Unknown DB param: %1","Неизвестен DB Парам: %1"
"Paths file already exists","Файл пътища вече съществува"
"Paths file cannot be created","Пътища файл не може да бъде създаден"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","Общо %1 записи са били изтрити."
"Support","Поддръжка"
"Data Collector","Събиране на данни"
"The backup has been saved.","Архивът е записан."
"Failed to save backup with error: %1","Неуспешно записване на архивиране с грешка: %1"
"An error occurred while saving backup","Възникна грешка при записване на архивиране"
"All processes should be complete","All processes should be complete"
"Wrong param id","Грешен Парам Ид"
"The backup has been deleted.","Архивът е изтрит."
"Cannot delete backup","Не може да изтрие архива"
"File does not exist","Файлът не съществува"
"Log Details","Лог детайли"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Възникна грешка по време на масово изтриване на данни колектор архивиране. Прегледайте регистрационния файл и опитайте отново."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","След като направите избора си, натиснете бутона ""Create"". След това стоят докато системата Отчетът се генерира. Това може да отнеме няколко минути. Вие ще получите известие, след като тази стъпка е завършена."
"Create System Report","Създаване на системен отчет"
"Unable to find a system report to delete.","Не може да намери система доклад за изтриване."
"The system report has been deleted.","Системния Докладът е бил изтрит."
"An error occurred while deleting the system report. Please review log and try again.","Възникна грешка при изтриването на доклада за системата. Прегледайте регистрационния файл и опитайте отново."
"Requested system report no longer exists.","Заявеният системен отчет вече не съществува."
"Unable to read system report data to display.","Не може да прочете системно отчетните данни за показване."
"No groups were specified to generate system report.","Няма групи посочени за генериране на системен отчет."
"The system report has been generated.","Генериран е системен доклад."
"An error occurred while the system report was being created. Please review the log and try again.","Възникна грешка, докато се създаваше системния доклад. Прегледайте регистрационния файл и опитайте отново."
"System Reports","Системни отчети"
"An error occurred during mass deletion of system reports. Please review log and try again.","Възникна грешка по време на масово изтриване на системата за отчети. Прегледайте регистрационния файл и опитайте отново."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Cannot set root directory."
"Support Module doesn't support %s operation system","Поддръжка на модул не поддържа %s операционна система"
"Unable to create backup due to php exec function is disabled","Не може да създаде архив поради php exec функция е забранена"
"Incomplete","Недовършено"
"Complete","Завършен"
"Failed","Неуспешно"
"Directory %s should have writable & readable permissions","Директорията %s трябва да има writable & четими разрешения"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Неизвестен статус"
"Processing ...","Обработка ..."
"(now)","(сега)"
"[%1 minutes ago]","[ преди %1 минути]"
"[%1 hours ago]","[преди %1 часове]"
"[%1 days ago]","[преди %1 дни]"
"[%1 weeks ago]","[преди %1 седмици]"
"[%1 months ago]","[преди %1 месеца]"
"[%1 years ago]","[преди %1 години]"
"And more...","И още..."
"Column %1","Колона %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Подготовка на данните за отчета на системата: открива един ред режим но данните могат да бъдат непълни."
"Yes","Да"
"No","Не"
"All Eav Attributes","Всички Eav атрибути"
"Category Eav Attributes","Категория Eav атрибути"
"Customer Address Eav Attributes","Клиент адрес Eav атрибути"
"Customer Eav Attributes","Клиент Eav атрибути"
"Entity Types","Тип стойност"
"ID","ИД"
"Code","Код"
"Model","Модел"
"Attribute Model","Атрибут модел"
"Increment Model","Нарастване модел"
"Main Table","Главна таблица"
"Additional Attribute Table","Допълнителен атрибут таблица"
"New Eav Attributes","Нови Eav атрибути"
"Product Eav Attributes","Продукт Eav атрибути"
"Rma Item Eav Attributes","Rma елемент Eav атрибути"
"User Defined Eav Attributes","Eav атрибути, дефинирани от потребителя"
"Name","Име"
"Enabled","Активиран"
"Value","Стойност"
"Scope","Обхват"
"Configuration","Конфигурация"
"Path","Път"
"Data from app/etc/env.php","Данни от app/etc/env.php"
"Title","Заглавиe"
"Group","Група"
"Is Gateway","Е терминал"
"Void","анулирай"
"For Checkout","За приключване на поръчка"
"For Multishipping","За доставка до няколко адреса"
"Capture Online","Улови онлайн"
"Partial Capture Online","Частично улавяне онлайн"
"Refund Online","Възстановяване онлайн"
"Partial Refund Online","Частично възстановяване онлайн"
"Capture Offline","Улови офлайн"
"Partial Capture Offline","Частично улавяне офлайн"
"Refund Offline","Възстановяване офлайн"
"Partial Refund Offline","Частично възстановяване офлайн"
"Payments Functionality Matrix","Плащания функционалност матрица"
"Payment Methods","Методи на плащане"
"Shipping Methods","Методи на доставка"
"Job Code","Код на проекта"
"Cron Expression","Cron израз"
"Run Class","Run Class"
"Run Method","Run Method"
"Group Code","Код на група"
"All Configurable Cron Jobs","Всички конфигурируеми Cron работни места"
"All Global Cron Jobs","Всички глобални Cron работни места"
"Cron Schedules List","Cron графици списък"
"Schedule Id","Ид график"
"Status","Статус"
"Created At","Създаден на"
"Scheduled At","Планирано в"
"Executed At","Изпълнен в"
"Finished At","Завършен в"
"Core Configurable Cron Jobs","Core Configurable Cron Jobs"
"Core Global Cron Jobs","Основни глобални Cron работни места"
"Cron Schedules by job code","Cron графици работа код по"
"Count","Брой"
"Cron Schedules by status code","Cron графици с код на състоянието"
"Status Code","Статус код"
"Custom Configurable Cron Jobs","Custom Configurable Cron Jobs"
"Custom Global Cron Jobs","Custom Global Cron Jobs"
"Errors in Cron Schedules Queue","Грешки в Cron графици опашка"
"Error","Грешка"
"Corrupted Categories Data","Повредени категории данни"
"Id","ИД"
"Expected Children Count","Брой на очакваните деца"
"Actual Children Count","Брой на действителните деца"
"Expected Level","Очаквано ниво"
"Actual Level","Действителното ниво"
"Duplicate Categories By URL Key","Дублиране на категории от URL ключ"
"URL key","URL ключ"
"Store","Магазин"
"Duplicate Orders By Increment Id","Дублирани поръчки от ИД на нарастване"
"Increment Id","ИД на нарастване"
"Customer Id","ИД на клиент"
"Duplicate Products By SKU","Дублиране на продукти по кат. номер"
"SKU","Кат. номер"
"Duplicate Products By URL Key","Дублиране на продукти по URL ключ"
"URL Key","URL ключ"
"Website","Уебсайт"
"Duplicate Users By Email","Дублиране на потребителите по имейл"
"Email","Имейл"
"Type","Тип"
"Parent","Основен"
"Adminhtml Themes List","Adminhtml теми списък"
"Frontend Themes List","Frontend теми списък"
"Event Name","Име на събитие"
"Observer Class","Наблюдател клас"
"Method","Метод"
"All Admin Events","Всички събития от администратор"
"All Crontab Events","Всички събития от Crontab"
"All Doc Events","Всички събития в Doc"
"All Frontend Events","Всички Frontend събития"
"All Global events","Всички Global събития"
"All REST Events","Всички останали събития"
"All SOAP Events","Всички SOAP мероприятия"
"Core Admin Events","Core администратор събития"
"Core Crontab Events","Core Crontab Events"
"Core Doc Events","Core Doc събития"
"Core Frontend Events","Core Frontend събития"
"Core Global Events","Core Global събития"
"Core REST Events","Core REST събития"
"Core SOAP Events","Core SOAP събития"
"Custom Admin Events","Потребителски администратор събития"
"Custom Crontab Events","Custom Crontab събития"
"Custom Doc Events","Custom Doc събития"
"Custom Frontend Events","Custom Frontend събития"
"Custom Global Events","Custom Globa събития"
"Custom REST Events","Custom REST събития"
"Custom SOAP Events","Custom SOAP събития"
"Log Files","Лог файлове"
"File","Файл"
"Size","Размер"
"Log Entries","Записи в регистъра на"
"Last Update","Последна актуализация"
"Today's Top Debug Messages","Днешните топ дебъг съобщения"
"Message","Съобщение"
"Last Occurrence","Последна поява"
"Today's Top Exception Messages","Днешните топ изключение съобщения"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Днешните топ системни съобщения"
"Top Debug Messages","Top Debug съобщения"
"Top Exception Messages","Top Exception съобщения"
"Top System Messages","Top System съобщения"
"Store Views List","Съхраняване на списъка с изгледи"
"Stores List","Списък с магазини"
"Root Category","Родителска категория"
"Default Store View","Изглед на магазин по подразбиране"
"Websites List","Сайтове списък"
"Is Default","Е по подразбиране"
"Default Store","Магазин по подразбиране"
"Websites Tree","Уеб сайтове дърво"
"There was an error while loading system report data.","Възникна грешка при зареждане на системните отчетни данни."
"General","Главен"
"Environment","Среда"
"Cannot save backup. The reason is: Utility lsof not found","Не може да запише архива. Причината за това е: Utility lsof not found"
"Test error","Тест грешка"
"Error message!","Съобщение за грешка!"
"User Defined","Определен потребител"
"Entity Type Code","Код на тип обект"
"Source Model","Източник модел"
"Backend Model","Backend Model"
"Frontend Model","Frontend Model"
"text","текст"
"Show Log","Покажи Log"
"Delete","Изтрий"
"Delete ""%1""","Изтриване на ""%1"""
"Are you sure you want to delete a ""%1"" record?","Сигурни ли сте, че искате да изтриете запис за %1?"
"View","Преглед"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","Празен регистър"
"Backup ID: ","ИД на архивиране: "
"Collapse","Свий"
"Expand","Разшири"
" (no data)"," (няма данни)"
"Top","Отгоре"
"No data","Няма данни"
"Support Data Collector","Support Data Collector"
"Support System Report","Доклад за системата за поддръжка"
"System Report","Системен отчет"
"Data","Данни"
"Modules","Модули"
"Logs","Логове"
"Attributes","Атрибути"
"Events","Събития"
"Cron","Cron"
"Design","Дизайн"
"Stores","Магазини"
"New Backup","Ново архивиране"
"Refresh Status","Обнови състоянието"
"Are you sure you want to delete selected item(s)?","Сигурни ли сте, че искате да изтриете всички избрани артикули?"
"Delete items","Изтрий артикулите"
"Code Dump","Code Dump"
"DB Dump","DB дъмп"
"Choose Report Groups","Изберете отчет групи"
"New Report","Нов отчет"
"Date Generated","Date Generated"
"Report Groups","Доклад групи"
"An item needs to be selected. Select and try again.","Трябва да бъде избран продукт. Изберете и опитайте отново."
"All processes should be completed.","Всички процеси трябва да бъдат завършени."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","Основната категория не може да бъде зададена. Проверете категорията и опитайте отново."
